id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,12,11,11,0.464778,0.460856
1,1,8,12,11,0.488033,0.458600
2,2,10,11,12,0.458187,0.492627
3,3,3,10,11,0.432178,0.464533
4,4,2,10,12,0.423800,0.488867
5,5,3,12,12,0.492978,0.498978
6,6,2,12,10,0.487067,0.414933
7,7,16,15,11,0.618092,0.463417
8,8,12,14,11,0.586589,0.459178
9,9,3,15,12,0.613956,0.494222
10,10,2,15,10,0.605933,0.428000
11,11,1,13,11,0.549733,0.474800
12,12,3,15,13,0.612311,0.531378
13,13,2,14,12,0.578800,0.485867
14,14,1,16,11,0.643200,0.454267
15,15,17,13,14,0.542886,0.576973
16,16,7,13,13,0.540819,0.545467
17,17,2,14,13,0.572667,0.544267
18,18,8,14,14,0.569650,0.582900
19,19,4,12,14,0.500200,0.582767
20,20,2,13,15,0.538867,0.612000
21,21,2,14,15,0.579133,0.615267
22,22,5,11,15,0.463707,0.615013
23,23,10,10,14,0.416840,0.584427
24,24,12,11,14,0.453533,0.582544
25,25,2,10,13,0.415400,0.542400
26,26,1,12,13,0.505200,0.556933
27,27,6,10,15,0.429222,0.607244
28,28,2,9,15,0.398800,0.622667
29,29,16,8,13,0.334267,0.537217
30,30,15,8,12,0.344089,0.509724
31,31,4,9,13,0.369833,0.544133
32,32,1,9,12,0.366267,0.505600
33,33,3,8,11,0.341822,0.466978
34,34,1,7,11,0.308133,0.476533
35,35,1,7,13,0.311200,0.528267
36,36,17,8,10,0.341208,0.414831
37,37,11,8,9,0.338315,0.388667
38,38,4,9,9,0.371300,0.370233
39,39,4,7,10,0.304967,0.421267
40,40,2,7,9,0.316000,0.385667
41,41,2,9,10,0.367533,0.418000
42,42,4,10,9,0.429400,0.368333
43,43,7,11,8,0.451181,0.333200
44,44,14,10,8,0.426143,0.336933
45,45,8,10,7,0.426950,0.312950
46,46,2,9,8,0.391200,0.339667
47,47,3,11,7,0.449289,0.304089
48,48,2,12,8,0.502200,0.339533
49,49,7,14,9,0.573295,0.376000
50,50,3,12,9,0.507467,0.381200
51,51,12,13,8,0.544978,0.349033
52,52,1,14,7,0.569067,0.305733
53,53,5,14,8,0.573307,0.342267
54,54,10,13,9,0.545107,0.374520
55,55,1,13,7,0.528800,0.319733
56,56,19,22,11,0.896933,0.459986
57,57,2,21,12,0.872200,0.486067
58,58,5,22,12,0.902053,0.495787
59,59,6,21,11,0.870778,0.458822
60,60,6,22,10,0.888289,0.432244
61,61,1,23,12,0.932133,0.506400
62,62,1,23,11,0.941600,0.448400
63,63,16,18,19,0.737192,0.786617
64,64,10,18,20,0.739253,0.815173
65,65,6,17,19,0.707978,0.789444
66,66,5,17,20,0.706640,0.814907
67,67,2,18,18,0.734067,0.753400
68,68,1,19,20,0.760000,0.802667
69,69,16,9,22,0.380242,0.897858
70,70,4,8,22,0.358533,0.893100
71,71,11,9,21,0.379721,0.866800
72,72,5,8,21,0.349040,0.872053
73,73,1,10,22,0.404267,0.897067
74,74,1,10,21,0.410133,0.872933
75,75,1,9,23,0.371067,0.934133
76,76,1,9,20,0.387200,0.839333
77,77,14,2,16,0.090314,0.663829
78,78,9,1,16,0.066667,0.653141
79,79,8,2,15,0.096883,0.627483
80,80,1,2,17,0.089867,0.684533
81,81,4,1,15,0.057600,0.624967
82,82,3,1,17,0.070311,0.698356
83,83,1,3,17,0.142000,0.686400
84,84,11,1,6,0.065042,0.265491
85,85,7,1,7,0.066343,0.284419
86,86,8,2,7,0.090433,0.291017
87,87,10,2,6,0.094680,0.264667
88,88,3,3,6,0.127911,0.268400
89,89,1,0,7,0.026800,0.295600
90,90,6,8,1,0.357467,0.058711
91,91,15,9,1,0.381262,0.054800
92,92,5,8,0,0.353040,0.026000
93,93,1,8,2,0.340133,0.086667
94,94,6,9,0,0.384200,0.029044
95,95,2,9,2,0.383533,0.087133
96,96,4,10,1,0.403767,0.054367
97,97,1,7,0,0.314933,0.027600
98,98,1,18,1,0.726267,0.077333
99,99,18,18,3,0.743141,0.138956
100,100,6,18,2,0.742689,0.105044
101,101,3,18,4,0.738578,0.170133
102,102,4,19,3,0.768533,0.144767
103,103,1,17,2,0.688800,0.106133
104,104,5,17,3,0.702693,0.138027
105,105,1,17,4,0.711333,0.160400
106,106,1,19,2,0.760667,0.110400
