X,Y,Cl
0.453467,0.475467,1
0.490000,0.451200,1
0.473200,0.465867,1
0.448667,0.460667,1
0.450267,0.495333,1
0.455733,0.460133,1
0.482533,0.457733,1
0.435333,0.457467,1
0.476933,0.454667,1
0.422400,0.497067,1
0.425200,0.480667,1
0.447467,0.484267,1
0.442533,0.480533,1
0.434533,0.463733,1
0.482400,0.460667,1
0.426667,0.472400,1
0.479733,0.449733,1
0.475867,0.455200,1
0.470800,0.484000,1
0.492933,0.465600,1
0.485600,0.489867,1
0.447067,0.465200,1
0.460400,0.505867,1
0.490400,0.413200,1
0.463600,0.446933,1
0.453067,0.491867,1
0.492400,0.507200,1
0.494000,0.460800,1
0.478133,0.506533,1
0.485733,0.447467,1
0.462133,0.482267,1
0.486533,0.463200,1
0.490133,0.462133,1
0.456533,0.488533,1
0.500933,0.499867,1
0.462933,0.462267,1
0.461333,0.468133,1
0.460533,0.507067,1
0.478800,0.466000,1
0.483733,0.416667,1
0.602667,0.468533,2
0.605467,0.469600,2
0.626667,0.477067,2
0.599200,0.461733,2
0.622667,0.461200,2
0.615200,0.465200,2
0.623200,0.499200,2
0.602933,0.423867,2
0.582400,0.474800,2
0.623333,0.453200,2
0.549733,0.474800,2
0.618400,0.532667,2
0.624933,0.467867,2
0.635333,0.466667,2
0.618000,0.452800,2
0.624267,0.478400,2
0.630533,0.478667,2
0.596800,0.445467,2
0.584800,0.461600,2
0.566800,0.467200,2
0.608933,0.432133,2
0.575200,0.485733,2
0.604267,0.441067,2
0.593733,0.454667,2
0.582400,0.486000,2
0.607600,0.526933,2
0.572667,0.447467,2
0.643200,0.454267,2
0.610933,0.534533,2
0.614667,0.453067,2
0.589733,0.442267,2
0.587200,0.470533,2
0.606400,0.456400,2
0.572933,0.471867,2
0.616800,0.462533,2
0.599867,0.445067,2
0.592933,0.467467,2
0.618267,0.462400,2
0.611733,0.490933,2
0.606933,0.492533,2
0.558133,0.564400,3
0.529333,0.565467,3
0.538933,0.570267,3
0.548800,0.558267,3
0.548000,0.576000,3
0.530800,0.583333,3
0.534267,0.583067,3
0.568267,0.532133,3
0.534133,0.557600,3
0.546667,0.537467,3
0.575067,0.592933,3
0.548667,0.581867,3
0.542933,0.594000,3
0.540400,0.591200,3
0.568667,0.594533,3
0.547333,0.540933,3
0.516400,0.580133,3
0.543600,0.579467,3
0.560800,0.594933,3
0.529867,0.568800,3
0.532533,0.619867,3
0.530667,0.559467,3
0.577067,0.556400,3
0.545200,0.604133,3
0.557867,0.570667,3
0.550933,0.581600,3
0.570267,0.571733,3
0.531600,0.540933,3
0.541333,0.575600,3
0.567333,0.603467,3
0.530000,0.560133,3
0.590933,0.627067,3
0.546533,0.523600,3
0.576667,0.566400,3
0.549867,0.581467,3
0.573467,0.592533,3
0.561600,0.563600,3
0.554133,0.581200,3
0.515733,0.578667,3
0.570667,0.586533,3
0.468533,0.617867,4
0.418800,0.598400,4
0.411867,0.568667,4
0.463600,0.626533,4
0.441467,0.570533,4
0.460933,0.589600,4
0.404667,0.539467,4
0.505200,0.556933,4
0.438800,0.609333,4
0.441467,0.568533,4
0.423333,0.580667,4
0.482267,0.598267,4
0.399067,0.620667,4
0.429200,0.607333,4
0.439467,0.600800,4
0.444400,0.592000,4
0.424267,0.600800,4
0.447333,0.584800,4
0.466133,0.589067,4
0.461067,0.601867,4
0.425467,0.615067,4
0.453867,0.615333,4
0.418133,0.610133,4
0.426133,0.545333,4
0.418667,0.598400,4
0.456533,0.575467,4
0.421467,0.567600,4
0.447867,0.596667,4
