cell-id,cell-label,number-points,CM-0,CM-1,cluster-label,qty-cells-cluster-greater-equal-3
0,0,12,0.464778,0.460856,0,5
1,1,8,0.488033,0.4586,0,5
2,2,10,0.458187,0.492627,0,5
3,3,3,0.432178,0.464533,0,5
5,5,3,0.492978,0.498978,0,5
7,7,16,0.618092,0.463417,3,5
8,8,12,0.586589,0.459178,3,5
9,9,3,0.613956,0.494222,3,5
10,10,2,0.605933,0.428,3,5
13,13,2,0.5788,0.485867,3,5
15,15,17,0.542886,0.576973,7,5
16,16,7,0.540819,0.545467,7,5
18,18,8,0.56965,0.5829,7,5
19,19,4,0.5002,0.582767,7,5
20,20,2,0.538867,0.612,7,5
22,22,5,0.463707,0.615013,10,4
23,23,10,0.41684,0.584427,10,4
24,24,12,0.453533,0.582544,10,4
27,27,6,0.429222,0.607244,10,4
29,29,16,0.334267,0.537217,14,6
30,30,15,0.344089,0.509724,14,6
31,31,4,0.369833,0.544133,14,6
32,32,1,0.366267,0.5056,14,6
33,33,3,0.341822,0.466978,14,6
35,35,1,0.3112,0.528267,14,6
36,36,17,0.341208,0.414831,16,6
37,37,11,0.338315,0.388667,16,6
38,38,4,0.3713,0.370233,16,6
39,39,4,0.304967,0.421267,16,6
40,40,2,0.316,0.385667,16,6
41,41,2,0.367533,0.418,16,6
42,42,4,0.4294,0.368333,17,6
43,43,7,0.451181,0.3332,17,6
44,44,14,0.426143,0.336933,17,6
45,45,8,0.42695,0.31295,17,6
46,46,2,0.3912,0.339667,17,6
47,47,3,0.449289,0.304089,17,6
49,49,7,0.573295,0.376,19,4
51,51,12,0.544978,0.349033,19,4
53,53,5,0.573307,0.342267,19,4
54,54,10,0.545107,0.37452,19,4
56,56,19,0.896933,0.459986,23,5
57,57,2,0.8722,0.486067,23,5
58,58,5,0.902053,0.495787,23,5
59,59,6,0.870778,0.458822,23,5
60,60,6,0.888289,0.432244,23,5
63,63,16,0.737192,0.786617,26,5
64,64,10,0.739253,0.815173,26,5
65,65,6,0.707978,0.789444,26,5
66,66,5,0.70664,0.814907,26,5
67,67,2,0.734067,0.7534,26,5
69,69,16,0.380242,0.897858,28,5
70,70,4,0.358533,0.8931,28,5
71,71,11,0.379721,0.8668,28,5
72,72,5,0.34904,0.872053,28,5
73,73,1,0.404267,0.897067,28,5
77,77,14,0.090314,0.663829,32,6
78,78,9,0.066667,0.653141,32,6
79,79,8,0.096883,0.627483,32,6
80,80,1,0.089867,0.684533,32,6
81,81,4,0.0576,0.624967,32,6
82,82,3,0.070311,0.698356,32,6
84,84,11,0.065042,0.265491,34,5
85,85,7,0.066343,0.284419,34,5
86,86,8,0.090433,0.291017,34,5
87,87,10,0.09468,0.264667,34,5
88,88,3,0.127911,0.2684,34,5
90,90,6,0.357467,0.058711,36,6
91,91,15,0.381262,0.0548,36,6
92,92,5,0.35304,0.026,36,6
94,94,6,0.3842,0.029044,36,6
95,95,2,0.383533,0.087133,36,6
96,96,4,0.403767,0.054367,36,6
99,99,18,0.743141,0.138956,40,5
100,100,6,0.742689,0.105044,40,5
101,101,3,0.738578,0.170133,40,5
102,102,4,0.768533,0.144767,40,5
104,104,5,0.702693,0.138027,40,5
