id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,1,17,3,0.998276,0.170690
1,1,2,17,2,0.958621,0.137069
2,2,2,16,1,0.906897,0.095690
3,3,1,15,1,0.863793,0.068966
4,4,1,15,0,0.834483,0.053448
5,5,1,14,0,0.805172,0.039655
6,6,2,13,0,0.758621,0.025000
7,7,2,12,0,0.695690,0.007759
8,8,2,11,0,0.633621,0.000862
9,9,1,10,0,0.586207,-0.003448
10,10,2,9,0,0.539655,0.003448
11,11,2,8,0,0.480172,0.012931
12,12,2,7,0,0.423276,0.031034
13,13,1,6,0,0.384483,0.048276
14,14,2,6,1,0.346552,0.068103
15,15,2,5,1,0.301724,0.100000
16,16,2,4,2,0.262069,0.136207
17,17,1,4,3,0.231034,0.167241
18,18,2,3,3,0.211207,0.196552
19,19,3,3,4,0.179885,0.252299
20,20,2,2,5,0.160345,0.311207
21,21,2,2,6,0.151724,0.357759
22,22,3,2,7,0.149425,0.414368
23,23,2,2,8,0.159483,0.470690
24,24,1,2,9,0.165517,0.501724
25,25,2,3,9,0.178448,0.532759
26,26,3,3,10,0.205172,0.579885
27,27,3,4,11,0.246552,0.628736
28,28,1,5,11,0.279310,0.660345
29,29,3,5,12,0.310920,0.679885
30,30,3,6,12,0.362069,0.702874
31,31,3,7,12,0.417816,0.713793
32,32,3,8,12,0.471264,0.717241
33,33,4,9,12,0.531897,0.708621
34,34,4,10,12,0.592241,0.684052
35,35,5,11,11,0.644483,0.640690
36,36,5,12,10,0.681379,0.586897
37,37,5,12,9,0.695517,0.529310
38,38,8,12,8,0.681681,0.468534
39,39,1,12,7,0.667241,0.441379
40,40,9,11,7,0.649617,0.422414
41,41,2,10,17,0.581034,0.984483
42,42,2,11,17,0.648276,0.965517
43,43,1,12,17,0.696552,0.946552
44,44,2,13,16,0.738793,0.925862
45,45,1,14,16,0.779310,0.898276
46,46,2,14,15,0.818966,0.868966
47,47,1,15,15,0.853448,0.839655
48,48,1,15,14,0.872414,0.813793
49,49,1,16,14,0.894828,0.787931
50,50,2,16,13,0.921552,0.751724
51,51,2,17,12,0.948276,0.700000
52,52,2,17,11,0.968103,0.644828
53,53,2,17,10,0.980172,0.590517
54,54,2,17,9,0.986207,0.535345
55,55,2,17,8,0.983621,0.481034
56,56,3,17,7,0.969540,0.416092
57,57,1,17,6,0.951724,0.367241
58,58,1,16,6,0.941379,0.344828
59,59,3,16,5,0.912644,0.301149
60,60,3,15,4,0.862644,0.245402
61,61,3,14,3,0.802874,0.198851
62,62,1,13,3,0.763793,0.174138
63,63,1,13,2,0.741379,0.163793
64,64,3,12,2,0.695977,0.153448
65,65,2,11,2,0.640517,0.140517
66,66,3,10,2,0.582184,0.137931
67,67,3,9,2,0.520690,0.145977
68,68,2,8,2,0.469828,0.162069
69,69,4,7,3,0.418534,0.189655
70,70,1,6,3,0.377586,0.217241
71,71,3,6,4,0.354023,0.244828
72,72,1,5,4,0.332759,0.272414
73,73,4,5,5,0.312931,0.310345
74,74,3,5,6,0.297126,0.363793
75,75,4,5,7,0.296121,0.413793
76,76,4,5,8,0.308621,0.469828
77,77,2,5,9,0.325000,0.507759
78,78,5,6,9,0.355517,0.537586
79,79,1,6,10,0.384483,0.560345
80,80,5,7,10,0.414483,0.574483
81,81,6,8,10,0.472126,0.582184
82,82,4,9,10,0.514224,0.574138
83,83,2,0,4,0.025000,0.245690
84,84,2,0,5,0.007759,0.306034
85,85,2,0,6,0.002586,0.368966
86,86,1,0,7,0.000000,0.417241
87,87,2,0,8,0.005172,0.462931
88,88,2,0,9,0.019828,0.525000
89,89,2,0,10,0.039655,0.582759
90,90,2,1,11,0.066379,0.636207
91,91,2,1,12,0.100000,0.686207
92,92,1,2,12,0.131034,0.718966
93,93,1,2,13,0.150000,0.739655
94,94,2,3,13,0.187069,0.765517
95,95,3,4,14,0.248276,0.805747
96,96,1,5,14,0.300000,0.827586
97,97,1,5,15,0.325862,0.836207
98,98,2,6,15,0.368103,0.848276
99,99,2,7,15,0.418103,0.853448
100,100,2,8,15,0.474138,0.853448
101,101,2,9,15,0.525000,0.852586
102,102,2,10,15,0.576724,0.843966
103,103,1,10,14,0.610345,0.831034
104,104,2,11,14,0.646552,0.815517
105,105,2,12,14,0.690517,0.789655
106,106,1,12,13,0.717241,0.768966
107,107,3,13,13,0.750575,0.737356
108,108,2,14,12,0.787931,0.697414
109,109,3,14,11,0.810920,0.647701
110,110,3,14,10,0.831034,0.591379
111,111,3,15,9,0.840230,0.535057
112,112,1,15,8,0.837931,0.496552
113,113,3,14,8,0.829310,0.462069
114,114,3,14,7,0.811494,0.409770
115,115,2,14,6,0.787931,0.375862
116,116,3,13,6,0.760920,0.344253
117,117,2,13,5,0.731897,0.321552
118,118,3,12,5,0.695402,0.297701
119,119,2,11,5,0.658621,0.282759
120,120,2,11,4,0.630172,0.276724
121,121,5,10,4,0.584138,0.275517
122,122,5,9,5,0.522759,0.288966
123,123,5,8,5,0.476552,0.317586
124,124,6,8,6,0.451437,0.345977
125,125,5,7,6,0.438966,0.374483
126,126,2,7,7,0.436207,0.398276
