id,Label,Number_Points,X,Y
0,0,1,0.087224,0.141361
1,1,1,0.703939,0.400653
2,2,1,0.139431,0.248061
3,3,2,0.573086,0.397631
4,4,1,0.458449,0.052005
5,5,1,0.138826,0.306353
6,6,1,0.153628,0.066530
7,7,3,0.167640,0.053025
8,8,2,0.545030,0.099632
9,9,1,0.418668,0.268447
10,10,1,0.206671,0.165716
11,11,2,0.304086,0.189808
12,12,1,0.102652,0.200203
13,13,2,0.230772,0.316046
14,14,1,0.086955,0.072085
15,15,1,0.628602,0.234022
16,16,1,0.642867,0.217965
17,17,1,0.788417,0.282570
18,18,1,0.216998,0.304647
19,19,2,0.775273,0.268000
20,20,1,0.416318,0.349415
21,21,1,0.111858,0.121540
22,22,3,0.555944,0.365070
23,23,1,0.785657,0.231965
24,24,1,0.649847,0.193019
25,25,1,0.782804,0.479433
26,26,1,0.547396,0.295677
27,27,1,0.499275,0.124228
28,28,2,0.321407,0.079224
29,29,1,0.538899,0.116430
30,30,1,0.322749,0.364257
31,31,1,0.683227,0.420660
32,32,1,0.087345,0.302069
33,33,1,0.851519,0.136131
34,34,1,0.626171,0.204367
35,35,1,0.620192,0.373604
36,36,1,0.292546,0.393965
37,37,1,0.238244,0.083550
38,38,1,0.875321,0.253941
39,39,2,0.520537,0.161050
40,40,1,0.078396,0.102332
41,41,1,0.394685,0.405946
42,42,1,0.487821,0.082799
43,43,2,0.767554,0.215797
44,44,1,0.836273,0.424388
45,45,2,0.666064,0.158527
46,46,1,0.606391,0.167075
47,47,1,0.489505,0.069144
48,48,3,0.101462,0.222189
49,49,1,0.554741,0.412968
50,50,1,0.643875,0.170422
51,51,1,0.103990,0.182756
52,52,2,0.100609,0.112149
53,53,1,0.196000,0.318415
54,54,1,0.653581,0.235537
55,55,1,0.118422,0.112639
56,56,1,0.300013,0.134141
57,57,2,0.298457,0.298154
58,58,2,0.538598,0.307665
59,59,1,0.181701,0.325990
60,60,2,0.875960,0.218516
61,61,2,0.208188,0.252231
62,62,1,0.890115,0.369780
63,63,1,0.870669,0.346527
64,64,3,0.441217,0.161040
65,65,2,0.312711,0.064725
66,66,1,0.666866,0.408898
67,67,1,0.663374,0.432037
68,68,1,0.050644,0.199944
69,69,1,0.424657,0.226837
70,70,2,0.490173,0.098876
71,71,2,0.295434,0.232031
72,72,1,0.263588,0.358810
73,73,1,0.069532,0.294610
74,74,1,0.551235,0.424112
