cell-id,cell-label,number-points,CM-0,CM-1,qty-cells-cluster-greater-equal-3,gCluster-label, _#NO_CLASS#_
0,0,1,0.087224,0.141361,1,-1,-1
1,1,1,0.703939,0.400653,1,-1,-1
2,2,1,0.139431,0.248061,1,-1,-1
3,3,2,0.573086,0.397631,1,-1,-1
4,4,1,0.458449,0.052005,2,-1,-1
5,5,1,0.138826,0.306353,1,-1,-1
6,6,1,0.153628,0.06653,1,-1,-1
7,7,3,0.16764,0.053025,1,-1,-1
8,8,2,0.54503,0.099632,1,-1,-1
9,9,1,0.418668,0.268447,2,-1,-1
10,10,1,0.206671,0.165716,1,-1,-1
11,11,2,0.304086,0.189808,1,-1,-1
12,12,1,0.102652,0.200203,1,-1,-1
13,13,2,0.230772,0.316046,2,-1,-1
14,14,1,0.086955,0.072085,1,-1,-1
15,15,1,0.628602,0.234022,1,-1,-1
16,16,1,0.642867,0.217965,1,-1,-1
17,17,1,0.788417,0.28257,1,-1,-1
18,18,1,0.216998,0.304647,1,-1,-1
19,19,2,0.775273,0.268,2,-1,-1
20,20,1,0.416318,0.349415,1,-1,-1
21,21,1,0.111858,0.12154,1,-1,-1
22,22,3,0.555944,0.36507,1,-1,-1
23,23,1,0.785657,0.231965,1,-1,-1
24,24,1,0.649847,0.193019,1,-1,-1
25,25,1,0.782804,0.479433,1,-1,-1
26,26,1,0.547396,0.295677,1,-1,-1
27,27,1,0.499275,0.124228,1,-1,-1
28,28,2,0.321407,0.079224,1,-1,-1
29,29,1,0.538899,0.11643,1,-1,-1
30,30,1,0.322749,0.364257,1,-1,-1
31,31,1,0.683227,0.42066,1,-1,-1
32,32,1,0.087345,0.302069,1,-1,-1
33,33,1,0.851519,0.136131,1,-1,-1
34,34,1,0.626171,0.204367,1,-1,-1
35,35,1,0.620192,0.373604,1,-1,-1
36,36,1,0.292546,0.393965,1,-1,-1
37,37,1,0.238244,0.08355,1,-1,-1
38,38,1,0.875321,0.253941,1,-1,-1
39,39,2,0.520537,0.16105,1,-1,-1
40,40,1,0.078396,0.102332,1,-1,-1
41,41,1,0.394685,0.405946,2,-1,-1
42,42,1,0.487821,0.082799,1,-1,-1
43,43,2,0.767554,0.215797,1,-1,-1
44,44,1,0.836273,0.424388,1,-1,-1
45,45,2,0.666064,0.158527,1,-1,-1
46,46,1,0.606391,0.167075,1,-1,-1
47,47,1,0.489505,0.069144,1,-1,-1
48,48,3,0.101462,0.222189,1,-1,-1
49,49,1,0.554741,0.412968,1,-1,-1
50,50,1,0.643875,0.170422,1,-1,-1
51,51,1,0.10399,0.182756,1,-1,-1
52,52,2,0.100609,0.112149,1,-1,-1
53,53,1,0.196,0.318415,1,-1,-1
54,54,1,0.653581,0.235537,1,-1,-1
55,55,1,0.118422,0.112639,1,-1,-1
56,56,1,0.300013,0.134141,2,-1,-1
57,57,2,0.298457,0.298154,2,-1,-1
58,58,2,0.538598,0.307665,1,-1,-1
59,59,1,0.181701,0.32599,1,-1,-1
60,60,2,0.87596,0.218516,1,-1,-1
61,61,2,0.208188,0.252231,1,-1,-1
62,62,1,0.890115,0.36978,1,-1,-1
63,63,1,0.870669,0.346527,1,-1,-1
64,64,3,0.441217,0.16104,1,-1,-1
65,65,2,0.312711,0.064725,1,-1,-1
66,66,1,0.666866,0.408898,1,-1,-1
67,67,1,0.663374,0.432037,1,-1,-1
68,68,1,0.050644,0.199944,1,-1,-1
69,69,1,0.424657,0.226837,1,-1,-1
70,70,2,0.490173,0.098876,2,-1,-1
71,71,2,0.295434,0.232031,1,-1,-1
72,72,1,0.263588,0.35881,2,-1,-1
73,73,1,0.069532,0.29461,1,-1,-1
74,74,1,0.551235,0.424112,1,-1,-1
75,75,1,0.440193,0.416895,1,-1,-1
76,76,3,0.561744,0.047083,2,-1,-1
77,77,2,0.764133,0.196703,1,-1,-1
78,78,1,0.09626,0.160043,1,-1,-1
79,79,2,0.079582,0.274789,1,-1,-1
80,80,1,0.412535,0.214888,1,-1,-1
81,81,2,0.697258,0.419231,1,-1,-1
82,82,1,0.223358,0.22738,1,-1,-1
83,83,1,0.30777,0.214665,1,-1,-1
84,84,1,0.613428,0.169813,1,-1,-1
85,85,1,0.371013,0.352137,1,-1,-1
86,86,1,0.125096,0.160412,1,-1,-1
87,87,1,0.822807,0.094936,1,-1,-1
88,88,1,0.18516,0.191497,2,-1,-1
89,89,1,0.589289,0.049235,1,-1,-1
90,90,1,0.785995,0.268018,1,-1,-1
91,91,2,0.077779,0.121078,2,-1,-1
92,92,2,0.450462,0.0969,1,-1,-1
93,93,2,0.859315,0.221178,1,-1,-1
94,94,1,0.312296,0.347275,1,-1,-1
95,95,1,0.360313,0.362741,1,-1,-1
96,96,2,0.840935,0.069496,1,-1,-1
97,97,1,0.253487,0.41243,1,-1,-1
98,98,1,0.441722,0.281232,1,-1,-1
99,99,1,0.483906,0.058711,1,-1,-1
100,100,1,0.133374,0.07181,1,-1,-1
101,101,1,0.227431,0.393665,1,-1,-1
102,102,1,0.529487,0.223259,2,-1,-1
103,103,2,0.399049,0.158337,1,-1,-1
104,104,1,0.335684,0.097586,1,-1,-1
105,105,1,0.342121,0.244617,1,-1,-1
106,106,1,0.795951,0.04816,1,-1,-1
107,107,1,0.209393,0.356813,2,-1,-1
108,108,1,0.382912,0.357027,1,-1,-1
109,109,1,0.300168,0.062463,1,-1,-1
110,110,1,0.865832,0.139109,2,-1,-1
111,111,1,0.700508,0.407963,1,-1,-1
112,112,1,0.570343,0.390529,1,-1,-1
113,113,1,0.708596,0.181655,1,-1,-1
114,114,2,0.775883,0.210662,1,-1,-1
115,115,1,0.096097,0.230762,1,-1,-1
116,116,1,0.502417,0.364859,1,-1,-1
117,117,1,0.323019,0.113631,1,-1,-1
118,118,1,0.791904,0.217232,1,-1,-1
119,119,1,0.295954,0.401907,1,-1,-1
120,120,1,0.315286,0.090791,1,-1,-1
121,121,1,0.527986,0.047851,1,-1,-1
122,122,1,0.803674,0.413449,1,-1,-1
123,123,1,0.106765,0.160696,1,-1,-1
124,124,1,0.786923,0.240471,1,-1,-1
125,125,2,0.572731,0.27054,1,-1,-1
126,126,1,0.521291,0.214733,1,-1,-1
127,127,2,0.64045,0.170498,1,-1,-1
128,128,2,0.623444,0.279085,2,-1,-1
129,129,1,0.982053,0.268674,1,-1,-1
130,130,1,0.598796,0.298845,1,-1,-1
131,131,2,0.360748,0.099008,1,-1,-1
132,132,2,0.576055,0.42093,2,-1,-1
133,133,1,0.626617,0.077546,2,-1,-1
134,134,1,0.304152,0.358465,1,-1,-1
135,135,1,0.437343,0.151903,1,-1,-1
136,136,1,0.574077,0.298701,1,-1,-1
137,137,1,0.114514,0.155738,1,-1,-1
138,138,1,0.836736,0.297524,1,-1,-1
139,139,1,0.584094,0.302843,2,-1,-1
140,140,1,0.516088,0.39976,2,-1,-1
141,141,1,0.204641,0.255986,1,-1,-1
142,142,1,0.947304,0.130304,1,-1,-1
143,143,1,0.558414,0.165692,1,-1,-1
144,144,1,0.622888,0.055375,1,-1,-1
145,145,2,0.547724,0.21578,2,-1,-1
146,146,2,0.443792,0.418549,2,-1,-1
147,147,1,0.651901,0.052621,1,-1,-1
148,148,1,0.410944,0.374583,1,-1,-1
149,149,1,0.861428,0.322125,1,-1,-1
150,150,2,0.666946,0.400178,1,-1,-1
151,151,1,0.844875,0.322962,1,-1,-1
152,152,2,0.205161,0.055717,2,-1,-1
153,153,2,0.280994,0.285446,1,-1,-1
154,154,1,0.331968,0.12942,1,-1,-1
155,155,1,0.338299,0.268396,1,-1,-1
156,156,1,0.218556,0.039827,1,-1,-1
157,157,1,0.301645,0.072794,1,-1,-1
158,158,1,0.784639,0.10238,1,-1,-1
159,159,1,0.572101,0.064748,1,-1,-1
160,160,1,0.621364,0.221222,1,-1,-1
161,161,1,0.40231,0.228123,1,-1,-1
162,162,1,0.117291,0.173981,1,-1,-1
163,163,1,0.654292,0.461856,1,-1,-1
164,164,1,0.778938,0.269431,1,-1,-1
165,165,1,0.419102,0.08515,1,-1,-1
166,166,3,0.415092,0.182407,2,-1,-1
167,167,1,0.280938,0.2883,1,-1,-1
168,168,1,0.619486,0.143957,1,-1,-1
169,169,1,0.303565,0.070511,1,-1,-1
170,170,1,0.329026,0.417768,1,-1,-1
171,171,1,0.322565,0.152034,1,-1,-1
172,172,2,0.847855,0.222609,2,-1,-1
173,173,1,0.848778,0.31203,1,-1,-1
174,174,1,0.421067,0.166527,1,-1,-1
175,175,2,0.326868,0.378593,1,-1,-1
176,176,2,0.337976,0.170474,2,-1,-1
177,177,1,0.855783,0.265179,1,-1,-1
178,178,2,0.296474,0.419102,1,-1,-1
179,179,3,0.089764,0.307067,1,-1,-1
180,180,1,0.075086,0.138826,1,-1,-1
181,181,1,0.171661,0.099553,1,-1,-1
182,182,1,0.879711,0.299687,1,-1,-1
183,183,1,0.439788,0.336291,2,-1,-1
184,184,1,0.30816,0.211339,1,-1,-1
185,185,1,0.036382,0.089481,1,-1,-1
186,186,1,0.770414,0.233885,1,-1,-1
187,187,2,0.804435,0.08995,3,-1,-1
188,188,1,0.520423,0.398034,1,-1,-1
189,189,1,0.338529,0.103965,1,-1,-1
190,190,3,0.553496,0.315343,1,-1,-1
191,191,1,0.562749,0.071011,1,-1,-1
192,192,1,0.656407,0.195872,1,-1,-1
193,193,1,0.853633,0.209941,1,-1,-1
194,194,2,0.597942,0.159195,2,-1,-1
195,195,1,0.699443,0.413891,1,-1,-1
196,196,1,0.429778,0.054543,1,-1,-1
197,197,1,0.623684,0.389112,1,-1,-1
198,198,1,0.620564,0.330246,1,-1,-1
199,199,3,0.204498,0.346219,2,-1,-1
200,200,1,0.210832,0.340355,1,-1,-1
201,201,1,0.431641,0.40045,1,-1,-1
202,202,1,0.517275,0.388728,1,-1,-1
203,203,1,0.146059,0.059812,1,-1,-1
204,204,1,0.848601,0.337142,1,-1,-1
205,205,3,0.310708,0.098127,1,-1,-1
206,206,1,0.529032,0.30331,1,-1,-1
207,207,1,0.415163,0.329056,1,-1,-1
208,208,1,0.439855,0.255185,1,-1,-1
209,209,1,0.879187,0.120978,1,-1,-1
210,210,1,0.636914,0.163062,1,-1,-1
211,211,3,0.412192,0.189988,1,-1,-1
212,212,1,0.650931,0.315495,1,-1,-1
213,213,2,0.401483,0.406597,2,-1,-1
214,214,2,0.75976,0.237661,1,-1,-1
215,215,1,0.121233,0.318267,1,-1,-1
216,216,1,0.845781,0.435966,1,-1,-1
217,217,1,0.334538,0.086562,1,-1,-1
218,218,1,0.605339,0.193952,2,-1,-1
219,219,1,0.086741,0.27745,1,-1,-1
220,220,2,0.760587,0.242208,2,-1,-1
221,221,1,0.089316,0.212904,1,-1,-1
222,222,1,0.601764,0.05401,1,-1,-1
223,223,1,0.437671,0.322898,1,-1,-1
224,224,1,0.200685,0.185278,1,-1,-1
225,225,1,0.212903,0.14754,1,-1,-1
226,226,1,0.842551,0.181131,1,-1,-1
227,227,3,0.618227,0.175034,1,-1,-1
228,228,1,0.326267,0.22573,1,-1,-1
229,229,1,0.301088,0.092968,1,-1,-1
230,230,1,0.246054,0.394994,3,-1,-1
231,231,1,0.966653,0.088808,1,-1,-1
232,232,2,0.6757,0.410571,1,-1,-1
233,233,2,0.223977,0.321399,1,-1,-1
234,234,2,0.106699,0.320771,1,-1,-1
235,235,1,0.570693,0.251661,2,-1,-1
236,236,2,0.656354,0.264937,1,-1,-1
237,237,1,0.126214,0.132642,1,-1,-1
238,238,1,0.280196,0.396655,1,-1,-1
239,239,1,0.81435,0.227481,1,-1,-1
240,240,1,0.586695,0.08762,1,-1,-1
241,241,2,0.387976,0.373593,1,-1,-1
242,242,1,0.216968,0.413803,1,-1,-1
243,243,2,0.271232,0.395331,2,-1,-1
244,244,1,0.507725,0.167668,1,-1,-1
245,245,2,0.655339,0.289131,3,-1,-1
246,246,1,0.330481,0.229417,1,-1,-1
247,247,1,0.433572,0.417383,1,-1,-1
248,248,2,0.408225,0.24132,1,-1,-1
249,249,1,0.443476,0.377248,1,-1,-1
250,250,2,0.638468,0.416464,1,-1,-1
251,251,1,0.836788,0.054137,1,-1,-1
252,252,1,0.71277,0.062423,1,-1,-1
253,253,1,0.863797,0.253625,1,-1,-1
254,254,1,0.671027,0.457048,1,-1,-1
255,255,1,0.779351,0.06197,2,-1,-1
256,256,1,0.340613,0.230658,1,-1,-1
257,257,1,0.574666,0.238077,1,-1,-1
258,258,1,0.438781,0.021032,1,-1,-1
259,259,1,0.425056,0.359835,2,-1,-1
260,260,1,0.420466,0.206719,1,-1,-1
261,261,1,0.653203,0.323212,1,-1,-1
262,262,1,0.410623,0.174701,1,-1,-1
263,263,1,0.961819,0.266561,1,-1,-1
264,264,1,0.392728,0.19949,2,-1,-1
265,265,1,0.39993,0.367735,1,-1,-1
266,266,2,0.801216,0.181435,1,-1,-1
267,267,1,0.111816,0.055067,1,-1,-1
268,268,1,0.839404,0.127982,1,-1,-1
269,269,1,0.207141,0.175922,1,-1,-1
270,270,2,0.638338,0.307113,2,-1,-1
271,271,1,0.88154,0.205551,1,-1,-1
272,272,1,0.197256,0.403486,1,-1,-1
273,273,1,0.244594,0.41473,1,-1,-1
274,274,1,0.819607,0.22231,1,-1,-1
275,275,1,0.87765,0.15834,1,-1,-1
276,276,1,0.235559,0.107379,1,-1,-1
277,277,1,0.567851,0.285468,1,-1,-1
278,278,1,0.615289,0.254617,1,-1,-1
279,279,1,0.298623,0.055486,1,-1,-1
280,280,1,0.836919,0.354939,1,-1,-1
281,281,1,0.28345,0.096749,2,-1,-1
282,282,1,0.769923,0.21454,1,-1,-1
283,283,2,0.094526,0.089593,1,-1,-1
284,284,1,0.117712,0.300318,1,-1,-1
285,285,1,0.119687,0.109404,1,-1,-1
286,286,1,0.228837,0.178134,1,-1,-1
287,287,1,0.480982,0.083442,2,-1,-1
288,288,1,0.869885,0.064615,1,-1,-1
289,289,1,0.331927,0.403558,1,-1,-1
290,290,1,0.625946,0.331502,1,-1,-1
291,291,1,0.371757,0.358171,1,-1,-1
292,292,1,0.911343,0.290909,1,-1,-1
293,293,1,0.867284,0.066121,2,-1,-1
294,294,1,0.80573,0.265498,1,-1,-1
295,295,2,0.338224,0.207153,2,-1,-1
296,296,2,0.544125,0.36451,2,-1,-1
297,297,3,0.788047,0.10431,1,-1,-1
298,298,2,0.540502,0.270053,1,-1,-1
299,299,2,0.757931,0.07563,2,-1,-1
300,300,1,0.962356,0.092032,1,-1,-1
301,301,1,0.343597,0.173228,1,-1,-1
302,302,1,0.772097,0.239826,1,-1,-1
303,303,1,0.191329,0.405128,1,-1,-1
304,304,1,0.517217,0.200596,1,-1,-1
305,305,1,0.722626,0.400224,2,-1,-1
306,306,1,0.147433,0.151666,1,-1,-1
307,307,1,0.56874,0.072171,1,-1,-1
308,308,1,0.845976,0.17508,1,-1,-1
309,309,2,0.641082,0.050185,2,-1,-1
310,310,3,0.299096,0.307142,1,-1,-1
311,311,1,0.592123,0.297161,1,-1,-1
312,312,1,0.593452,0.198952,1,-1,-1
313,313,1,0.829276,0.172942,2,-1,-1
314,314,1,0.318855,0.317315,2,-1,-1
315,315,1,0.088482,0.070778,1,-1,-1
316,316,1,0.494867,0.099382,1,-1,-1
317,317,1,0.39149,0.418022,1,-1,-1
318,318,4,0.450638,0.092338,3,-1,-1
319,319,4,0.406659,0.370103,1,-1,-1
320,320,1,0.589073,0.425893,2,-1,-1
321,321,1,0.583495,0.303024,2,-1,-1
322,322,1,0.123591,0.095061,1,-1,-1
323,323,1,0.085211,0.23778,1,-1,-1
324,324,2,0.710898,0.186071,1,-1,-1
325,325,1,0.52719,0.167302,1,-1,-1
326,326,1,0.416652,0.228315,2,-1,-1
327,327,2,0.822443,0.086973,2,-1,-1
328,328,1,0.653652,0.373406,1,-1,-1
329,329,1,0.898086,0.156468,1,-1,-1
330,330,1,0.25881,0.401604,1,-1,-1
331,331,2,0.527692,0.186405,2,-1,-1
332,332,1,0.163129,0.08885,1,-1,-1
333,333,2,0.4993,0.086721,1,-1,-1
334,334,1,0.532609,0.337061,1,-1,-1
335,335,1,0.832089,0.318489,1,-1,-1
336,336,2,0.285195,0.262021,2,-1,-1
337,337,1,0.224524,0.110288,1,-1,-1
338,338,1,0.222585,0.256492,1,-1,-1
339,339,1,0.232757,0.403575,1,-1,-1
340,340,1,0.844351,0.246738,4,-1,-1
341,341,1,0.293788,0.275645,2,-1,-1
342,342,1,0.645641,0.183169,1,-1,-1
343,343,1,0.222831,0.424107,1,-1,-1
344,344,1,0.599749,0.204843,1,-1,-1
345,345,1,0.122137,0.21512,1,-1,-1
346,346,1,0.577455,0.052682,1,-1,-1
347,347,1,0.217347,0.368514,1,-1,-1
348,348,1,0.400725,0.321995,1,-1,-1
349,349,2,0.210566,0.232806,2,-1,-1
350,350,1,0.624986,0.089102,1,-1,-1
351,351,2,0.713528,0.084607,1,-1,-1
352,352,1,0.724256,0.266689,1,-1,-1
353,353,2,0.622057,0.153637,1,-1,-1
354,354,1,0.797692,0.166855,1,-1,-1
355,355,1,0.657489,0.0753,1,-1,-1
356,356,1,0.205843,0.055893,2,-1,-1
357,357,1,0.038161,0.09124,1,-1,-1
358,358,1,0.431984,0.383812,1,-1,-1
359,359,1,0.767048,0.079367,1,-1,-1
360,360,1,0.148618,0.433543,1,-1,-1
361,361,2,0.343473,0.090011,1,-1,-1
362,362,2,0.71595,0.416048,1,-1,-1
363,363,1,0.597252,0.415428,1,-1,-1
364,364,1,0.19328,0.316722,1,-1,-1
365,365,1,0.331134,0.131775,1,-1,-1
366,366,1,0.095299,0.081621,1,-1,-1
367,367,1,0.927168,0.318938,1,-1,-1
368,368,1,0.190858,0.336481,1,-1,-1
369,369,1,0.804067,0.450275,1,-1,-1
370,370,1,0.086072,0.386877,2,-1,-1
371,371,1,0.785848,0.071235,1,-1,-1
372,372,2,0.844529,0.272466,1,-1,-1
373,373,1,0.334252,0.487757,1,-1,-1
374,374,2,0.824415,0.052796,2,-1,-1
375,375,1,0.317917,0.183589,1,-1,-1
376,376,1,0.305653,0.227867,2,-1,-1
377,377,1,0.350744,0.357093,2,-1,-1
378,378,1,0.63357,0.390121,1,-1,-1
379,379,2,0.221459,0.265296,2,-1,-1
380,380,2,0.203571,0.0986,1,-1,-1
381,381,1,0.81558,0.242591,1,-1,-1
382,382,1,0.723984,0.399463,2,-1,-1
383,383,2,0.214012,0.241241,1,-1,-1
384,384,1,0.869645,0.107912,1,-1,-1
385,385,1,0.617241,0.328626,1,-1,-1
386,386,1,0.537797,0.200513,1,-1,-1
387,387,1,0.817858,0.10899,1,-1,-1
388,388,1,0.322596,0.261198,1,-1,-1
389,389,1,0.435585,0.353466,1,-1,-1
390,390,1,0.425567,0.321212,1,-1,-1
391,391,1,0.334265,0.394577,1,-1,-1
392,392,1,0.442351,0.413077,2,-1,-1
393,393,2,0.581194,0.39221,1,-1,-1
394,394,1,0.198813,0.053786,1,-1,-1
395,395,1,0.622374,0.049005,1,-1,-1
396,396,2,0.693032,0.391849,2,-1,-1
397,397,1,0.312043,0.129906,1,-1,-1
398,398,1,0.864155,0.324762,1,-1,-1
399,399,1,0.209757,0.113722,2,-1,-1
400,400,1,0.094219,0.110639,1,-1,-1
401,401,2,0.60414,0.251041,2,-1,-1
402,402,1,0.10543,0.275847,1,-1,-1
403,403,1,0.185573,0.338917,1,-1,-1
404,404,2,0.216233,0.398988,1,-1,-1
405,405,1,0.327666,0.268508,1,-1,-1
406,406,1,0.30712,0.378647,1,-1,-1
407,407,1,0.570802,0.312126,1,-1,-1
408,408,3,0.880804,0.175956,1,-1,-1
409,409,1,0.26338,0.097308,3,-1,-1
410,410,1,0.44692,0.302181,1,-1,-1
411,411,1,0.410372,0.235337,1,-1,-1
412,412,2,0.105128,0.289784,1,-1,-1
413,413,2,0.303748,0.221644,2,-1,-1
