Coord-0,Coord-1,class-label,gCluster-label,_#NO_CLASS#_
0.087224,0.141361,0,-1,-1
0.703939,0.400653,1,-1,-1
0.139431,0.248061,2,-1,-1
0.572867,0.397989,3,-1,-1
0.458449,0.052005,4,-1,-1
0.138826,0.306353,5,-1,-1
0.153628,0.06653,6,-1,-1
0.167502,0.053428,7,-1,-1
0.545123,0.09973,8,-1,-1
0.418668,0.268447,9,-1,-1
0.206671,0.165716,10,-1,-1
0.303845,0.190751,11,-1,-1
0.102652,0.200203,12,-1,-1
0.231185,0.315543,13,-1,-1
0.086955,0.072085,14,-1,-1
0.628602,0.234022,15,-1,-1
0.642867,0.217965,16,-1,-1
0.788417,0.28257,17,-1,-1
0.216998,0.304647,18,-1,-1
0.774375,0.268288,19,-1,-1
0.416318,0.349415,20,-1,-1
0.111858,0.12154,21,-1,-1
0.556296,0.364305,22,-1,-1
0.785657,0.231965,23,-1,-1
0.649847,0.193019,24,-1,-1
0.782804,0.479433,25,-1,-1
0.547396,0.295677,26,-1,-1
0.499275,0.124228,27,-1,-1
0.320251,0.079588,28,-1,-1
0.538899,0.11643,29,-1,-1
0.322749,0.364257,30,-1,-1
0.683227,0.42066,31,-1,-1
0.087345,0.302069,32,-1,-1
0.851519,0.136131,33,-1,-1
0.626171,0.204367,34,-1,-1
0.620192,0.373604,35,-1,-1
0.292546,0.393965,36,-1,-1
0.238244,0.08355,37,-1,-1
0.875321,0.253941,38,-1,-1
0.520826,0.161845,39,-1,-1
0.078396,0.102332,40,-1,-1
0.394685,0.405946,41,-1,-1
0.487821,0.082799,42,-1,-1
0.767305,0.215398,43,-1,-1
0.836273,0.424388,44,-1,-1
0.666053,0.159765,45,-1,-1
0.606391,0.167075,46,-1,-1
0.489505,0.069144,47,-1,-1
0.101537,0.2218,48,-1,-1
0.554741,0.412968,49,-1,-1
0.643875,0.170422,50,-1,-1
0.10399,0.182756,51,-1,-1
0.10028,0.111489,52,-1,-1
0.196,0.318415,53,-1,-1
0.653581,0.235537,54,-1,-1
0.118422,0.112639,55,-1,-1
