id,Label,Number_Points,x,y
0,0,2,0.002017,0.373370
1,1,1,0.001522,0.021942
2,2,1,0.001578,0.294478
3,3,2,0.007306,0.171685
4,4,1,0.006393,0.450917
5,5,1,0.007794,0.303401
6,6,1,0.009717,0.112442
7,7,1,0.012310,0.141265
8,8,1,0.012998,0.015171
9,9,2,0.017891,0.227235
10,10,1,0.017387,0.060131
11,11,1,0.017618,0.358634
12,12,8,0.036066,0.092429
13,13,1,0.022364,0.386665
14,14,3,0.033472,0.126784
15,15,2,0.028893,0.303883
16,16,2,0.027362,0.027119
17,17,1,0.026316,0.272561
18,18,1,0.027503,0.225593
19,19,1,0.029995,0.203649
20,20,1,0.030759,0.417966
21,21,1,0.031276,0.249037
22,22,9,0.035160,0.069808
23,23,1,0.038340,0.108756
24,24,7,0.041354,0.111953
25,25,6,0.044737,0.149312
26,26,5,0.042656,0.131415
27,27,1,0.041773,0.339476
28,28,3,0.049463,0.408866
29,29,5,0.052436,0.249840
30,30,6,0.047432,0.165885
31,31,2,0.047461,0.344139
32,32,4,0.051054,0.212140
33,33,5,0.051327,0.192429
34,34,1,0.051093,0.098585
35,35,1,0.051855,0.018888
36,36,2,0.054284,0.226624
37,37,2,0.059628,0.266743
38,38,1,0.062701,0.454800
39,39,3,0.072015,0.310809
40,40,1,0.063652,0.432783
41,41,5,0.071526,0.329970
42,42,1,0.067182,0.479460
43,43,2,0.073324,0.153257
44,44,1,0.076013,0.014756
45,45,1,0.077198,0.362324
46,46,2,0.083057,0.355409
47,47,7,0.086711,0.390960
48,48,2,0.082313,0.364481
49,49,6,0.089958,0.412742
50,50,1,0.086890,0.039843
51,51,2,0.097143,0.430180
52,52,10,0.108643,0.451001
53,53,1,0.109732,0.482000
54,54,1,0.110067,0.437660
55,55,2,0.116092,0.469121
56,56,1,0.115764,0.418834
57,57,3,0.128661,0.324856
58,58,1,0.120554,0.372756
59,59,1,0.121061,0.299233
60,60,6,0.131196,0.453777
61,61,1,0.125006,0.462003
62,62,1,0.125655,0.488286
63,63,2,0.131334,0.351429
64,64,1,0.141212,0.188519
65,65,2,0.145685,0.032990
66,66,2,0.147190,0.276212
67,67,1,0.144406,0.215874
68,68,1,0.144688,0.384455
69,69,10,0.150422,0.430216
70,70,1,0.146016,0.282201
71,71,1,0.146510,0.440811
72,72,1,0.147433,0.151666
73,73,1,0.152435,0.179144
74,74,1,0.152669,0.319498
75,75,1,0.154663,0.476486
