CM-0,CM-1,cell-id,qty-points,connected-cells,gCluster-label
0.002017,0.37337,0,2,1,-1
0.001522,0.021942,1,1,1,-1
0.001578,0.294478,2,1,1,-1
0.007306,0.171685,3,2,1,-1
0.006393,0.450917,4,1,1,-1
0.007794,0.303401,5,1,1,-1
0.009717,0.112442,6,1,1,-1
0.01231,0.141265,7,1,1,-1
0.012998,0.015171,8,1,1,-1
0.017891,0.227235,9,2,1,-1
0.017387,0.060131,10,1,1,-1
0.017618,0.358634,11,1,1,-1
0.036066,0.092429,12,8,1,-1
0.022364,0.386665,13,1,1,-1
0.033472,0.126784,14,3,1,-1
0.028893,0.303883,15,2,1,-1
0.027362,0.027119,16,2,1,-1
0.026316,0.272561,17,1,1,-1
0.027503,0.225593,18,1,1,-1
0.029995,0.203649,19,1,1,-1
0.030759,0.417966,20,1,1,-1
0.031276,0.249037,21,1,1,-1
0.03516,0.069808,22,9,1,-1
0.03834,0.108756,23,1,2,-1,24
0.041354,0.111953,24,7,2,-1,23
0.044737,0.149312,25,6,1,-1
0.042656,0.131415,26,5,1,-1
0.041773,0.339476,27,1,1,-1
0.049463,0.408866,28,3,1,-1
0.052436,0.24984,29,5,1,-1
0.047432,0.165885,30,6,1,-1
0.047461,0.344139,31,2,1,-1
0.051054,0.21214,32,4,1,-1
0.051327,0.192429,33,5,1,-1
0.051093,0.098585,34,1,1,-1
0.051855,0.018888,35,1,1,-1
0.054284,0.226624,36,2,1,-1
0.059628,0.266743,37,2,1,-1
0.062701,0.4548,38,1,1,-1
0.072015,0.310809,39,3,1,-1
0.063652,0.432783,40,1,1,-1
0.071526,0.32997,41,5,1,-1
0.067182,0.47946,42,1,1,-1
0.073324,0.153257,43,2,1,-1
0.076013,0.014756,44,1,1,-1
0.077198,0.362324,45,1,1,-1
0.083057,0.355409,46,2,1,-1
0.086711,0.39096,47,7,1,-1
0.082313,0.364481,48,2,1,-1
0.089958,0.412742,49,6,1,-1
0.08689,0.039843,50,1,1,-1
0.097143,0.43018,51,2,1,-1
0.108643,0.451001,52,10,1,-1
0.109732,0.482,53,1,1,-1
0.110067,0.43766,54,1,1,-1
0.116092,0.469121,55,2,1,-1
0.115764,0.418834,56,1,1,-1
0.128661,0.324856,57,3,1,-1
0.120554,0.372756,58,1,1,-1
0.121061,0.299233,59,1,1,-1
0.131196,0.453777,60,6,1,-1
0.125006,0.462003,61,1,1,-1
0.125655,0.488286,62,1,1,-1
0.131334,0.351429,63,2,1,-1
0.141212,0.188519,64,1,1,-1
0.145685,0.03299,65,2,1,-1
0.14719,0.276212,66,2,1,-1
0.144406,0.215874,67,1,1,-1
0.144688,0.384455,68,1,1,-1
0.150422,0.430216,69,10,1,-1
0.146016,0.282201,70,1,1,-1
0.14651,0.440811,71,1,1,-1
0.147433,0.151666,72,1,1,-1
0.152435,0.179144,73,1,1,-1
0.152669,0.319498,74,1,1,-1
0.154663,0.476486,75,1,1,-1
0.162922,0.343283,76,1,1,-1
0.163847,0.125631,77,1,1,-1
0.172799,0.145939,78,2,1,-1
0.172115,0.461709,79,1,1,-1
0.173978,0.184026,80,1,1,-1
0.175099,0.449412,81,1,1,-1
0.177714,0.163923,82,1,1,-1
0.194072,0.033118,83,1,1,-1
0.197251,0.435014,84,1,1,-1
0.197382,0.474497,85,1,1,-1
0.198539,0.485205,86,2,1,-1
0.209168,0.490214,87,1,1,-1
0.218556,0.039827,88,1,1,-1
0.222831,0.424107,89,1,1,-1
0.245464,0.253735,90,2,1,-1
0.245318,0.304118,91,2,1,-1
0.240781,0.15276,92,1,1,-1
0.240883,0.333524,93,1,1,-1
0.249142,0.202476,94,2,1,-1
0.246039,0.288104,95,2,1,-1
0.252209,0.486323,96,1,1,-1
0.254702,0.173544,97,2,1,-1
0.261492,0.268968,98,1,1,-1
0.264588,0.161589,99,1,1,-1
0.265818,0.186102,100,1,1,-1
0.27123,0.44773,101,2,1,-1
0.279727,0.317971,102,1,1,-1
0.294545,0.478115,103,1,1,-1
0.305525,0.35314,104,3,1,-1
0.308134,0.474283,105,1,1,-1
0.316173,0.450671,106,1,1,-1
0.323368,0.47021,107,4,1,-1
0.322503,0.454166,108,1,1,-1
0.329689,0.484257,109,2,1,-1
0.343289,0.0578,110,2,1,-1
0.343304,0.466064,111,1,1,-1
0.34396,0.321705,112,2,1,-1
0.348802,0.430169,113,1,1,-1
0.355312,0.485408,114,2,1,-1
0.360748,0.099008,115,2,1,-1
0.363122,0.112415,116,4,1,-1
0.362562,0.306815,117,1,1,-1
0.371461,0.130421,118,5,1,-1
0.3713,0.03561,119,2,1,-1
0.374277,0.150852,120,7,1,-1
0.372316,0.27052,121,2,1,-1
0.371853,0.238286,122,1,1,-1
0.376066,0.432882,123,1,1,-1
0.376649,0.331658,124,1,1,-1
0.394035,0.056739,125,2,1,-1
0.396107,0.27189,126,4,1,-1
0.397127,0.063002,127,2,1,-1
0.419018,0.423498,128,1,1,-1
0.429377,0.108702,129,5,1,-1
0.426882,0.457157,130,1,1,-1
0.434998,0.460641,131,1,1,-1
0.438781,0.021032,132,1,1,-1
0.44723,0.151873,133,2,1,-1
0.456898,0.44219,134,1,1,-1
0.465766,0.425763,135,2,1,-1
0.465767,0.451544,136,4,1,-1
0.471923,0.347253,137,2,1,-1
0.473942,0.27247,138,1,1,-1
0.477989,0.460797,139,1,1,-1
0.489289,0.455131,140,8,1,-1
0.491209,0.357965,141,1,1,-1
0.493848,0.017722,142,1,1,-1
0.495767,0.035433,143,1,1,-1
0.497719,0.204486,144,4,1,-1
0.497271,0.413488,145,3,1,-1
0.497802,0.424895,146,2,1,-1
0.502048,0.444056,147,1,1,-1
0.503187,0.316045,148,1,1,-1
0.504435,0.247719,149,2,1,-1
0.505121,0.276657,150,1,1,-1
0.513407,0.470446,151,1,1,-1
0.516354,0.038415,152,2,1,-1
0.534078,0.458184,153,1,1,-1
0.53677,0.353411,154,1,1,-1
0.540096,0.441494,155,1,1,-1
0.546989,0.345676,156,3,1,-1
0.55242,0.250118,157,3,1,-1
0.548042,0.487966,158,1,1,-1
0.55097,0.024085,159,1,1,-1
0.553152,0.47455,160,1,1,-1
0.560284,0.158444,161,1,1,-1
0.560516,0.133312,162,1,1,-1
0.576268,0.232066,163,3,1,-1
0.584081,0.453404,164,1,1,-1
0.591078,0.349645,165,2,1,-1
0.598529,0.485313,166,1,1,-1
0.609131,0.489273,167,1,1,-1
0.610284,0.014235,168,1,1,-1
0.613383,0.449771,169,3,1,-1
0.611789,0.475807,170,1,1,-1
0.626839,0.344446,171,1,1,-1
0.632695,0.475412,172,1,1,-1
0.640553,0.486185,173,1,1,-1
0.651243,0.425744,174,2,1,-1
0.648741,0.037257,175,1,1,-1
0.654292,0.461856,176,1,1,-1
0.666109,0.449481,177,3,1,-1
0.665807,0.161155,178,1,2,-1,179
0.666064,0.158527,179,2,2,-1,178
0.666954,0.113879,180,1,1,-1
0.667474,0.025188,181,1,1,-1
0.668443,0.228415,182,1,1,-1
0.668457,0.242732,183,1,1,-1
0.668526,0.190058,184,1,1,-1
0.675128,0.042121,185,1,1,-1
0.678834,0.476171,186,1,1,-1
0.686441,0.070446,187,2,1,-1
0.684262,0.091162,188,5,1,-1
0.682032,0.440827,189,1,1,-1
0.686508,0.177155,190,2,1,-1
0.687123,0.46453,191,2,1,-1
0.687037,0.2767,192,1,1,-1
0.688054,0.220343,193,1,1,-1
0.691229,0.110768,194,4,1,-1
0.692631,0.24608,195,1,1,-1
0.693923,0.12311,196,2,1,-1
0.700639,0.02823,197,1,1,-1
0.703656,0.151621,198,4,1,-1
0.712912,0.206744,199,5,1,-1
0.706174,0.169173,200,6,1,-1
0.705372,0.124369,201,1,1,-1
0.713164,0.24871,202,2,1,-1
0.711467,0.185161,203,4,1,-1
0.710208,0.440872,204,1,1,-1
0.710217,0.262462,205,1,1,-1
0.716233,0.069241,206,2,1,-1
0.718537,0.225885,207,2,1,-1
0.724772,0.248595,208,5,1,-1
0.728177,0.26796,209,6,1,-1
0.723783,0.232723,210,5,1,-1
0.724623,0.21835,211,1,1,-1
0.73291,0.308561,212,8,2,-1,213
0.732046,0.288612,213,11,2,-1,212
0.728679,0.131847,214,1,1,-1
0.732464,0.447952,215,2,1,-1
0.733652,0.015708,216,1,1,-1
0.7361,0.472666,217,2,1,-1
0.737436,0.356064,218,1,1,-1
0.738992,0.329035,219,4,1,-1
0.74263,0.316464,220,2,1,-1
0.74716,0.130091,221,3,1,-1
0.742963,0.336502,222,3,1,-1
0.746605,0.422314,223,2,1,-1
0.746595,0.349463,224,3,1,-1
0.745537,0.15935,225,1,1,-1
0.757733,0.036879,226,1,1,-1
0.758815,0.475117,227,1,1,-1
0.763308,0.415703,228,2,1,-1
0.767821,0.429733,229,9,1,-1
0.767275,0.354617,230,1,1,-1
0.772176,0.472569,231,1,1,-1
0.773654,0.445798,232,5,1,-1
0.773177,0.031658,233,1,1,-1
0.776318,0.123331,234,1,1,-1
0.778582,0.153261,235,2,1,-1
0.779989,0.01911,236,1,1,-1
0.781262,0.421177,237,1,1,-1
0.789917,0.466787,238,6,1,-1
0.783385,0.401827,239,1,1,-1
0.786355,0.370839,240,1,1,-1
0.793675,0.448943,241,3,1,-1
0.788837,0.030134,242,1,1,-1
0.797254,0.3908,243,1,1,-1
0.800126,0.340666,244,1,1,-1
0.809433,0.451236,245,4,1,-1
0.80234,0.372928,246,1,1,-1
0.803674,0.413449,247,1,1,-1
0.811749,0.464343,248,3,1,-1
0.812499,0.483458,249,2,1,-1
0.824962,0.445951,250,3,1,-1
0.835809,0.429041,251,7,2,-1,255
0.83447,0.01858,252,1,1,-1
0.838682,0.379917,253,1,1,-1
0.839501,0.417711,254,2,2,-1,256
0.843133,0.427983,255,2,2,-1,251
0.845873,0.413599,256,6,2,-1,254
0.852757,0.39005,257,5,1,-1
0.847993,0.034876,258,2,1,-1
0.848682,0.475299,259,1,1,-1
0.852099,0.01726,260,1,1,-1
0.862356,0.056498,261,1,1,-1
0.870778,0.038344,262,2,1,-1
0.867039,0.017016,263,3,1,-1
0.883904,0.186875,264,2,1,-1
0.89123,0.275964,265,2,1,-1
0.89353,0.413982,266,1,1,-1
0.897189,0.469693,267,1,1,-1
0.903005,0.055334,268,4,1,-1
0.902639,0.364197,269,2,1,-1
0.904813,0.266781,270,5,1,-1
0.910615,0.212167,271,2,1,-1
0.902412,0.482152,272,1,1,-1
0.902877,0.165073,273,1,1,-1
0.907198,0.288503,274,2,1,-1
0.903655,0.303228,275,1,1,-1
0.907679,0.095473,276,1,1,-1
0.914257,0.232377,277,7,1,-1
0.912629,0.246662,278,4,1,-1
0.91189,0.12851,279,1,1,-1
