Id,Coord-0,Coord-1,gCluster-label,Class,X,Y
0,0.001026,0.368077,-1,-1,14.642276,244.416202
1,0.001522,0.021942,-1,-1,14.952772,27.735692
2,0.001578,0.294478,-1,-1,14.987828,198.343228
3,0.003008,0.378663,-1,-1,15.883008,251.043038
4,0.005871,0.166575,-1,-1,17.675246,118.27595
5,0.006393,0.450917,-1,-1,18.002018,296.274042
6,0.007794,0.303401,-1,-1,18.879044,203.929026
7,0.00874,0.176796,-1,-1,19.47124,124.674296
8,0.009717,0.112442,-1,-1,20.082842,84.388692
9,0.01231,0.141265,-1,-1,21.70606,102.43189
10,0.012998,0.015171,-1,-1,22.136748,23.497046
11,0.016853,0.223382,-1,-1,24.549978,153.837132
12,0.017387,0.060131,-1,-1,24.884262,51.642006
13,0.017618,0.358634,-1,-1,25.028868,238.504884
14,0.018928,0.231089,-1,-1,25.848928,158.661714
15,0.021588,0.082137,-1,-1,27.514088,65.417762
16,0.022364,0.386665,-1,-1,27.999864,256.05229
17,0.023572,0.122754,-1,-1,28.756072,90.844004
18,0.023962,0.301016,-1,-1,29.000212,202.436016
19,0.024752,0.029494,-1,-1,29.494752,32.463244
20,0.026316,0.272561,-1,-1,30.473816,184.623186
21,0.027503,0.225593,-1,-1,31.216878,155.221218
22,0.029973,0.024743,-1,-1,32.763098,29.489118
23,0.029995,0.203649,-1,-1,32.77687,141.484274
24,0.030759,0.417966,-1,-1,33.255134,275.646716
25,0.031276,0.249037,-1,-1,33.578776,169.897162
26,0.031604,0.076011,-1,-1,33.784104,61.582886
27,0.032674,0.074824,-1,-1,34.453924,60.839824
28,0.033224,0.065516,-1,-1,34.798224,55.013016
29,0.033823,0.306751,-1,-1,35.173198,206.026126
30,0.034094,0.062744,-1,-1,35.342844,53.277744
31,0.035043,0.067002,-1,-1,35.936918,55.943252
32,0.035687,0.061446,-1,-1,36.340062,52.465196
33,0.036382,0.089481,-1,-1,36.775132,70.015106
34,0.036581,0.099869,-1,-1,36.899706,76.517994
35,0.036909,0.134749,-1,-1,37.105034,98.352874
36,0.037698,0.075819,-1,-1,37.598948,61.462694
37,0.037748,0.099722,-1,-1,37.630248,76.425972
38,0.038161,0.09124,-1,-1,37.888786,71.11624
39,0.038169,0.072265,-1,-1,37.893794,59.23789
40,0.038249,0.072642,-1,-1,37.943874,59.473892
41,0.03834,0.108756,-1,-1,38.00084,82.081256
42,0.039176,0.098698,-1,-1,38.524176,75.784948
43,0.039345,0.093273,-1,-1,38.62997,72.388898
44,0.039548,0.085011,-1,-1,38.757048,67.216886
45,0.039935,0.12285,-1,-1,38.99931,90.9041
46,0.040583,0.102299,-1,-1,39.404958,78.039174
47,0.040641,0.118292,-1,-1,39.441266,88.050792
48,0.040764,0.115011,-1,-1,39.518264,85.996886
49,0.040823,0.146466,-1,-1,39.555198,105.687716
50,0.041272,0.119363,-1,-1,39.836272,88.721238
51,0.041275,0.103238,-1,-1,39.83815,78.626988
52,0.04155,0.130029,-1,-1,40.0103,95.398154
53,0.041773,0.339476,-1,-1,40.149898,226.511976
54,0.041856,0.125757,-1,-1,40.201856,92.723882
55,0.041877,0.405962,-1,-1,40.215002,268.132212
56,0.042139,0.112594,-1,-1,40.379014,84.483844
57,0.042482,0.139681,-1,-1,40.593732,101.440306
58,0.042565,0.144064,-1,-1,40.64569,104.184064
59,0.042805,0.112871,-1,-1,40.79593,84.657246
60,0.043149,0.137554,-1,-1,41.011274,100.108804
61,0.043609,0.259762,-1,-1,41.299234,176.611012
62,0.044243,0.124053,-1,-1,41.696118,91.657178
63,0.04443,0.160939,-1,-1,41.81318,114.747814
64,0.04493,0.147542,-1,-1,42.12618,106.361292
65,0.045468,0.246417,-1,-1,42.462968,168.257042
66,0.046262,0.346256,-1,-1,42.960012,230.756256
67,0.046358,0.157605,-1,-1,43.020108,112.66073
68,0.046495,0.21527,-1,-1,43.10587,148.75902
69,0.046869,0.144343,-1,-1,43.339994,104.358718
70,0.046875,0.155853,-1,-1,43.34375,111.563978
71,0.047511,0.17049,-1,-1,43.741886,120.72674
72,0.047594,0.167374,-1,-1,43.793844,118.776124
73,0.047815,0.166954,-1,-1,43.93219,118.513204
74,0.047942,0.415262,-1,-1,44.011692,273.954012
75,0.048444,0.166518,-1,-1,44.325944,118.240268
76,0.04866,0.342021,-1,-1,44.46116,228.105146
77,0.048797,0.163035,-1,-1,44.546922,116.05991
78,0.050342,0.19126,-1,-1,45.514092,133.72876
79,0.050644,0.199944,-1,-1,45.703144,139.164944
80,0.051093,0.098585,-1,-1,45.984218,75.71421
81,0.05116,0.208848,-1,-1,46.02616,144.738848
82,0.051179,0.193746,-1,-1,46.038054,135.284996
83,0.051855,0.018888,-1,-1,46.46123,25.823888
84,0.051915,0.189856,-1,-1,46.49879,132.849856
85,0.052026,0.218625,-1,-1,46.568276,150.85925
86,0.052553,0.187339,-1,-1,46.898178,131.274214
87,0.052974,0.232904,-1,-1,47.161724,159.797904
88,0.054534,0.205816,-1,-1,48.138284,142.840816
89,0.055594,0.220345,-1,-1,48.801844,151.93597
90,0.05611,0.245968,-1,-1,49.12486,167.975968
91,0.0572,0.245843,-1,-1,49.8072,167.897718
92,0.058569,0.405374,-1,-1,50.664194,267.764124
93,0.059428,0.265377,-1,-1,51.201928,180.126002
94,0.059792,0.251209,-1,-1,51.429792,171.256834
95,0.059827,0.268109,-1,-1,51.451702,181.836234
