x,x,cell-id,label-gC,label-GT
0.001026,0.368077,0,-1,-1
0.001522,0.021942,1,-1,-1
0.001578,0.294478,2,-1,-1
0.003008,0.378663,0,-1,-1
0.005871,0.166575,3,-1,-1
0.006393,0.450917,4,-1,-1
0.007794,0.303401,5,-1,-1
0.00874,0.176796,3,-1,-1
0.009717,0.112442,6,-1,-1
0.01231,0.141265,7,-1,-1
0.012998,0.015171,8,-1,-1
0.016853,0.223382,9,-1,-1
0.017387,0.060131,10,-1,-1
0.017618,0.358634,11,-1,-1
0.018928,0.231089,9,-1,-1
0.021588,0.082137,12,-1,-1
0.022364,0.386665,13,-1,-1
0.023572,0.122754,14,-1,-1
0.023962,0.301016,15,-1,-1
0.024752,0.029494,16,-1,-1
0.026316,0.272561,17,-1,-1
0.027503,0.225593,18,-1,-1
0.029973,0.024743,16,-1,-1
0.029995,0.203649,19,-1,-1
0.030759,0.417966,20,-1,-1
0.031276,0.249037,21,-1,-1
0.031604,0.076011,22,-1,-1
0.032674,0.074824,22,-1,-1
0.033224,0.065516,22,-1,-1
0.033823,0.306751,15,-1,-1
0.034094,0.062744,22,-1,-1
0.035043,0.067002,22,-1,-1
0.035687,0.061446,22,-1,-1
0.036382,0.089481,12,-1,-1
0.036581,0.099869,12,-1,-1
0.036909,0.134749,14,-1,-1
0.037698,0.075819,22,-1,-1
0.037748,0.099722,12,-1,-1
0.038161,0.09124,12,-1,-1
0.038169,0.072265,22,-1,-1
0.038249,0.072642,22,-1,-1
0.03834,0.108756,23,-1,-1
0.039176,0.098698,12,-1,-1
0.039345,0.093273,12,-1,-1
0.039548,0.085011,12,-1,-1
0.039935,0.12285,14,-1,-1
0.040583,0.102299,24,-1,-1
0.040641,0.118292,24,-1,-1
0.040764,0.115011,24,-1,-1
0.040823,0.146466,25,-1,-1
0.041272,0.119363,24,-1,-1
0.041275,0.103238,24,-1,-1
0.04155,0.130029,26,-1,-1
0.041773,0.339476,27,-1,-1
0.041856,0.125757,26,-1,-1
0.041877,0.405962,28,-1,-1
0.042139,0.112594,24,-1,-1
0.042482,0.139681,26,-1,-1
0.042565,0.144064,25,-1,-1
0.042805,0.112871,24,-1,-1
0.043149,0.137554,26,-1,-1
0.043609,0.259762,29,-1,-1
0.044243,0.124053,26,-1,-1
0.04443,0.160939,30,-1,-1
0.04493,0.147542,25,-1,-1
0.045468,0.246417,29,-1,-1
0.046262,0.346256,31,-1,-1
0.046358,0.157605,25,-1,-1
0.046495,0.21527,32,-1,-1
0.046869,0.144343,25,-1,-1
0.046875,0.155853,25,-1,-1
0.047511,0.17049,30,-1,-1
0.047594,0.167374,30,-1,-1
0.047815,0.166954,30,-1,-1
0.047942,0.415262,28,-1,-1
0.048444,0.166518,30,-1,-1
0.04866,0.342021,31,-1,-1
0.048797,0.163035,30,-1,-1
0.050342,0.19126,33,-1,-1
0.050644,0.199944,33,-1,-1
0.051093,0.098585,34,-1,-1
0.05116,0.208848,32,-1,-1
0.051179,0.193746,33,-1,-1
0.051855,0.018888,35,-1,-1
0.051915,0.189856,33,-1,-1
0.052026,0.218625,32,-1,-1
0.052553,0.187339,33,-1,-1
0.052974,0.232904,36,-1,-1
0.054534,0.205816,32,-1,-1
0.055594,0.220345,36,-1,-1
0.05611,0.245968,29,-1,-1
0.0572,0.245843,29,-1,-1
0.058569,0.405374,28,-1,-1
0.059428,0.265377,37,-1,-1
0.059792,0.251209,29,-1,-1
0.059827,0.268109,37,-1,-1
0.062701,0.4548,38,-1,-1
0.063415,0.317738,39,-1,-1
0.063652,0.432783,40,-1,-1
0.066192,0.33526,41,-1,-1
0.067182,0.47946,42,-1,-1
0.068038,0.154974,43,-1,-1
0.069042,0.330847,41,-1,-1
0.070949,0.333131,41,-1,-1
0.074788,0.320714,41,-1,-1
0.075248,0.313171,39,-1,-1
0.076013,0.014756,44,-1,-1
0.076657,0.329896,41,-1,-1
0.077198,0.362324,45,-1,-1
0.077383,0.301519,39,-1,-1
0.078609,0.15154,43,-1,-1
0.08034,0.35828,46,-1,-1
0.081248,0.380684,47,-1,-1
0.08223,0.36201,48,-1,-1
0.082395,0.366952,48,-1,-1
0.083506,0.398879,47,-1,-1
0.083847,0.393709,47,-1,-1
0.085331,0.387058,47,-1,-1
0.085775,0.352537,46,-1,-1
0.086072,0.386877,47,-1,-1
0.086634,0.409538,49,-1,-1
0.08689,0.039843,50,-1,-1
0.088398,0.397708,47,-1,-1
0.088829,0.410618,49,-1,-1
0.089796,0.412521,49,-1,-1
0.090155,0.41711,49,-1,-1
0.090973,0.408776,49,-1,-1
0.093359,0.417891,49,-1,-1
0.094695,0.427176,51,-1,-1
0.098575,0.391805,47,-1,-1
0.099591,0.433184,51,-1,-1
0.10101,0.441527,52,-1,-1
0.101463,0.44634,52,-1,-1
0.102286,0.450677,52,-1,-1
0.102422,0.444703,52,-1,-1
0.105334,0.447693,52,-1,-1
0.109732,0.482,53,-1,-1
0.110067,0.43766,54,-1,-1
0.113147,0.453037,52,-1,-1
0.113195,0.452288,52,-1,-1
0.113835,0.456597,52,-1,-1
0.115222,0.476591,55,-1,-1
0.115529,0.459016,52,-1,-1
0.115764,0.418834,56,-1,-1
0.116962,0.461652,55,-1,-1
0.118208,0.458134,52,-1,-1
0.120091,0.32212,57,-1,-1
0.120554,0.372756,58,-1,-1
0.121061,0.299233,59,-1,-1
0.124086,0.456658,60,-1,-1
0.125006,0.462003,61,-1,-1
0.125655,0.488286,62,-1,-1
0.126982,0.455283,60,-1,-1
0.127081,0.455882,60,-1,-1
0.128361,0.322615,57,-1,-1
0.130626,0.342984,63,-1,-1
0.132042,0.359874,63,-1,-1
0.134811,0.45195,60,-1,-1
0.135709,0.454369,60,-1,-1
0.13753,0.329832,57,-1,-1
0.138508,0.448519,60,-1,-1
0.141212,0.188519,64,-1,-1
0.142527,0.037385,65,-1,-1
0.143268,0.273738,66,-1,-1
0.144406,0.215874,67,-1,-1
0.144688,0.384455,68,-1,-1
0.145438,0.433609,69,-1,-1
0.146016,0.282201,70,-1,-1
0.14651,0.440811,71,-1,-1
0.147433,0.151666,72,-1,-1
0.147567,0.437369,69,-1,-1
0.148495,0.437168,69,-1,-1
0.148618,0.433543,69,-1,-1
0.148843,0.028594,65,-1,-1
0.149291,0.429168,69,-1,-1
0.150794,0.437367,69,-1,-1
0.151112,0.278687,66,-1,-1
0.152288,0.424602,69,-1,-1
0.152435,0.179144,73,-1,-1
0.152583,0.427564,69,-1,-1
0.152669,0.319498,74,-1,-1
0.152821,0.420976,69,-1,-1
0.154663,0.476486,75,-1,-1
0.156321,0.420792,69,-1,-1
0.162922,0.343283,76,-1,-1
0.163847,0.125631,77,-1,-1
0.168585,0.143703,78,-1,-1
0.172115,0.461709,79,-1,-1
0.173978,0.184026,80,-1,-1
0.175099,0.449412,81,-1,-1
0.177013,0.148174,78,-1,-1
0.177714,0.163923,82,-1,-1
0.194072,0.033118,83,-1,-1
0.197251,0.435014,84,-1,-1
0.197382,0.474497,85,-1,-1
0.198057,0.490184,86,-1,-1
0.199022,0.480225,86,-1,-1
0.209168,0.490214,87,-1,-1
0.218556,0.039827,88,-1,-1
0.222831,0.424107,89,-1,-1
0.240182,0.257291,90,-1,-1
0.240538,0.30061,91,-1,-1
0.240781,0.15276,92,-1,-1
0.240883,0.333524,93,-1,-1
0.240976,0.200819,94,-1,-1
0.245976,0.283992,95,-1,-1
0.246102,0.292217,95,-1,-1
0.250097,0.307626,91,-1,-1
0.250746,0.250179,90,-1,-1
0.252209,0.486323,96,-1,-1
0.25366,0.173767,97,-1,-1
0.255743,0.173321,97,-1,-1
0.257308,0.204133,94,-1,-1
0.261492,0.268968,98,-1,-1
0.264588,0.161589,99,-1,-1
0.265818,0.186102,100,-1,-1
0.268224,0.455371,101,-1,-1
0.274236,0.440088,101,-1,-1
0.279727,0.317971,102,-1,-1
0.294545,0.478115,103,-1,-1
0.300126,0.353681,104,-1,-1
0.304152,0.358465,104,-1,-1
0.308134,0.474283,105,-1,-1
0.312296,0.347275,104,-1,-1
0.316173,0.450671,106,-1,-1
0.322185,0.469193,107,-1,-1
0.322503,0.454166,108,-1,-1
0.322855,0.464888,107,-1,-1
0.323906,0.471673,107,-1,-1
0.324524,0.475085,107,-1,-1
0.325125,0.480756,109,-1,-1
0.334252,0.487757,109,-1,-1
0.343262,0.05657,110,-1,-1
0.343304,0.466064,111,-1,-1
0.343315,0.059029,110,-1,-1
0.343958,0.320976,112,-1,-1
0.343962,0.322434,112,-1,-1
0.348802,0.430169,113,-1,-1
0.355011,0.483976,114,-1,-1
0.355613,0.48684,114,-1,-1
0.360212,0.099502,115,-1,-1
0.361144,0.109527,116,-1,-1
0.361284,0.098514,115,-1,-1
0.361877,0.111367,116,-1,-1
0.362562,0.306815,117,-1,-1
0.362633,0.133179,118,-1,-1
0.362719,0.112267,116,-1,-1
0.363019,0.037065,119,-1,-1
0.363706,0.156912,120,-1,-1
0.366748,0.116497,116,-1,-1
0.368438,0.126558,118,-1,-1
0.368682,0.270978,121,-1,-1
0.371853,0.238286,122,-1,-1
0.372545,0.141899,120,-1,-1
0.372839,0.123703,118,-1,-1
0.374375,0.147944,120,-1,-1
0.374914,0.130433,118,-1,-1
0.37539,0.144933,120,-1,-1
0.37595,0.270062,121,-1,-1
0.376066,0.432882,123,-1,-1
0.376649,0.331658,124,-1,-1
0.377121,0.151006,120,-1,-1
0.377543,0.15908,120,-1,-1
0.378481,0.138232,118,-1,-1
0.379256,0.154193,120,-1,-1
0.379581,0.034155,119,-1,-1
0.3883,0.055043,125,-1,-1
0.393508,0.262489,126,-1,3
0.394856,0.063077,127,-1,-1
0.395481,0.27931,126,-1,3
0.396048,0.277257,126,-1,3
0.399391,0.268503,126,-1,3
0.399398,0.062927,127,-1,-1
0.39977,0.058436,125,-1,-1
0.419018,0.423498,128,-1,-1
