id,Label,Number_Points,x,y
0,0,19,0.089986,0.148148
1,1,16,0.709801,0.409496
2,2,5,0.127896,0.247194
3,3,13,0.568426,0.388945
4,4,24,0.449084,0.051406
5,5,6,0.127441,0.312540
6,6,15,0.148883,0.070141
7,7,10,0.167990,0.053927
8,8,13,0.551609,0.092015
9,9,8,0.411293,0.269259
10,10,14,0.211658,0.172033
11,11,18,0.312189,0.188478
12,12,15,0.109846,0.209854
13,13,20,0.229640,0.311598
14,14,17,0.087574,0.069621
15,15,16,0.628470,0.230527
16,16,17,0.647268,0.210478
17,17,16,0.791152,0.292372
18,18,19,0.209628,0.310832
19,19,16,0.769181,0.268924
20,20,8,0.410918,0.349487
21,21,12,0.107718,0.127278
22,22,18,0.548629,0.369589
23,23,11,0.791740,0.231377
24,24,14,0.648007,0.190349
25,25,6,0.789917,0.466786
26,26,10,0.550688,0.290720
27,27,4,0.497273,0.126620
28,28,15,0.327969,0.071702
29,29,10,0.529588,0.111052
30,30,20,0.330883,0.369628
31,31,6,0.690750,0.422458
32,32,16,0.091677,0.307970
33,33,13,0.851164,0.128299
34,34,13,0.628187,0.212555
35,35,12,0.628848,0.373598
36,36,24,0.290972,0.390115
37,37,24,0.230523,0.087555
38,38,15,0.869388,0.249766
39,39,18,0.528357,0.166799
40,40,14,0.075152,0.111258
41,41,29,0.390573,0.410610
42,42,19,0.490379,0.089800
43,43,21,0.770904,0.212441
44,44,7,0.835810,0.429041
45,45,2,0.666064,0.158527
46,46,10,0.611267,0.171409
47,47,14,0.489010,0.067323
48,48,13,0.106532,0.228842
49,49,22,0.549512,0.408215
50,50,12,0.645367,0.169808
51,51,24,0.108225,0.189848
52,52,15,0.107928,0.110049
53,53,18,0.190642,0.311153
54,54,8,0.651112,0.229602
55,55,16,0.309182,0.130806
56,56,20,0.290825,0.288892
57,57,10,0.534491,0.310285
58,58,9,0.187870,0.333103
59,59,19,0.871785,0.211410
60,60,20,0.209581,0.248373
61,61,18,0.888547,0.369293
62,62,8,0.871048,0.349368
63,63,9,0.443274,0.165252
64,64,20,0.310248,0.070544
65,65,17,0.667560,0.409104
66,66,7,0.669093,0.427965
67,67,5,0.051327,0.192429
68,68,11,0.432017,0.229220
69,69,19,0.292838,0.228692
70,70,6,0.267097,0.353646
71,71,14,0.068368,0.290162
72,72,4,0.551714,0.424835
73,73,11,0.444107,0.412038
74,74,16,0.566610,0.050318
75,75,18,0.768647,0.191249
76,76,22,0.091006,0.166608
77,77,8,0.072865,0.271794
78,78,15,0.409591,0.209441
79,79,20,0.690364,0.410234
80,80,19,0.229868,0.228241
81,81,18,0.312401,0.210680
82,82,5,0.369369,0.353987
83,83,4,0.128518,0.168204
84,84,22,0.829355,0.090643
85,85,20,0.188021,0.190012
86,86,12,0.589231,0.048200
87,87,16,0.786570,0.266025
88,88,9,0.074987,0.127069
89,89,22,0.450740,0.092255
90,90,15,0.851295,0.226353
91,91,3,0.305524,0.353140
92,92,22,0.373184,0.368165
93,93,12,0.847857,0.068114
94,94,13,0.249931,0.411478
95,95,6,0.443229,0.285272
96,96,13,0.486296,0.052734
97,97,21,0.129909,0.070620
98,98,4,0.231250,0.390770
99,99,11,0.529288,0.227320
100,100,6,0.393613,0.155838
101,101,13,0.330125,0.091925
102,102,4,0.343059,0.246363
103,103,10,0.788523,0.053282
104,104,18,0.207128,0.350626
105,105,12,0.389148,0.352321
106,106,16,0.868830,0.130630
107,107,4,0.711467,0.185161
108,108,14,0.088702,0.229883
109,109,10,0.506416,0.370980
110,110,15,0.331533,0.110671
111,111,9,0.791910,0.210053
112,112,15,0.291429,0.409790
113,113,14,0.307793,0.092318
114,114,10,0.529806,0.052195
115,115,1,0.803674,0.413449
116,116,16,0.111465,0.169770
117,117,13,0.789449,0.248272
118,118,10,0.572153,0.272015
119,119,14,0.530447,0.209838
120,120,15,0.630017,0.271265
121,121,2,0.984710,0.267708
122,122,11,0.588999,0.290462
123,123,2,0.360748,0.099008
124,124,9,0.569596,0.423359
125,125,17,0.629106,0.069648
126,126,11,0.432616,0.153700
127,127,17,0.569330,0.291525
128,128,11,0.111141,0.151171
129,129,19,0.830904,0.291662
130,130,11,0.588686,0.309265
131,131,12,0.512258,0.390858
132,132,5,0.952067,0.128060
133,133,12,0.546376,0.167986
134,134,13,0.630586,0.051664
135,135,17,0.548591,0.211838
136,136,15,0.649162,0.051208
137,137,24,0.408125,0.368145
138,138,15,0.869725,0.331871
139,139,25,0.849644,0.331113
140,140,7,0.205411,0.055214
141,141,16,0.330805,0.131862
142,142,17,0.331556,0.269791
143,143,1,0.218556,0.039827
144,144,19,0.790224,0.107556
145,145,15,0.568962,0.068929
146,146,18,0.413235,0.229411
147,147,1,0.654292,0.461856
148,148,10,0.410832,0.089423
149,149,18,0.412055,0.189919
150,150,19,0.613570,0.147763
151,151,13,0.327993,0.411938
152,152,9,0.328781,0.152693
153,153,13,0.850544,0.309850
154,154,16,0.429638,0.170451
155,155,21,0.331274,0.168476
156,156,14,0.849728,0.270009
157,157,17,0.173044,0.088768
158,158,11,0.870218,0.288693
159,159,11,0.430713,0.329582
160,160,8,0.036066,0.092429
161,161,10,0.767778,0.231200
162,162,20,0.807230,0.088081
163,163,14,0.526928,0.392556
164,164,17,0.550753,0.311041
165,165,22,0.849704,0.211764
166,166,9,0.596384,0.152512
167,167,4,0.425278,0.052378
168,168,16,0.630524,0.392254
169,169,8,0.629876,0.328266
170,170,10,0.431484,0.410286
171,171,8,0.145451,0.056752
172,172,13,0.410701,0.328562
173,173,17,0.429402,0.249923
174,174,11,0.629346,0.168163
175,175,14,0.647414,0.309063
176,176,10,0.410231,0.408209
177,177,13,0.753948,0.229849
178,178,2,0.843133,0.427983
179,179,16,0.609215,0.189178
180,180,13,0.087486,0.272367
181,181,12,0.768592,0.248158
182,182,17,0.090779,0.209111
183,183,9,0.610084,0.053658
184,184,19,0.209591,0.189989
185,185,8,0.213371,0.151063
186,186,9,0.849764,0.186966
187,187,21,0.328920,0.230095
188,188,14,0.248208,0.390998
189,189,5,0.965636,0.086156
190,190,19,0.227635,0.329421
191,191,5,0.108054,0.323503
192,192,8,0.570298,0.250872
193,193,15,0.650061,0.271165
194,194,4,0.124495,0.128453
195,195,21,0.810916,0.230627
196,196,14,0.588592,0.088862
197,197,17,0.390494,0.370103
198,198,14,0.208733,0.407161
199,199,13,0.269466,0.388041
200,200,15,0.508226,0.167318
201,201,18,0.648589,0.287749
202,202,12,0.407864,0.249077
203,203,6,0.446324,0.372891
204,204,17,0.629655,0.410549
205,205,9,0.827860,0.053404
206,206,2,0.716232,0.069241
207,207,3,0.666109,0.449481
208,208,21,0.769026,0.068015
209,209,7,0.344847,0.229235
210,210,3,0.576268,0.232066
211,211,1,0.438781,0.021032
212,212,8,0.425476,0.352033
213,213,17,0.429825,0.208641
214,214,11,0.647484,0.327309
215,215,16,0.409040,0.168355
216,216,2,0.961200,0.272059
217,217,9,0.394079,0.189435
218,218,19,0.808913,0.188124
219,219,6,0.108087,0.055631
220,220,14,0.830519,0.130098
221,221,22,0.630910,0.309747
222,222,4,0.886252,0.212875
223,223,18,0.191739,0.411415
224,224,16,0.870397,0.150245
225,225,13,0.229186,0.106397
226,226,15,0.608836,0.248922
227,227,11,0.289770,0.054039
228,228,11,0.834230,0.351007
229,229,15,0.287219,0.092782
230,230,8,0.094681,0.087857
231,231,14,0.111465,0.310509
232,232,10,0.230657,0.173741
233,233,13,0.869278,0.069126
234,234,2,0.907198,0.288502
235,235,11,0.807142,0.270100
236,236,18,0.332105,0.209537
237,237,9,0.547291,0.273198
238,238,21,0.751520,0.071054
239,239,4,0.343388,0.171341
240,240,8,0.511185,0.211717
241,241,13,0.731440,0.410268
242,242,1,0.147433,0.151666
243,243,14,0.850868,0.169045
244,244,24,0.290406,0.310569
245,245,16,0.592191,0.189325
246,246,13,0.828062,0.172335
247,247,17,0.311677,0.310117
248,248,10,0.587527,0.424272
249,249,16,0.128029,0.091073
250,250,16,0.649665,0.369959
251,251,14,0.887239,0.148281
252,252,22,0.531141,0.189378
253,253,5,0.532906,0.330270
254,254,18,0.830333,0.309774
255,255,18,0.289512,0.270024
256,256,6,0.225151,0.251174
257,257,18,0.230877,0.410799
258,258,22,0.848725,0.251238
259,259,1,0.222831,0.424107
260,260,9,0.590985,0.209358
261,261,8,0.125139,0.208062
262,262,14,0.209563,0.371102
263,263,8,0.210568,0.229274
264,264,13,0.630531,0.089094
265,265,7,0.713070,0.090463
266,266,6,0.728177,0.267960
267,267,13,0.627735,0.149102
268,268,17,0.793514,0.168931
269,269,13,0.648507,0.071932
270,270,27,0.430165,0.389854
271,271,10,0.150422,0.430216
272,272,15,0.349843,0.089967
273,273,13,0.589391,0.409883
274,274,2,0.924677,0.309562
275,275,4,0.809434,0.451236
276,276,7,0.086711,0.390960
277,277,12,0.788590,0.070430
278,278,2,0.329689,0.484256
279,279,22,0.309286,0.228640
280,280,8,0.351670,0.355149
281,281,15,0.230501,0.268749
282,282,16,0.211171,0.091290
283,283,10,0.809362,0.251192
284,284,11,0.729998,0.389302
285,285,23,0.870947,0.110769
286,286,12,0.611599,0.324420
287,287,18,0.811035,0.109422
288,288,17,0.330347,0.389449
289,289,17,0.589906,0.390323
290,290,11,0.191408,0.054500
291,291,16,0.690550,0.387933
292,292,24,0.211875,0.107433
293,293,20,0.087845,0.108556
294,294,18,0.109917,0.269604
295,295,17,0.210361,0.390460
296,296,11,0.311365,0.372704
297,297,18,0.568243,0.310405
298,298,11,0.884488,0.169682
299,299,17,0.268294,0.091043
300,300,11,0.444473,0.308907
301,301,18,0.109449,0.287905
302,302,15,0.589866,0.370853
303,303,14,0.389501,0.170117
304,304,17,0.648724,0.089964
305,305,2,0.990802,0.069590
306,306,18,0.429414,0.311098
307,307,3,0.985485,0.164338
308,308,12,0.086170,0.192883
309,309,9,0.531611,0.070096
310,310,10,0.627644,0.107127
311,311,11,0.509952,0.428479
312,312,4,0.396107,0.271890
313,313,4,0.691229,0.110768
314,314,1,0.986567,0.476620
315,315,14,0.308980,0.410203
316,316,11,0.187643,0.153474
317,317,3,0.128661,0.324856
318,318,19,0.349300,0.370293
319,319,12,0.493881,0.109252
320,320,3,0.445805,0.188792
321,321,3,0.642496,0.139608
322,322,11,0.569333,0.087897
323,323,7,0.348206,0.112380
324,324,11,0.169173,0.109871
325,325,16,0.428734,0.269337
326,326,15,0.613093,0.092129
327,327,6,0.534599,0.273538
328,328,21,0.549840,0.129377
329,329,6,0.227690,0.055950
330,330,13,0.509449,0.186705
331,331,3,0.867039,0.017016
332,332,13,0.548685,0.193542
333,333,16,0.712930,0.372996
334,334,10,0.291639,0.248988
335,335,19,0.531513,0.368551
336,336,3,0.178198,0.206499
337,337,4,0.051054,0.212140
338,338,17,0.231504,0.068745
339,339,18,0.647902,0.411004
340,340,11,0.893084,0.130532
341,341,17,0.188592,0.290194
342,342,15,0.509630,0.090360
343,343,15,0.427264,0.366708
344,344,13,0.670352,0.369729
345,345,2,0.059628,0.266743
346,346,24,0.471080,0.091810
347,347,12,0.853831,0.368456
348,348,13,0.329266,0.252508
349,349,18,0.830753,0.149286
350,350,13,0.810613,0.130470
351,351,9,0.889312,0.329855
352,352,18,0.228387,0.212783
353,353,3,0.742963,0.336502
354,354,10,0.594202,0.168807
355,355,11,0.209384,0.286749
356,356,18,0.790444,0.189452
357,357,14,0.391217,0.391342
358,358,6,0.443407,0.247734
359,359,4,0.494562,0.176108
360,360,4,0.738992,0.329036
