x,y,cellId,label-gC,label-GT
0.089986,0.148148,0,0,0
0.709801,0.409496,1,2,2
0.127896,0.247194,2,0,-1
0.568426,0.388945,3,2,2
0.449084,0.051406,4,5,5
0.127441,0.31254,5,0,-1
0.148883,0.070141,6,0,0
0.16799,0.053927,7,0,0
0.551609,0.092015,8,5,5
0.411293,0.269259,9,1,1
0.211658,0.172033,10,1,1
0.312189,0.188478,11,0,0
0.109846,0.209854,12,0,0
0.22964,0.311598,13,1,1
0.087574,0.069621,14,0,0
0.62847,0.230527,15,4,4
0.647268,0.210478,16,4,4
0.791152,0.292372,17,3,3
0.209628,0.310832,18,1,1
0.769181,0.268924,19,3,3
0.410918,0.349487,20,1,1
0.107718,0.127278,21,0,0
0.548629,0.369589,22,2,2
0.79174,0.231377,23,3,3
0.648007,0.190349,24,4,4
0.789917,0.466786,25,-1,-1
0.550688,0.29072,26,4,4
0.497273,0.12662,27,5,5
0.327969,0.071702,28,0,0
0.529588,0.111052,29,5,5
0.330883,0.369628,30,1,1
0.69075,0.422458,31,2,2
0.091677,0.30797,32,0,0
0.851164,0.128299,33,3,3
0.628187,0.212555,34,4,4
0.628848,0.373598,35,2,2
0.290972,0.390115,36,1,1
0.230523,0.087555,37,0,0
0.869388,0.249766,38,3,3
0.528357,0.166799,39,5,5
0.075152,0.111258,40,0,0
0.390573,0.41061,41,1,1
0.490379,0.0898,42,5,5
0.770904,0.212441,43,3,3
0.83581,0.429041,44,-1,-1
0.666064,0.158527,45,-1,-1
0.611267,0.171409,46,4,4
0.48901,0.067323,47,5,5
0.106532,0.228842,48,0,0
0.549512,0.408215,49,2,2
0.645367,0.169808,50,4,4
0.108225,0.189848,51,0,0
0.107928,0.110049,52,0,0
0.190642,0.311153,53,1,1
0.651112,0.229602,54,4,4
0.107928,0.110049,52,0,0
0.309182,0.130806,55,0,0
0.290825,0.288892,56,0,0
0.534491,0.310285,57,4,4
0.18787,0.333103,58,1,1
0.871785,0.21141,59,3,3
0.209581,0.248373,60,1,1
0.888547,0.369293,61,3,3
0.871048,0.349368,62,3,3
0.443274,0.165252,63,1,1
0.310248,0.070544,64,0,0
0.66756,0.409104,65,2,2
0.669093,0.427965,66,2,2
0.051327,0.192429,67,-1,-1
0.432017,0.22922,68,1,1
0.490379,0.0898,42,5,5
0.292838,0.228692,69,0,0
0.267097,0.353646,70,1,1
0.068368,0.290162,71,0,0
0.551714,0.424835,72,2,2
0.444107,0.412038,73,1,1
0.56661,0.050318,74,5,5
0.768647,0.191249,75,3,3
0.091006,0.166608,76,0,0
0.072865,0.271794,77,0,0
0.409591,0.209441,78,1,1
0.690364,0.410234,79,2,2
0.16799,0.053927,7,0,0
0.229868,0.228241,80,1,1
0.312401,0.21068,81,0,0
0.611267,0.171409,46,4,4
0.369369,0.353987,82,1,-1
0.128518,0.168204,83,0,0
0.829355,0.090643,84,3,3
0.188021,0.190012,85,1,1
0.589231,0.0482,86,5,5
0.78657,0.266025,87,3,3
0.074987,0.127069,88,0,0
0.45074,0.092255,89,5,5
0.851295,0.226353,90,3,3
0.305524,0.35314,91,-1,-1
0.373184,0.368165,92,1,1
0.847857,0.068114,93,3,3
0.249931,0.411478,94,1,1
0.443229,0.285272,95,1,1
0.486296,0.052734,96,5,5
0.129909,0.07062,97,0,0
0.23125,0.39077,98,1,1
0.529288,0.22732,99,5,5
0.393613,0.155838,100,1,1
0.330125,0.091925,101,0,0
0.343059,0.246363,102,0,0
0.788523,0.053282,103,3,3
0.207128,0.350626,104,1,1
0.389148,0.352321,105,1,1
0.310248,0.070544,64,0,0
0.86883,0.13063,106,3,3
0.709801,0.409496,1,2,2
0.568426,0.388945,3,2,2
0.711467,0.185161,107,-1,-1
0.770904,0.212441,43,3,3
0.088702,0.229883,108,0,0
0.506416,0.37098,109,2,2
0.331533,0.110671,110,0,0
0.79191,0.210053,111,3,3
0.291429,0.40979,112,1,1
0.307793,0.092318,113,0,0
0.529806,0.052195,114,5,5
0.803674,0.413449,115,-1,-1
0.111465,0.16977,116,0,0
0.789449,0.248272,117,3,3
0.572153,0.272015,118,4,4
0.530447,0.209838,119,5,5
0.645367,0.169808,50,4,4
0.630017,0.271265,120,4,4
0.98471,0.267708,121,-1,-1
0.588999,0.290462,122,4,4
0.360748,0.099008,123,-1,-1
0.569596,0.423359,124,2,2
0.629106,0.069648,125,5,5
0.305524,0.35314,91,-1,1
0.432616,0.1537,126,1,1
0.56933,0.291525,127,4,4
0.111141,0.151171,128,0,0
0.830904,0.291662,129,3,3
0.588686,0.309265,130,4,4
0.512258,0.390858,131,2,2
0.209581,0.248373,60,1,1
0.952067,0.12806,132,-1,-1
0.546376,0.167986,133,5,5
0.630586,0.051664,134,5,5
0.548591,0.211838,135,5,5
0.444107,0.412038,73,1,1
0.649162,0.051208,136,5,5
0.408125,0.368145,137,1,1
0.869725,0.331871,138,3,3
0.66756,0.409104,65,2,2
0.849644,0.331113,139,3,3
0.205411,0.055214,140,0,0
