x,y,Class
0.135128,0.469812,0
0.939820,0.399074,1
0.142675,0.687631,0
0.102345,0.710221,0
0.801802,0.333846,2
0.389467,0.537309,3
0.786116,0.664228,2
0.435028,0.183765,3
0.367902,0.403544,3
0.590687,0.512617,4
0.476956,0.490557,-1
0.618637,0.749973,4
0.123845,0.054497,-1
0.269730,0.427376,5
0.798324,0.444691,2
0.947400,0.660745,1
0.921575,0.492027,1
0.956827,0.450054,1
0.285886,0.484685,5
0.840433,0.443034,-1
0.708330,0.641322,2
0.301082,0.448101,5
0.062960,0.562631,0
0.052204,0.445752,0
0.671387,0.377711,-1
0.903364,0.484476,1
0.372716,0.466591,3
0.919427,0.880946,-1
0.347290,0.971342,-1
0.733736,0.642134,2
0.091715,0.172886,0
0.785981,0.237262,2
0.132975,0.725262,0
0.058695,0.708812,0
0.889918,0.251664,1
0.850573,0.447336,-1
0.780926,0.625980,2
0.893879,0.530067,1
0.623482,0.373550,4
0.760186,0.778161,2
0.750707,0.744376,2
0.375013,0.474872,3
0.786798,0.591799,2
0.451300,0.232302,3
0.454764,0.539933,3
0.274741,0.661101,5
0.743335,0.149980,2
0.767485,0.440846,2
0.564090,0.401040,4
0.349403,0.297396,-1
0.637129,0.368403,4
0.923304,0.723302,1
0.770657,0.924456,-1
0.383340,0.697403,3
0.453024,0.536846,3
0.576917,0.503852,4
0.560489,0.516201,4
0.722597,0.207060,2
0.066020,0.613725,0
0.520382,0.475644,-1
0.886245,0.202503,1
0.790273,0.518664,2
0.383531,0.692154,3
0.676598,0.539523,-1
0.449908,0.605477,3
0.258308,0.759235,5
0.366168,0.432651,3
0.222234,0.354906,5
0.823926,0.443107,-1
0.921580,0.482826,1
0.752158,0.781315,2
0.799759,0.498000,2
0.689059,0.447866,-1
0.107296,0.754879,0
0.451731,0.245376,3
0.132250,0.206409,0
0.385175,0.614597,3
0.576668,0.583275,-1
0.468323,0.336416,3
0.036482,0.901013,-1
0.900198,0.526315,1
0.475747,0.528476,3
0.378977,0.456483,3
0.880029,0.623470,1
0.073082,0.172201,0
0.915455,0.221946,1
0.274790,0.503329,5
0.722971,0.119510,-1
0.624166,0.693409,4
0.558301,0.569886,4
0.666462,0.145315,-1
0.432255,0.162416,3
0.787825,0.581510,2
0.323921,0.442792,-1
0.844990,0.175329,-1
0.549758,0.728980,4
0.733048,0.674289,2
0.618704,0.233906,4
0.223157,0.416993,5
0.259770,0.685631,5
0.729766,0.624987,2
0.619819,0.621846,4
0.413052,0.155597,3
0.263773,0.496476,5
0.076235,0.444470,-1
0.046423,0.542423,0
0.787717,0.710490,2
0.846582,0.440289,-1
0.545205,0.339356,4
0.227388,0.261356,5
0.782877,0.303188,2
0.117337,0.561799,-1
0.139059,0.518081,0
0.342260,0.918027,-1
0.082378,0.758799,0
0.631804,0.433376,4
0.100183,0.532060,0
0.211835,0.963060,-1
0.218445,0.561436,5
0.191740,0.874295,-1
0.957592,0.754188,1
0.800367,0.677416,2
0.450368,0.290430,3
0.450412,0.750544,3
0.636193,0.333101,4
0.581953,0.163369,4
0.443876,0.920181,-1
0.750246,0.197409,2
0.241508,0.441477,5
0.735113,0.695792,2
0.548129,0.753161,4
0.111618,0.441054,0
0.761484,0.212383,2
0.309804,0.432060,-1
0.230028,0.185624,5
0.285289,0.485765,5
0.558585,0.271705,4
0.779592,0.740745,2
0.400377,0.707725,3
0.593226,0.192980,4
0.278760,0.478698,5
0.121067,0.165456,0
0.366387,0.477262,3
0.884511,0.658638,1
0.380715,0.407953,3
0.219741,0.536188,5
0.412003,0.687416,3
0.043345,0.570584,0
0.741611,0.664396,2
0.781886,0.185383,2
0.644580,0.836685,-1
0.069827,0.220081,0
0.404078,0.149638,3
0.294693,0.441973,5
0.160280,0.388644,-1
0.608441,0.186577,4
0.556969,0.585181,4
0.809352,0.662718,2
0.560293,0.151329,4
0.560595,0.149175,4
0.290231,0.257718,5
0.417508,0.225289,3
0.455539,0.536242,3
0.101186,0.742658,0
0.791490,0.406926,-1
0.880197,0.748678,1
0.523491,0.779376,-1
0.914467,0.454758,1
0.627575,0.569664,4
0.265608,0.173034,5
0.051838,0.671436,0
0.602122,0.169510,4
0.068132,0.730262,0
0.166098,0.352550,-1
0.276251,0.756329,5
0.583186,0.517074,4
0.134271,0.542141,0
0.883647,0.557745,1
0.902727,0.252664,1
0.961265,0.178242,1
0.409043,0.150376,3
0.596191,0.648879,-1
0.559480,0.337846,4
0.727901,0.368698,2
0.887146,0.251617,1
0.079656,0.756188,0
0.228201,0.572638,5
0.086344,0.758631,0
0.337572,0.443174,-1
0.461835,0.287772,3
0.427670,0.134295,3
0.556492,0.287832,4
0.465644,0.248919,3
0.721504,0.319725,2
0.124345,0.472450,0
0.234269,0.736114,5
0.019739,0.879128,-1
0.789815,0.214993,2
0.593435,0.464517,4
0.630225,0.389953,4
0.782013,0.274678,2
0.720849,0.497007,2
0.623451,0.628886,4
0.959878,0.697725,1
0.514050,0.091564,-1
0.946126,0.499436,1
0.562609,0.728651,4
0.934970,0.257423,1
0.073859,0.440772,-1
0.648258,0.015416,-1
0.384773,0.869248,-1
0.621508,0.312101,4
0.295323,0.198013,5
0.073362,0.678128,0
0.075510,0.232617,0
0.630972,0.234430,4
0.766234,0.493832,2
0.535847,0.690201,-1
0.555432,0.221664,4
0.454435,0.369846,3
0.380814,0.431315,3
0.919353,0.463034,1
0.742077,0.747765,2
0.057726,0.330611,0
0.052920,0.231671,0
0.766117,0.227262,2
0.302606,0.219544,-1
0.427582,0.704195,3
0.773813,0.477899,2
0.134867,0.226711,0
0.460540,0.308060,3
0.717030,0.433852,2
0.428343,0.234161,3
0.396371,0.176711,3
0.943874,0.700329,1
0.256508,0.716128,5
0.258878,0.701128,5
0.804979,0.631503,2
0.732497,0.183470,2
0.268612,0.733617,5
0.629560,0.342819,4
0.373918,0.283698,3
0.091506,0.681698,0
0.284771,0.238987,5
0.080028,0.736208,0
0.556374,0.256430,4
0.628509,0.761577,4
0.792192,0.634376,2
0.097003,0.710772,0
0.242440,0.835282,-1
0.299755,0.870383,-1
0.231315,0.240785,5
0.414779,0.659195,3
0.885084,0.516013,1
0.574681,0.481792,4
0.381250,0.416805,3
0.190420,0.150772,-1
0.060202,0.605282,0
0.580372,0.478940,4
0.724295,0.471866,2
0.196162,0.969450,-1
0.794994,0.488940,2
0.629219,0.442289,4
0.897711,0.167624,1
0.319036,0.432584,-1
0.898834,0.739772,1
0.058996,0.269295,0
0.930736,0.235530,1
0.899753,0.554631,1
0.893029,0.229960,1
0.598074,0.215309,4
0.721974,0.663705,2
0.145971,0.635919,0
0.922926,0.671584,1
0.920781,0.437745,1
0.660162,0.536510,-1
0.663227,0.781376,-1
0.877795,0.898597,-1
0.546533,0.627711,4
0.757949,0.674101,2
0.389329,0.616591,3
0.904005,0.694168,1
0.903618,0.586725,1
0.902465,0.655933,1
0.804976,0.533899,2
0.252190,0.149430,5
0.587621,0.161886,4
0.588881,0.756893,-1
0.890744,0.155517,1
0.393153,0.636638,3
0.704886,0.501121,2
0.748247,0.289658,-1
0.104866,0.172960,0
0.421019,0.700906,3
0.780979,0.534993,2
0.803005,0.752074,2
0.745946,0.212933,2
0.774569,0.667121,2
0.784073,0.802926,-1
0.906298,0.169893,1
0.705489,0.335745,2
0.251536,0.427188,5
0.617966,0.661463,4
0.389134,0.404349,3
0.939403,0.440664,1
0.125294,0.223738,0
0.612448,0.633141,4
0.556389,0.284919,4
0.438494,0.260805,3
0.104952,0.206980,0
0.584631,0.581020,-1
0.375230,0.537235,3
0.901671,0.583309,1
0.552984,0.625913,4
0.779906,0.464678,2
0.624987,0.250081,4
0.390964,0.621154,3
0.124097,0.431752,0
0.572121,0.248785,4
0.410506,0.744785,3
0.123290,0.463215,0
0.765146,0.458235,2
0.220641,0.468450,5
0.071104,0.077356,-1
0.933513,0.480416,1
0.882902,0.246772,1
0.452889,0.655248,3
0.718459,0.426094,2
0.107195,0.765221,0
0.618952,0.817550,-1
0.379882,0.696416,3
0.114910,0.516201,0
0.352619,0.903060,-1
0.783928,0.707758,2
0.739646,0.437067,-1
0.907808,0.479121,1
0.737258,0.681698,2
0.334384,0.921792,-1
0.782293,0.512570,2
0.443711,0.249349,3
0.471505,0.351738,3
0.794612,0.622893,2
0.503314,0.352812,-1
0.067352,0.213295,0
0.451947,0.365376,3
0.075171,0.737866,0
0.078956,0.152208,0
0.555384,0.759349,4
0.885157,0.433013,1
0.391853,0.176369,3
0.228894,0.753356,5
0.147034,0.568248,0
0.389300,0.373940,3
0.290549,0.426893,5
0.460714,0.582175,3
0.059192,0.404946,0
0.381301,0.374611,3
0.461127,0.426557,3
0.275497,0.164866,5
0.794221,0.615430,2
0.546751,0.699624,4
0.030320,0.600208,-1
0.098459,0.711309,0
0.251660,0.196463,5
0.042574,0.523376,0
0.137026,0.713356,0
0.732985,0.693456,2
0.583150,0.602987,-1
0.630976,0.664839,4
0.733770,0.639349,2
0.382146,0.267550,3
0.939994,0.492060,1
0.614622,0.192107,4
0.751613,0.759047,2
0.711697,0.427208,2
0.913805,0.217678,1
0.292065,0.244745,5
0.417332,0.443611,-1
0.587449,0.251007,4
0.260567,0.452141,5
0.217903,0.188161,5
0.247604,0.699295,5
0.217636,0.170067,5
0.382697,0.464349,3
0.915072,0.733329,1
0.543632,0.284617,4
0.880508,0.366523,1
0.752883,0.649705,2
0.464325,0.078383,-1
0.791497,0.522121,2
0.616057,0.745174,4
0.564893,0.642436,4
0.629293,0.523389,4
0.749317,0.666248,2
0.891518,0.427644,1
0.285087,0.694027,5
0.743528,0.692664,2
0.370173,0.375181,3
0.326107,0.438926,-1
0.544469,0.405369,4
0.104185,0.726369,0
0.083544,0.667812,0
0.472417,0.386644,3
0.887579,0.875268,-1
0.770633,0.150315,2
0.654888,0.122483,-1
0.154803,0.435899,-1
0.090195,0.729913,0
0.129856,0.278644,0
0.953099,0.239396,1
0.149122,0.185893,-1
0.805428,0.855262,-1
0.902637,0.197852,1
0.439126,0.221087,3
0.784945,0.230262,2
0.455293,0.218013,3
0.921942,0.680067,1
0.228382,0.300121,5
0.894205,0.478040,1
0.927325,0.164658,1
0.971122,0.309530,-1
0.379945,0.358859,3
0.801725,0.288275,2
0.757209,0.201168,2
0.457040,0.533436,3
0.751754,0.215758,2
0.216273,0.402013,5
0.656987,0.223054,-1
0.541785,0.818020,-1
0.808884,0.675356,2
0.077401,0.191208,0
0.402353,0.656946,3
0.612467,0.646000,4
0.069116,0.745221,0
0.281031,0.227577,5
0.937422,0.203993,1
0.747177,0.559148,-1
0.927923,0.695691,1
0.547472,0.458846,4
0.394784,0.226631,3
0.057448,0.296456,0
0.078072,0.565691,-1
0.782440,0.665738,2
0.435247,0.733819,3
0.377766,0.533181,3
0.246735,0.242040,5
0.084543,0.216409,0
0.219687,0.525926,5
0.453587,0.270094,3
0.899990,0.257107,1
0.126680,0.229450,0
0.505178,0.675289,-1
0.234072,0.159148,5
0.461788,0.302020,3
0.263764,0.700168,5
0.885430,0.411060,1
0.561900,0.677832,4
0.551398,0.248852,4
0.052892,0.252221,0
0.937136,0.249074,1
0.467604,0.589758,3
0.232348,0.195523,5
0.629569,0.261664,4
0.717915,0.635624,2
0.139952,0.246423,0
0.042546,0.404275,0
0.863150,0.682047,-1
0.379162,0.470423,3
0.968543,0.568631,-1
0.256677,0.190483,5
0.942359,0.666369,1
0.493829,0.304168,-1
0.236168,0.176758,5
0.888127,0.513094,1
0.965768,0.232980,1
0.456449,0.564282,3
0.793320,0.496631,2
0.185367,0.445013,-1
0.234516,0.755208,5
0.906471,0.259906,1
0.712828,0.601423,2
0.590087,0.491711,4
0.266781,0.690134,5
0.326324,0.939127,-1
0.040073,0.487564,0
0.406296,0.362087,-1
0.403700,0.693148,3
0.139141,0.762262,0
0.260832,0.466470,5
0.138700,0.456557,0
0.723773,0.462544,2
0.767180,0.208597,2
0.282171,0.502315,5
0.253717,0.743215,5
0.094108,0.429765,0
0.051533,0.589094,0
0.554557,0.248302,4
0.613451,0.514644,4
0.232534,0.447013,5
0.885695,0.662678,1
0.746406,0.806537,-1
0.386753,0.690255,3
0.038230,0.702624,-1
0.598495,0.465154,4
0.387374,0.366074,3
0.131440,0.709040,0
0.297883,0.194940,5
0.527897,0.769879,-1
0.551921,0.451906,4
0.920186,0.424309,1
0.167185,0.703423,-1
0.421680,0.725336,3
0.361937,0.916718,-1
0.606662,0.236020,4
0.754900,0.717289,2
0.808412,0.359074,2
0.121271,0.572812,0
0.457744,0.544389,3
0.739381,0.432000,-1
0.776771,0.495638,2
0.631588,0.445000,4
0.219529,0.553383,5
0.782441,0.253933,2
0.773590,0.684007,2
0.563658,0.635376,4
0.624788,0.551738,4
0.704351,0.458960,2
0.464222,0.313215,3
0.338545,0.607362,-1
0.073590,0.753671,0
0.615907,0.603027,4
0.071289,0.227161,0
0.582455,0.455611,4
0.101206,0.784040,0
0.120961,0.211960,0
0.728765,0.232919,2
0.574265,0.488416,4
0.710521,0.611436,2
0.772505,0.429758,2
0.138971,0.647040,0
0.453059,0.183000,3
0.255984,0.500060,5
0.279001,0.483168,5
0.890608,0.346584,1
0.692278,0.440416,-1
0.720259,0.256349,2
0.056485,0.572785,0
0.591685,0.151141,4
0.736961,0.765758,2
0.880126,0.718268,1
0.083093,0.152819,0
0.890818,0.167631,1
0.745737,0.205832,2
0.048142,0.279966,0
0.451874,0.257544,3
0.881137,0.758342,1
0.588863,0.502228,4
0.451099,0.273906,3
0.075719,0.195483,0
0.729514,0.354765,2
0.724682,0.391101,2
0.410393,0.222738,3
0.633854,0.609154,4
0.424658,0.187664,3
0.142143,0.669940,0
0.757736,0.191711,2
0.558803,0.633738,4
0.434186,0.197047,3
0.797312,0.243208,2
0.613776,0.240255,4
0.553038,0.636289,4
0.620714,0.708020,4
0.808290,0.628013,2
0.776352,0.152242,2
0.086661,0.363638,-1
0.222358,0.602926,5
0.484269,0.468651,3
0.880985,0.326644,1
0.069087,0.206208,0
0.107799,0.188872,0
0.908338,0.417624,1
0.130299,0.498940,0
0.267364,0.180557,5
0.689552,0.442544,-1
