x,y,cellId,label-gC,label-GT
0.135128,0.469812,0,0,0
0.93982,0.399074,1,1,1
0.142675,0.687631,2,0,0
0.102345,0.710221,3,0,0
0.801802,0.333846,4,-1,2
0.389467,0.537309,5,3,3
0.786116,0.664228,6,2,2
0.435028,0.183765,7,3,3
0.367902,0.403544,8,3,3
0.590687,0.512617,9,4,4
0.476956,0.490557,10,3,-1
0.618637,0.749973,11,4,4
0.123845,0.054497,12,-1,-1
0.26973,0.427376,13,5,5
0.798324,0.444691,14,2,2
0.9474,0.660745,15,1,1
0.921575,0.492027,16,1,1
0.956827,0.450054,17,1,1
0.285886,0.484685,18,5,5
0.840433,0.443034,19,1,-1
0.70833,0.641322,20,2,2
0.301082,0.448101,21,5,5
0.06296,0.562631,22,0,0
0.052204,0.445752,23,0,0
0.671387,0.377711,24,-1,-1
0.903364,0.484476,25,1,1
0.372716,0.466591,26,3,3
0.919427,0.880946,27,-1,-1
0.34729,0.971342,28,-1,-1
0.733736,0.642134,29,2,2
0.091715,0.172886,30,0,0
0.785981,0.237262,31,2,2
0.132975,0.725262,32,0,0
0.058695,0.708812,33,0,0
0.889918,0.251664,34,1,1
0.850573,0.447336,19,1,-1
0.780926,0.62598,35,2,2
0.893879,0.530067,36,1,1
0.623482,0.37355,37,4,4
0.760186,0.778161,38,2,2
0.750707,0.744376,39,2,2
0.375013,0.474872,26,3,3
0.786798,0.591799,40,2,2
0.4513,0.232302,41,3,3
0.454764,0.539933,42,3,3
0.274741,0.661101,43,5,5
0.743335,0.14998,44,2,2
0.767485,0.440846,14,2,2
0.56409,0.40104,45,4,4
0.349403,0.297396,46,-1,-1
0.637129,0.368403,37,4,4
0.923304,0.723302,47,1,1
0.770657,0.924456,48,-1,-1
0.38334,0.697403,49,3,3
0.453024,0.536846,42,3,3
0.576917,0.503852,9,4,4
0.560489,0.516201,9,4,4
0.722597,0.20706,50,2,2
0.06602,0.613725,51,0,0
0.520382,0.475644,52,4,-1
0.886245,0.202503,53,1,1
0.790273,0.518664,54,2,2
0.383531,0.692154,49,3,3
0.676598,0.539523,55,-1,-1
0.449908,0.605477,56,3,3
0.258308,0.759235,57,5,5
0.366168,0.432651,8,3,3
0.222234,0.354906,58,5,5
0.823926,0.443107,59,2,-1
0.92158,0.482826,16,1,1
0.752158,0.781315,60,2,2
0.799759,0.498,54,2,2
0.689059,0.447866,61,2,-1
0.107296,0.754879,62,0,0
0.451731,0.245376,63,3,3
0.13225,0.206409,64,0,0
0.385175,0.614597,65,3,3
0.576668,0.583275,66,4,-1
0.468323,0.336416,67,3,3
0.036482,0.901013,68,-1,-1
0.900198,0.526315,36,1,1
0.475747,0.528476,42,3,3
0.378977,0.456483,26,3,3
0.880029,0.62347,69,1,1
0.073082,0.172201,70,0,0
0.915455,0.221946,53,1,1
0.27479,0.503329,71,5,5
0.722971,0.11951,72,-1,-1
0.624166,0.693409,73,4,4
0.558301,0.569886,74,4,4
0.666462,0.145315,75,-1,-1
0.432255,0.162416,7,3,3
0.787825,0.58151,40,2,2
0.323921,0.442792,76,3,-1
0.84499,0.175329,77,-1,-1
0.549758,0.72898,78,4,4
0.733048,0.674289,29,2,2
0.618704,0.233906,79,4,4
0.223157,0.416993,80,5,5
0.25977,0.685631,81,5,5
0.729766,0.624987,82,2,2
0.619819,0.621846,83,4,4
0.413052,0.155597,84,3,3
0.263773,0.496476,71,5,5
0.076235,0.44447,23,0,-1
0.046423,0.542423,85,0,0
0.787717,0.71049,86,2,2
0.846582,0.440289,19,1,-1
0.545205,0.339356,87,4,4
0.227388,0.261356,88,5,5
0.782877,0.303188,89,2,2
0.117337,0.561799,90,-1,-1
0.139059,0.518081,91,0,0
0.34226,0.918027,92,-1,-1
0.082378,0.758799,62,0,0
0.631804,0.433376,93,4,4
0.100183,0.53206,94,0,0
0.211835,0.96306,95,-1,-1
0.218445,0.561436,96,5,5
0.19174,0.874295,97,-1,-1
0.957592,0.754188,47,1,1
0.800367,0.677416,98,2,2
0.450368,0.29043,99,3,3
0.450412,0.750544,100,3,3
0.636193,0.333101,101,4,4
