x,y,class
0.770731,0.851149,1
0.774630,0.272705,2
0.933527,0.760893,0
0.855123,0.573048,1
0.818661,0.594230,1
0.199386,0.827967,6
0.327100,0.566722,6
0.436781,0.156129,7
0.872310,0.315514,1
0.714929,0.209586,2
0.488293,0.741258,5
0.183690,0.128225,7
0.055864,0.783952,6
0.421303,0.871948,6
0.270306,0.655864,4
0.359841,0.101497,7
0.165856,0.598212,6
0.124057,0.623409,6
0.727531,0.888766,1
0.129010,0.110473,7
0.384673,0.307094,8
0.195874,0.583565,6
0.090877,0.839969,6
0.320676,0.152652,7
0.493180,0.620114,5
0.269297,0.566945,6
0.758884,0.974891,-1
0.067537,0.689418,6
0.776974,0.649317,1
0.542769,0.162339,-1
0.121123,0.297138,8
0.775329,0.621654,1
0.615363,0.797888,6
0.826614,0.947368,1
0.535513,0.707158,5
0.264677,0.149912,7
0.802093,0.818803,1
0.235123,0.577293,6
0.188039,0.313746,8
0.538706,0.096046,-1
0.552297,0.582481,6
0.759310,0.809961,1
0.225181,0.399449,-1
0.258990,0.274908,8
0.709286,0.429118,2
0.852124,0.605230,1
0.778933,0.817772,1
0.555573,0.795503,6
0.732777,0.543088,-1
0.841999,0.942567,1
0.443696,0.899648,6
0.325980,0.834280,6
0.723764,0.085204,3
0.129726,0.281337,8
0.723366,0.694670,1
0.362096,0.857033,6
0.818060,0.627319,1
0.652789,0.626497,6
0.938247,0.206980,1
0.142629,0.198814,7
0.766759,0.699479,1
0.805690,0.366096,2
0.457920,0.680567,5
0.185354,0.858147,6
0.807110,0.837656,1
0.894526,0.661615,0
0.242997,0.559370,6
0.347233,0.916009,6
0.631223,0.314031,3
0.916369,0.830256,1
0.236681,0.515028,6
0.879680,0.219976,1
0.067640,0.328287,8
0.408824,0.698565,-1
0.060500,0.288044,8
0.234011,0.736204,4
0.211529,0.528764,6
0.675990,0.645814,6
0.157533,0.275604,8
0.220840,0.698302,4
0.309616,0.571998,6
0.268616,0.182718,7
0.895139,0.844077,1
0.207630,0.318123,8
0.882830,0.358829,1
0.318883,0.165980,7
0.924217,0.216376,1
0.875793,0.384151,1
0.310143,0.722637,-1
0.341349,0.686149,-1
0.680314,0.289759,3
0.241720,0.087026,7
0.030183,0.631505,6
0.107489,0.349696,8
0.504850,0.863072,6
0.184573,0.099777,7
0.243367,0.762147,4
0.458469,0.879271,6
0.737717,0.138608,3
0.513966,0.876551,6
0.911991,0.139081,1
0.214976,0.114593,7
0.857223,0.885037,1
0.781857,0.944214,1
0.193857,0.545503,6
0.527560,0.745993,5
0.182260,0.140048,7
0.797409,0.667133,1
0.424316,0.522521,6
0.229959,0.683744,4
0.326681,0.843886,6
0.433343,0.124475,7
0.285624,0.265996,8
0.180210,0.882884,6
0.765846,0.481985,2
0.302080,0.320446,8
0.897741,0.330015,1
0.793249,0.562720,1
0.406890,0.898123,6
0.294063,0.291324,8
0.361343,0.699418,-1
0.413967,0.135869,7
0.231346,0.185678,7
0.969814,0.912440,1
0.955030,0.915131,1
0.709733,0.722862,1
0.676421,0.038939,3
0.194521,0.463696,-1
0.473624,0.556409,6
0.325363,0.303549,8
0.042363,0.157184,7
0.084493,0.244344,8
0.810587,0.564678,1
0.493801,0.678602,5
0.586006,0.823114,6
0.611390,0.636387,6
0.777773,0.926902,1
0.285517,0.862540,6
0.449013,0.655206,5
0.072513,0.130092,7
0.835700,0.829017,1
0.621809,0.296168,3
0.062060,0.706129,6
0.151050,0.532435,6
0.239256,0.333274,8
0.220911,0.732501,4
0.557196,0.559468,6
0.843157,0.581551,1
0.914150,0.193433,1
