id,Label,Number_Points,x,y
0,0,6,0.115327,0.081942
1,1,16,0.820056,0.136393
2,2,11,0.947542,0.117933
3,3,4,0.310194,0.862479
4,4,10,0.180458,0.836987
5,5,6,0.205022,0.177900
6,6,7,0.524364,0.373413
7,7,6,0.566171,0.372360
8,8,5,0.540042,0.138546
9,9,2,0.598943,0.011974
10,10,11,0.566150,0.139438
11,11,5,0.520785,0.819176
12,12,11,0.117196,0.182216
13,13,13,0.246463,0.138410
14,14,7,0.543220,0.565736
15,15,8,0.773412,0.220706
16,16,12,0.332397,0.287277
17,17,14,0.837301,0.843934
18,18,6,0.736234,0.543384
19,19,6,0.460103,0.581610
20,20,2,0.372834,0.821005
21,21,6,0.645030,0.287053
22,22,6,0.859479,0.138671
23,23,5,0.370583,0.372191
24,24,7,0.154708,0.304610
25,25,6,0.585798,0.926525
26,26,4,0.035409,0.648828
27,27,6,0.464928,0.567765
28,28,7,0.310436,0.329423
29,29,8,0.201815,0.221901
30,30,12,0.882577,0.415314
31,31,5,0.349234,0.331248
32,32,9,0.246434,0.179551
33,33,6,0.410246,0.801185
34,34,7,0.222445,0.163452
35,35,2,0.769272,0.569871
36,36,1,0.225666,0.533031
37,37,6,0.369809,0.440786
38,38,9,0.289576,0.586518
39,39,7,0.095528,0.156614
40,40,14,0.542751,0.159927
41,41,5,0.628887,0.280521
42,42,6,0.395587,0.307825
43,43,12,0.202567,0.587200
44,44,9,0.457852,0.649237
45,45,8,0.668823,0.837783
46,46,2,0.114057,0.523913
47,47,8,0.794887,0.219076
48,48,6,0.247252,0.925762
49,49,2,0.101761,0.243360
50,50,13,0.863377,0.201793
51,51,4,0.564062,0.799611
52,52,9,0.843495,0.097915
53,53,1,0.932394,0.117607
54,54,4,0.490811,0.755309
55,55,2,0.711786,0.439885
56,56,15,0.544191,0.691072
57,57,7,0.454101,0.114793
58,58,12,0.604201,0.137353
59,59,5,0.283184,0.751689
60,60,9,0.072539,0.562432
61,61,1,0.207055,0.484536
62,62,3,0.091294,0.930744
63,63,10,0.857835,0.711525
64,64,5,0.270474,0.305199
65,65,8,0.413550,0.137036
66,66,10,0.246276,0.604305
67,67,13,0.905088,0.372633
68,68,4,0.561934,0.775269
69,69,2,0.152460,0.749902
70,70,9,0.285542,0.138605
71,71,10,0.521060,0.775324
72,72,9,0.180351,0.777407
73,73,7,0.944463,0.243036
74,74,12,0.287206,0.160611
75,75,6,0.670968,0.860520
76,76,7,0.564683,0.306652
77,77,4,0.515818,0.499139
78,78,8,0.051435,0.078104
79,79,8,0.518505,0.180259
80,80,8,0.857756,0.395791
81,81,2,0.014379,0.324172
82,82,7,0.461326,0.346875
83,83,15,0.435607,0.350157
84,84,10,0.348634,0.802237
85,85,9,0.840080,0.160387
86,86,10,0.331545,0.564799
87,87,2,0.412255,0.103147
88,88,9,0.221994,0.670519
89,89,7,0.582072,0.176646
90,90,4,0.817865,0.798535
91,91,10,0.522412,0.646959
92,92,7,0.432309,0.496813
93,93,6,0.757575,0.538194
94,94,13,0.839800,0.519384
95,95,5,0.732225,0.797461
96,96,10,0.821105,0.179652
97,97,7,0.266540,0.570464
98,98,5,0.354555,0.290415
99,99,9,0.839903,0.136832
100,100,11,0.610589,0.265927
101,101,5,0.416013,0.760161
102,102,7,0.437273,0.265132
103,103,4,0.453609,0.371999
104,104,8,0.071707,0.626528
105,105,1,0.764904,0.586489
106,106,6,0.455283,0.907534
107,107,6,0.072590,0.225150
108,108,4,0.369963,0.691181
109,109,11,0.797799,0.244977
110,110,10,0.587697,0.563360
111,111,10,0.498685,0.180671
112,112,10,0.262728,0.903385
113,113,5,0.666860,0.823957
114,114,6,0.135044,0.606160
115,115,13,0.267214,0.139736
116,116,5,0.162497,0.814379
117,117,5,0.242414,0.349404
118,118,3,0.352318,0.623174
119,119,10,0.265849,0.158488
120,120,6,0.458835,0.860772
121,121,9,0.352270,0.179733
122,122,14,0.887230,0.542534
123,123,4,0.451679,0.800115
124,124,7,0.266128,0.651809
125,125,6,0.479439,0.800669
126,126,8,0.416212,0.262603
127,127,11,0.352132,0.204271
128,128,7,0.559986,0.588254
129,129,11,0.080771,0.307177
