x,y,cl
0.121970,0.078515,1
0.819843,0.130489,2
0.946220,0.110671,4
0.312312,0.851918,5
0.189531,0.831456,5
0.211187,0.182169,1
0.530220,0.362814,0
0.563987,0.363473,0
0.533740,0.143456,1
0.599886,0.019673,-1
0.569268,0.134619,1
0.524083,0.823720,5
0.115173,0.171473,1
0.237905,0.146944,1
0.551220,0.569348,7
0.769105,0.231598,4
0.326386,0.294802,0
0.841171,0.846694,4
0.738980,0.549974,3
0.460646,0.576772,7
0.365406,0.829249,5
0.653914,0.294153,0
0.854065,0.141786,2
0.379027,0.363271,0
0.150606,0.308654,0
0.589145,0.931751,5
0.032378,0.647981,7
0.462715,0.573028,7
0.299030,0.339071,0
0.192453,0.219353,1
0.891859,0.406471,4
0.341269,0.321026,0
0.235518,0.181202,1
0.404350,0.793614,5
0.226288,0.163200,1
0.767010,0.570019,3
0.225666,0.533031,-1
0.362243,0.435656,6
0.294722,0.592275,7
0.100635,0.158715,1
0.532561,0.164056,1
0.633452,0.277384,0
0.403222,0.315085,0
0.198860,0.590304,7
0.465455,0.644200,7
0.674324,0.829816,5
0.109875,0.525169,7
0.800929,0.220238,4
0.243353,0.923913,5
0.103932,0.235511,1
0.099590,0.251209,-1
0.871495,0.192894,2
0.565279,0.788894,5
0.848423,0.088504,2
0.932394,0.117607,4
0.491353,0.759005,5
0.720229,0.435725,3
0.550597,0.684405,7
0.455373,0.115835,1
0.600637,0.143779,1
0.284432,0.763579,5
0.073988,0.560732,7
0.207055,0.484536,-1
0.093386,0.933541,5
0.865345,0.714595,4
0.273740,0.317755,0
0.405204,0.140504,1
0.247446,0.597056,7
0.914078,0.368816,4
0.562001,0.767501,5
0.149614,0.751624,-1
0.456599,0.657259,7
0.286650,0.143398,1
0.513803,0.783358,5
0.179843,0.780021,5
0.936740,0.240073,4
0.292624,0.155518,1
0.671335,0.855656,5
0.735704,0.550807,3
0.569571,0.318153,0
0.516557,0.502245,-1
0.048671,0.075558,1
0.515505,0.181626,1
0.856622,0.395082,4
0.009860,0.328132,0
0.467180,0.351962,0
0.432262,0.349974,0
0.345681,0.796278,5
0.832778,0.167407,2
0.333129,0.565471,7
0.410842,0.104115,1
0.223091,0.673720,7
0.577472,0.179075,1
0.810600,0.791035,4
0.519119,0.639402,7
0.435973,0.499673,6
0.764542,0.539835,3
0.834596,0.517301,4
0.734581,0.806640,3
0.826656,0.176741,2
0.275049,0.573313,7
0.354412,0.281045,0
0.835492,0.133000,2
0.611937,0.270075,0
0.422094,0.762376,5
0.430330,0.258513,0
0.448328,0.368002,0
0.068676,0.625480,7
0.764904,0.586489,3
0.446906,0.914459,5
0.070334,0.226969,1
0.367804,0.685558,5
0.801401,0.243296,4
0.575790,0.561158,7
0.497324,0.171207,1
0.267596,0.896558,5
0.357173,0.807647,5
0.663650,0.811774,5
0.135924,0.603049,7
0.274181,0.133953,1
0.160029,0.813944,5
0.236616,0.343819,0
0.345387,0.621788,7
0.275790,0.151784,1
0.459814,0.857214,5
0.360613,0.178899,1
0.268361,0.571713,7
0.888787,0.543845,4
0.458387,0.799715,5
0.257794,0.649209,7
0.473796,0.800953,5
0.410209,0.260845,0
0.349219,0.203826,1
0.564258,0.577969,7
0.080219,0.308376,0
0.785705,0.649108,3
0.088550,0.348769,0
0.699604,0.694541,3
0.280501,0.200591,1
0.272023,0.283409,0
0.415128,0.371031,0
0.031899,0.575078,7
0.835443,0.105264,2
0.053508,0.658009,7
0.857878,0.417096,4
0.325529,0.449861,6
0.136977,0.084616,1
0.841611,0.756424,4
0.829214,0.180315,2
0.857063,0.414108,4
0.821606,0.348068,4
0.541003,0.301266,0
0.431377,0.618929,7
0.773135,0.727854,3
0.862460,0.370424,4
0.818755,0.129226,2
0.452404,0.619741,7
0.842588,0.859962,4
0.116610,0.251896,-1
0.348636,0.454880,6
0.257715,0.154165,1
0.300472,0.817494,5
0.262909,0.590840,7
0.858928,0.746478,4
0.417144,0.756682,5
0.467551,0.861228,5
0.039668,0.149268,1
0.594574,0.649336,7
0.357685,0.687565,5
0.151859,0.830798,5
0.525791,0.881186,5
0.486850,0.862454,5
0.919648,0.821569,-1
0.642161,0.799409,5
0.642542,0.893292,5
0.582827,0.820485,5
0.700168,0.790407,3
0.229489,0.830647,5
0.273035,0.197216,1
0.309462,0.179807,1
0.054219,0.027160,-1
0.366351,0.150767,1
0.598485,0.350019,0
0.107757,0.216501,1
0.386432,0.612487,7
0.869058,0.711395,4
0.203531,0.194572,1
0.622223,0.622200,7
0.856095,0.599955,4
0.155360,0.204071,1
0.963000,0.272278,-1
0.880344,0.418442,4
0.945150,0.269899,4
0.837932,0.755200,4
0.392801,0.522214,-1
0.488259,0.914579,5
0.051908,0.150120,1
0.321679,0.487487,6
0.350106,0.672045,5
0.169118,0.611866,7
0.724760,0.538172,3
0.715371,0.270454,-1
0.354070,0.767355,5
0.098000,0.634908,7
0.927085,0.186384,4
0.431843,0.865586,5
0.749155,0.199007,4
0.351206,0.145306,1
0.323458,0.723814,5
0.763606,0.028553,-1
0.620308,0.390727,0
0.374321,0.609329,7
0.544311,0.262518,0
