time-stamp,epsilon,minPts,clusters,type,FM
20/11/2017 Mon 16:47:12,0.0150,004,22,p,0.99055
20/11/2017 Mon 16:49:28,0.0150,004,22,p,0.99055
20/11/2017 Mon 17:06:42,0.0150,004,22,p,0.98466
20/11/2017 Mon 17:23:42,0.0150,004,22,p,0.98466
20/11/2017 Mon 17:24:33,0.0150,005,20,p,0.98307
20/11/2017 Mon 17:25:11,0.0130,005,52,p,0.82772
20/11/2017 Mon 17:25:43,0.0130,003,48,p,0.92794
20/11/2017 Mon 17:26:34,0.0135,005,40,p,0.94684
20/11/2017 Mon 17:27:44,0.0150,006,30,p,0.95160
20/11/2017 Mon 17:28:16,0.0145,003,40,p,0.98459
20/11/2017 Mon 17:28:50,0.0300,006,6,c,0.55613
20/11/2017 Mon 17:29:21,0.0250,005,11,c,0.89811
20/11/2017 Mon 17:30:24,0.0225,005,57,c,0.75982
20/11/2017 Mon 17:31:00,0.0230,006,33,c,0.79912
20/11/2017 Mon 17:31:22,0.0230,008,33,c,0.77914
20/11/2017 Mon 17:32:01,0.0240,008,15,c,0.91763
20/11/2017 Mon 17:32:31,0.0245,008,10,c,0.92863
20/11/2017 Mon 17:33:02,0.0248,008,10,c,0.92834
20/11/2017 Mon 17:33:47,0.0245,010,11,c,0.92881
20/11/2017 Mon 17:34:26,0.0245,010,4,p,0.70748
20/11/2017 Mon 17:34:50,0.0245,012,6,p,0.80959
20/11/2017 Mon 17:35:41,0.0220,012,14,p,0.94783
20/11/2017 Mon 17:36:39,0.0220,014,13,p,0.95260
20/11/2017 Mon 17:37:35,0.0215,014,12,p,0.94910
20/11/2017 Mon 17:38:07,0.0218,014,12,p,0.95038
21/11/2017 Tue 12:00:25,0.0218,014,12,p,0.95038
21/11/2017 Tue 12:02:24,0.0245,010,11,c,0.92881
