id,Label,Number_Points,x,y
0,0,4,0.017220,0.157257
1,1,2,0.016828,0.170108
2,2,8,0.048476,0.151817
3,3,4,0.056901,0.116158
4,4,2,0.058893,0.218119
5,5,3,0.061023,0.186317
6,6,7,0.082246,0.185792
7,7,11,0.078713,0.217206
8,8,6,0.086354,0.152483
9,9,7,0.082623,0.116058
10,10,5,0.089305,0.242822
11,11,1,0.100225,0.190018
12,12,8,0.116454,0.082265
13,13,8,0.119439,0.250013
14,14,4,0.121337,0.219205
15,15,9,0.117801,0.158285
16,16,3,0.118795,0.269001
17,17,6,0.116257,0.118941
18,18,2,0.131022,0.059687
19,19,8,0.147111,0.271532
20,20,9,0.147079,0.150452
21,21,7,0.149800,0.049416
22,22,5,0.153412,0.178730
23,23,3,0.153149,0.204410
24,24,4,0.146604,0.085663
25,25,6,0.153276,0.116110
26,26,8,0.148820,0.256484
27,27,6,0.160637,0.017355
28,28,2,0.163144,0.322675
29,29,7,0.176533,0.024384
30,30,5,0.184905,0.082129
31,31,6,0.186599,0.050481
32,32,7,0.185087,0.245617
33,33,5,0.182856,0.146217
34,34,8,0.187050,0.215575
35,35,8,0.179537,0.115693
36,36,8,0.184058,0.286033
37,37,3,0.176314,0.306934
38,38,8,0.184996,0.183405
39,39,6,0.217337,0.111740
40,40,11,0.215325,0.250985
41,41,1,0.200826,0.295492
42,42,9,0.214862,0.183901
43,43,6,0.217064,0.214288
44,44,6,0.219010,0.151843
45,45,2,0.215172,0.061567
46,46,4,0.218988,0.078035
47,47,11,0.250201,0.220479
48,48,4,0.240810,0.246638
49,49,6,0.250292,0.181133
50,50,6,0.250465,0.118801
51,51,4,0.246599,0.090229
52,52,4,0.256425,0.144427
53,53,4,0.274541,0.116787
54,54,9,0.281198,0.148807
55,55,8,0.285038,0.186232
56,56,1,0.290792,0.202515
57,57,5,0.309989,0.179218
58,58,3,0.311932,0.153971
59,59,3,0.344518,0.162548
60,60,4,0.362760,0.188033
61,61,6,0.379536,0.152336
62,62,6,0.377247,0.181625
63,63,7,0.392778,0.118687
64,64,3,0.392520,0.219964
65,65,9,0.412907,0.179419
66,66,5,0.414042,0.117206
67,67,4,0.420301,0.150246
68,68,6,0.418339,0.238168
69,69,7,0.417559,0.217375
70,70,1,0.418116,0.082789
71,71,5,0.451419,0.121205
72,72,5,0.445229,0.248546
73,73,2,0.447329,0.205355
74,74,5,0.448798,0.062380
75,75,9,0.450719,0.182408
76,76,4,0.457016,0.281076
77,77,6,0.451598,0.082514
78,78,7,0.454062,0.146057
79,79,10,0.481148,0.183946
80,80,4,0.480186,0.221055
81,81,7,0.486074,0.114838
82,82,5,0.484259,0.305721
83,83,8,0.483534,0.087688
84,84,3,0.484022,0.277417
85,85,5,0.486977,0.146748
86,86,8,0.480396,0.045048
87,87,4,0.487094,0.252766
88,88,5,0.494263,0.017147
89,89,5,0.519468,0.109557
90,90,14,0.515300,0.053259
91,91,5,0.511416,0.255659
92,92,4,0.516562,0.022882
93,93,9,0.516245,0.079897
94,94,8,0.519782,0.154829
95,95,8,0.518182,0.281426
96,96,5,0.518204,0.185900
97,97,6,0.512980,0.218285
98,98,2,0.517768,0.311302
99,99,5,0.540553,0.182237
100,100,6,0.548126,0.214387
101,101,6,0.543007,0.275873
102,102,7,0.552652,0.080651
103,103,8,0.551881,0.115431
104,104,7,0.554302,0.242488
105,105,4,0.546125,0.057064
106,106,4,0.555756,0.155448
107,107,11,0.581007,0.213045
108,108,5,0.580156,0.182014
109,109,6,0.586719,0.148054
110,110,6,0.585159,0.114636
111,111,3,0.579888,0.242740
112,112,3,0.580059,0.095808
113,113,4,0.612556,0.122087
114,114,9,0.611639,0.186127
115,115,4,0.611462,0.212841
116,116,2,0.623683,0.141045
117,117,3,0.646008,0.183509
118,118,2,0.646891,0.163905
119,119,3,0.685830,0.182585
120,120,2,0.694738,0.149762
121,121,5,0.719456,0.148042
122,122,8,0.720725,0.179703
123,123,4,0.716067,0.124841
124,124,3,0.713124,0.206950
125,125,7,0.746500,0.182299
126,126,10,0.747853,0.211712
127,127,7,0.745372,0.149319
128,128,4,0.750598,0.119025
129,129,5,0.761265,0.255624
130,130,1,0.764068,0.075114
131,131,11,0.785147,0.081056
132,132,7,0.788824,0.056115
133,133,6,0.789669,0.180635
134,134,4,0.785313,0.249574
135,135,3,0.778236,0.141646
136,136,6,0.784490,0.222929
137,137,3,0.789991,0.118688
138,138,2,0.787114,0.272517
139,139,7,0.816567,0.118715
140,140,9,0.817503,0.245112
141,141,9,0.821155,0.217237
142,142,9,0.812388,0.185082
143,143,9,0.819596,0.282037
144,144,5,0.812991,0.144441
145,145,9,0.821572,0.084210
146,146,5,0.819271,0.050830
147,147,2,0.821179,0.020752
148,148,2,0.826917,0.308693
149,149,5,0.848593,0.224500
150,150,5,0.840887,0.153611
151,151,8,0.852006,0.286004
152,152,1,0.834997,0.017441
153,153,11,0.845061,0.081714
154,154,4,0.842307,0.308023
155,155,6,0.857220,0.054204
156,156,6,0.848683,0.119977
157,157,5,0.853633,0.247367
158,158,5,0.853712,0.186592
159,159,7,0.879211,0.056717
160,160,6,0.882786,0.111410
161,161,5,0.876566,0.226086
162,162,5,0.875435,0.285816
163,163,8,0.882659,0.185211
164,164,10,0.888181,0.247866
165,165,6,0.887574,0.087265
166,166,3,0.885194,0.147608
167,167,7,0.917981,0.116227
168,168,7,0.914102,0.181763
169,169,2,0.904327,0.077632
170,170,8,0.917642,0.155584
171,171,5,0.913521,0.221448
172,172,4,0.914869,0.245327
173,173,2,0.934913,0.210136
174,174,6,0.950421,0.157861
175,175,10,0.951125,0.177370
176,176,2,0.946063,0.130338
177,177,5,0.975908,0.153325
178,178,2,0.981860,0.169942
179,179,4,0.019612,0.507224
180,180,2,0.020905,0.488391
181,181,6,0.046222,0.514819
182,182,4,0.051277,0.544437
183,183,7,0.051730,0.475673
184,184,1,0.061722,0.442942
185,185,4,0.080852,0.517422
186,186,5,0.081508,0.559949
187,187,9,0.083079,0.480842
188,188,9,0.083714,0.442319
189,189,9,0.086657,0.422005
190,190,1,0.096415,0.580423
191,191,7,0.117247,0.451228
192,192,5,0.115178,0.517040
193,193,8,0.117998,0.422938
194,194,5,0.112058,0.480695
195,195,7,0.122083,0.551057
196,196,5,0.119051,0.581486
197,197,3,0.120041,0.610997
198,198,2,0.129196,0.386192
199,199,7,0.149114,0.614257
200,200,5,0.142543,0.545710
201,201,12,0.150814,0.581833
202,202,5,0.146470,0.484782
203,203,5,0.149557,0.456350
204,204,8,0.152435,0.379452
205,205,3,0.151782,0.416692
206,206,6,0.154546,0.513275
207,207,2,0.156949,0.647374
208,208,2,0.162450,0.346173
209,209,7,0.181399,0.446460
210,210,8,0.180124,0.587387
211,211,6,0.182833,0.380690
212,212,3,0.182178,0.647871
213,213,5,0.184238,0.607615
214,214,12,0.187839,0.552855
215,215,5,0.182904,0.517963
216,216,5,0.178978,0.356869
217,217,8,0.186667,0.484121
218,218,5,0.189065,0.418276
219,219,3,0.210025,0.515362
220,220,13,0.215262,0.454213
221,221,7,0.214242,0.483505
222,222,7,0.212232,0.551217
223,223,8,0.215570,0.582442
224,224,8,0.219557,0.413518
225,225,2,0.215668,0.388374
226,226,3,0.217872,0.604507
227,227,4,0.245008,0.425233
228,228,13,0.251531,0.518037
229,229,2,0.241979,0.568418
230,230,6,0.248058,0.450110
231,231,6,0.247782,0.553504
232,232,3,0.253608,0.481384
233,233,6,0.276955,0.480596
234,234,6,0.285956,0.514285
235,235,3,0.274012,0.454904
236,236,4,0.282880,0.541723
237,237,3,0.309792,0.509728
238,238,4,0.307056,0.492016
239,239,3,0.351462,0.510851
240,240,4,0.355858,0.491151
241,241,7,0.378496,0.522470
242,242,8,0.383796,0.480210
243,243,7,0.384804,0.540816
244,244,2,0.399022,0.459862
245,245,8,0.416233,0.445634
246,246,6,0.416951,0.523792
247,247,10,0.415875,0.485890
248,248,4,0.422292,0.580110
249,249,1,0.419998,0.418925
250,250,7,0.427434,0.552251
251,251,7,0.446607,0.553567
252,252,7,0.450648,0.512424
253,253,8,0.448872,0.414597
254,254,9,0.451200,0.478537
255,255,4,0.440547,0.578722
256,256,6,0.448638,0.451258
257,257,3,0.456409,0.607013
258,258,1,0.460149,0.384185
259,259,12,0.482240,0.619811
260,260,7,0.481614,0.518890
261,261,7,0.481583,0.416638
262,262,7,0.482469,0.377084
263,263,4,0.486824,0.449805
264,264,5,0.486792,0.643352
265,265,3,0.487479,0.483914
266,266,3,0.485067,0.549908
267,267,2,0.489032,0.357267
268,268,3,0.493434,0.580009
269,269,8,0.514925,0.619159
270,270,8,0.509673,0.451804
271,271,5,0.515632,0.387971
272,272,7,0.516231,0.414814
273,273,7,0.519160,0.481204
274,274,5,0.515603,0.521750
275,275,2,0.511955,0.648048
276,276,6,0.520843,0.546642
277,277,5,0.517119,0.581251
278,278,4,0.517332,0.361345
279,279,7,0.551418,0.483325
280,280,4,0.550038,0.578008
281,281,10,0.548873,0.455700
282,282,5,0.548688,0.548630
283,283,8,0.545170,0.390041
284,284,6,0.556709,0.510981
285,285,5,0.543636,0.417815
286,286,3,0.547458,0.613094
287,287,5,0.574118,0.579030
288,288,4,0.576049,0.420392
289,289,6,0.582171,0.509579
290,290,8,0.582134,0.482528
291,291,7,0.583803,0.448229
292,292,8,0.583287,0.556039
293,293,5,0.607435,0.541508
294,294,5,0.616070,0.455776
295,295,6,0.619272,0.480894
296,296,5,0.616629,0.519305
297,297,4,0.644120,0.518075
298,298,1,0.647903,0.497152
299,299,4,0.687070,0.513293
300,300,1,0.694530,0.481013
301,301,9,0.717990,0.487256
302,302,6,0.712709,0.514443
303,303,3,0.718932,0.451789
304,304,2,0.717448,0.541638
305,305,4,0.739895,0.446477
306,306,5,0.748965,0.542802
307,307,7,0.751497,0.518038
308,308,7,0.751925,0.479000
309,309,4,0.750618,0.578253
310,310,2,0.765668,0.414113
311,311,7,0.783678,0.515344
312,312,10,0.784552,0.587456
313,313,9,0.778796,0.416759
314,314,8,0.784361,0.482653
315,315,7,0.785485,0.447268
316,316,5,0.790284,0.617535
317,317,6,0.787886,0.556275
318,318,2,0.788610,0.389915
319,319,9,0.816121,0.382595
320,320,5,0.817550,0.416459
321,321,8,0.814727,0.556486
322,322,7,0.810977,0.446182
323,323,5,0.820698,0.481147
324,324,8,0.818677,0.616718
325,325,9,0.819573,0.577458
326,326,3,0.818521,0.643068
327,327,7,0.822379,0.522820
328,328,1,0.814218,0.366643
329,329,5,0.848263,0.414917
330,330,9,0.849312,0.379812
331,331,5,0.847512,0.610742
332,332,5,0.851338,0.484887
333,333,12,0.850103,0.515969
334,334,4,0.844193,0.360767
335,335,3,0.841049,0.554052
336,336,4,0.846161,0.643775
337,337,7,0.854870,0.453616
338,338,6,0.854708,0.582401
339,339,9,0.883573,0.547754
340,340,8,0.883685,0.481370
341,341,10,0.885062,0.415926
342,342,4,0.880251,0.447045
343,343,5,0.874245,0.389572
344,344,5,0.876148,0.606353
345,345,5,0.884396,0.578103
346,346,4,0.886521,0.518199
347,347,3,0.920249,0.513344
348,348,4,0.910975,0.420349
349,349,2,0.914553,0.568907
350,350,10,0.916946,0.485233
351,351,7,0.918137,0.451332
352,352,3,0.915341,0.554776
353,353,9,0.946962,0.483077
354,354,2,0.942184,0.453822
355,355,3,0.951964,0.542245
356,356,4,0.951138,0.511799
357,357,5,0.975234,0.508693
358,358,1,0.982087,0.483795
359,359,4,0.019861,0.841205
360,360,2,0.023305,0.822311
361,361,10,0.047510,0.850708
362,362,4,0.046304,0.808650
363,363,6,0.060873,0.784809
364,364,1,0.057358,0.876247
365,365,11,0.085568,0.821827
366,366,6,0.082473,0.851283
367,367,7,0.084651,0.883799
368,368,2,0.080551,0.907537
369,369,2,0.086446,0.792381
370,370,4,0.095897,0.744654
371,371,7,0.115440,0.780906
372,372,5,0.114142,0.842395
373,373,10,0.118842,0.884094
374,374,6,0.117274,0.808815
375,375,3,0.120983,0.749900
376,376,9,0.121113,0.924283
377,377,3,0.119442,0.942474
378,378,7,0.126487,0.721386
379,379,8,0.147967,0.920838
380,380,10,0.146371,0.714423
381,381,5,0.145258,0.820082
382,382,7,0.153791,0.779781
383,383,4,0.148098,0.886557
384,384,6,0.148091,0.948170
385,385,6,0.155440,0.751262
386,386,4,0.149370,0.851830
387,387,5,0.155551,0.974805
388,388,2,0.157183,0.689496
389,389,6,0.180987,0.916836
390,390,5,0.180396,0.775353
391,391,6,0.180286,0.718417
392,392,8,0.183107,0.950664
393,393,3,0.171427,0.972485
394,394,7,0.185649,0.886950
395,395,6,0.180317,0.816918
396,396,4,0.187879,0.743163
397,397,6,0.182793,0.853966
398,398,1,0.176051,0.685603
399,399,6,0.217514,0.776833
400,400,11,0.217804,0.819289
401,401,10,0.218109,0.884368
402,402,11,0.215023,0.748751
403,403,6,0.214006,0.720296
404,404,8,0.219133,0.847381
405,405,2,0.216062,0.943400
406,406,1,0.219727,0.904465
407,407,1,0.234726,0.811895
408,408,4,0.244494,0.908197
409,409,7,0.253470,0.785091
410,410,12,0.250810,0.882724
411,411,8,0.249226,0.852568
412,412,2,0.251404,0.759964
413,413,6,0.284086,0.814429
414,414,3,0.273315,0.887807
415,415,7,0.282344,0.849256
416,416,3,0.285316,0.798547
417,417,3,0.309592,0.839872
418,418,4,0.310984,0.822103
419,419,6,0.355619,0.823940
420,420,4,0.358620,0.855174
421,421,7,0.380131,0.855530
422,422,10,0.385496,0.812180
423,423,3,0.386185,0.881567
424,424,2,0.395098,0.797190
425,425,6,0.419765,0.755870
426,426,7,0.417732,0.850940
427,427,6,0.412494,0.808594
428,428,6,0.417536,0.785493
429,429,5,0.420091,0.906897
430,430,3,0.415839,0.885684
431,431,7,0.445322,0.917735
432,432,7,0.446461,0.852422
433,433,3,0.452710,0.890499
434,434,12,0.448124,0.752531
435,435,6,0.450066,0.815161
436,436,4,0.451836,0.783021
437,437,3,0.459023,0.729414
438,438,4,0.460556,0.943972
439,439,10,0.478869,0.780033
440,440,9,0.483170,0.848976
441,441,5,0.477193,0.921567
442,442,9,0.483280,0.820543
443,443,3,0.484412,0.975709
444,444,4,0.484487,0.757083
445,445,5,0.484338,0.692232
446,446,6,0.489950,0.947042
447,447,4,0.484900,0.883648
448,448,6,0.484639,0.722213
449,449,6,0.508690,0.686451
450,450,8,0.514247,0.814140
451,451,8,0.510002,0.853365
452,452,6,0.518146,0.712750
453,453,5,0.518810,0.920146
454,454,7,0.519732,0.787900
455,455,8,0.520753,0.952249
456,456,6,0.514394,0.880827
457,457,1,0.514745,0.746618
458,458,1,0.526907,0.972188
459,459,5,0.549138,0.792093
460,460,2,0.539433,0.727973
461,461,10,0.546107,0.883351
462,462,6,0.555336,0.847389
463,463,10,0.552763,0.749574
464,464,6,0.549957,0.913944
465,465,2,0.544217,0.937403
466,466,3,0.554687,0.815519
467,467,7,0.582620,0.756490
468,468,9,0.579814,0.878418
469,469,6,0.582808,0.847613
470,470,7,0.582243,0.778247
471,471,1,0.571645,0.906027
472,472,3,0.593002,0.826892
473,473,3,0.607949,0.872124
474,474,8,0.616450,0.853004
475,475,5,0.616140,0.815297
476,476,2,0.613910,0.785447
477,477,4,0.641318,0.823412
478,478,7,0.648045,0.842859
479,479,3,0.691719,0.845737
480,480,3,0.690186,0.827337
481,481,7,0.712800,0.817637
482,482,7,0.718584,0.846101
483,483,3,0.726863,0.878096
484,484,2,0.728412,0.780474
485,485,6,0.750589,0.824887
486,486,5,0.752066,0.883956
487,487,10,0.752094,0.777859
488,488,4,0.752035,0.759571
489,489,3,0.747845,0.859701
490,490,4,0.760118,0.914110
491,491,11,0.779716,0.821584
492,492,6,0.783438,0.892416
493,493,6,0.780834,0.748771
494,494,7,0.783032,0.846346
495,495,4,0.786424,0.775593
496,496,3,0.787906,0.942976
497,497,5,0.789779,0.925669
498,498,1,0.781835,0.722372
499,499,8,0.809987,0.818831
500,500,4,0.811957,0.922765
501,501,11,0.816137,0.784507
502,502,4,0.813960,0.954853
503,503,6,0.816360,0.751125
504,504,10,0.819143,0.712708
505,505,6,0.816773,0.851200
506,506,10,0.817142,0.886560
507,507,7,0.826615,0.687968
508,508,9,0.844865,0.847798
509,509,6,0.853501,0.814261
510,510,9,0.844950,0.884517
511,511,7,0.852128,0.920965
512,512,5,0.847655,0.782967
513,513,10,0.850923,0.952966
514,514,11,0.849791,0.721582
515,515,2,0.841324,0.979325
516,516,4,0.853255,0.752295
517,517,9,0.881843,0.748064
518,518,9,0.882056,0.884784
519,519,9,0.881855,0.848843
520,520,4,0.879400,0.717280
521,521,3,0.881008,0.813143
522,522,7,0.882926,0.912674
523,523,2,0.881630,0.775139
524,524,1,0.888697,0.933420
525,525,6,0.905627,0.752734
526,526,9,0.917101,0.813781
527,527,6,0.921962,0.850268
528,528,7,0.919282,0.879957
529,529,2,0.912939,0.913345
530,530,5,0.918148,0.780371
531,531,3,0.942388,0.787196
532,532,10,0.951641,0.850213
533,533,2,0.942681,0.869367
534,534,4,0.946931,0.812624
535,535,4,0.973348,0.817968
536,536,2,0.980934,0.846385
