x,y,cl
0.002223,0.166285,0
0.008153,0.172078,0
0.012202,0.158844,0
0.022187,0.155365,0
0.025503,0.168137,0
0.032267,0.148534,0
0.036000,0.162252,0
0.040452,0.135824,0
0.043350,0.159861,0
0.044185,0.151433,0
0.047237,0.161519,0
0.048655,0.129817,0
0.048878,0.143962,0
0.052220,0.211680,0
0.055048,0.116918,0
0.055847,0.182933,0
0.059580,0.114955,0
0.061553,0.166245,0
0.063147,0.181630,0
0.064077,0.194387,0
0.064322,0.102941,0
0.065567,0.224558,0
0.066157,0.133438,0
0.067500,0.179835,0
0.068008,0.226796,0
0.068440,0.170400,0
0.068660,0.227122,0
0.069270,0.147695,0
0.071020,0.210490,0
0.071268,0.106445,0
0.072378,0.229187,0
0.073100,0.124252,0
0.073497,0.120204,0
0.074533,0.226181,0
0.075837,0.207113,0
0.076482,0.222839,0
0.077560,0.204717,0
0.078562,0.175964,0
0.081187,0.156820,0
0.081568,0.106399,0
0.082413,0.248230,0
0.083455,0.197377,0
0.084142,0.161535,0
0.085322,0.241892,0
0.086090,0.195628,0
0.087337,0.107900,0
0.089075,0.250198,0
0.089360,0.226608,0
0.090240,0.238210,0
0.091008,0.136622,0
0.092707,0.165522,0
0.093307,0.184606,0
0.094223,0.204046,0
0.095047,0.117355,0
0.096542,0.129847,0
0.097783,0.204168,0
0.098368,0.196737,0
0.099477,0.235581,0
0.099808,0.146703,0
0.100225,0.190018,0
0.101953,0.075205,0
0.102838,0.255519,0
0.103718,0.094162,0
0.104075,0.220759,0
0.104935,0.154475,0
0.105362,0.080394,0
0.108445,0.166463,0
0.109070,0.267237,0
0.110723,0.157008,0
0.111262,0.114009,0
0.111618,0.164647,0
0.112055,0.238337,0
0.113220,0.115397,0
0.113988,0.133102,0
0.114822,0.166626,0
0.115423,0.071116,0
0.116857,0.109075,0
0.117543,0.109227,0
0.118230,0.267634,0
0.120035,0.257741,0
0.121073,0.264089,0
0.121420,0.083420,0
0.121715,0.242167,0
0.122100,0.215327,0
0.123205,0.158254,0
0.123473,0.165944,0
0.124008,0.235046,0
0.124675,0.132833,0
0.124990,0.240550,0
0.125595,0.075557,0
0.126928,0.090846,0
0.127298,0.210134,0
0.128795,0.266657,0
0.129085,0.272130,0
0.129648,0.060877,0
0.129995,0.142771,0
0.131235,0.087418,0
0.131877,0.230601,0
0.132395,0.058497,0
0.132990,0.148376,0
0.133815,0.271662,0
0.134400,0.269709,0
0.134695,0.148748,0
0.134995,0.163844,0
0.136428,0.270813,0
0.136582,0.049744,0
0.137645,0.178686,0
0.138503,0.057119,0
0.139212,0.201513,0
0.140335,0.096085,0
0.140853,0.112183,0
0.140987,0.142858,0
0.141322,0.058004,0
0.142222,0.104268,0
0.142532,0.271693,0
0.143372,0.096120,0
0.144038,0.252752,0
0.144908,0.257502,0
0.146042,0.262863,0
0.146490,0.157984,0
0.146942,0.269709,0
0.147705,0.242416,0
0.148057,0.173599,0
0.148397,0.049825,0
0.148590,0.265559,0
0.149307,0.149099,0
0.149435,0.262873,0
0.149577,0.162847,0
0.150283,0.075775,0
0.151998,0.269043,0
0.152425,0.074672,0
0.152745,0.119314,0
0.153203,0.136459,0
0.154297,0.259374,0
0.154795,0.013829,0
0.155548,0.248535,0
0.156413,0.156784,0
0.157700,0.180237,0
0.158045,0.135442,0
0.158412,0.201838,0
0.158558,0.057378,0
0.158717,0.035268,0
0.158838,0.020360,0
0.159252,0.103811,0
0.160090,0.019714,0
0.160238,0.124654,0
0.161148,0.005610,0
0.161438,0.187526,0
0.161825,0.209880,0
0.162222,0.173604,0
0.163025,0.321645,0
0.163263,0.323705,0
0.163752,0.031077,0
0.164347,0.132431,0
0.164617,0.276408,0
0.165202,0.013540,0
0.166153,0.273219,0
0.166525,0.038574,0
0.166880,0.022639,0
0.167379,0.097015,0
0.167648,0.048691,0
0.167893,0.262705,0
0.168910,0.149475,0
