x,y,cellId,label-gC,label-GT
0.01722,0.157257,0,0,0
0.016828,0.170108,1,0,0
0.01722,0.157257,0,0,0
0.01722,0.157257,0,0,0
0.016828,0.170108,1,0,0
0.01722,0.157257,0,0,0
0.048476,0.151817,2,0,0
0.048476,0.151817,2,0,0
0.048476,0.151817,2,0,0
0.048476,0.151817,2,0,0
0.048476,0.151817,2,0,0
0.056901,0.116158,3,0,0
0.048476,0.151817,2,0,0
0.058893,0.218119,4,0,0
0.056901,0.116158,3,0,0
0.061023,0.186317,5,0,0
0.056901,0.116158,3,0,0
0.048476,0.151817,2,0,0
0.061023,0.186317,5,0,0
0.061023,0.186317,5,0,0
0.056901,0.116158,3,0,0
0.058893,0.218119,4,0,0
0.048476,0.151817,2,0,0
0.082246,0.185792,6,0,0
0.078713,0.217206,7,0,0
0.082246,0.185792,6,0,0
0.078713,0.217206,7,0,0
0.086354,0.152483,8,0,0
0.078713,0.217206,7,0,0
0.082623,0.116058,9,0,0
0.078713,0.217206,7,0,0
0.082623,0.116058,9,0,0
0.082623,0.116058,9,0,0
0.078713,0.217206,7,0,0
0.078713,0.217206,7,0,0
0.078713,0.217206,7,0,0
0.078713,0.217206,7,0,0
0.082246,0.185792,6,0,0
0.086354,0.152483,8,0,0
0.082623,0.116058,9,0,0
0.089305,0.242822,10,0,0
0.082246,0.185792,6,0,0
0.086354,0.152483,8,0,0
0.089305,0.242822,10,0,0
0.082246,0.185792,6,0,0
0.082623,0.116058,9,0,0
0.089305,0.242822,10,0,0
0.078713,0.217206,7,0,0
0.089305,0.242822,10,0,0
0.086354,0.152483,8,0,0
0.086354,0.152483,8,0,0
0.082246,0.185792,6,0,0
0.078713,0.217206,7,0,0
0.082623,0.116058,9,0,0
0.082623,0.116058,9,0,0
0.078713,0.217206,7,0,0
0.082246,0.185792,6,0,0
0.089305,0.242822,10,0,0
0.086354,0.152483,8,0,0
0.100225,0.190018,11,0,0
0.116454,0.082265,12,0,0
0.119439,0.250013,13,0,0
0.116454,0.082265,12,0,0
0.121337,0.219205,14,0,0
0.117801,0.158285,15,0,0
0.116454,0.082265,12,0,0
0.117801,0.158285,15,0,0
0.118795,0.269001,16,0,0
0.117801,0.158285,15,0,0
0.116257,0.118941,17,0,0
0.117801,0.158285,15,0,0
0.119439,0.250013,13,0,0
0.116257,0.118941,17,0,0
0.116257,0.118941,17,0,0
0.117801,0.158285,15,0,0
0.116454,0.082265,12,0,0
0.116257,0.118941,17,0,0
