x,y,cellId,label-gC,label-GT
0.002223,0.166285,0,0,0
0.008153,0.172078,1,0,0
0.012202,0.158844,0,0,0
0.022187,0.155365,0,0,0
0.025503,0.168137,1,0,0
0.032267,0.148534,0,0,0
0.036,0.162252,2,0,0
0.040452,0.135824,2,0,0
0.04335,0.159861,2,0,0
0.044185,0.151433,2,0,0
0.047237,0.161519,2,0,0
0.048655,0.129817,3,0,0
0.048878,0.143962,2,0,0
0.05222,0.21168,4,0,0
0.055048,0.116918,3,0,0
0.055847,0.182933,5,0,0
0.05958,0.114955,3,0,0
0.061553,0.166245,2,0,0
0.063147,0.18163,5,0,0
0.064077,0.194387,5,0,0
0.064322,0.102941,3,0,0
0.065567,0.224558,4,0,0
0.066157,0.133438,2,0,0
0.0675,0.179835,6,0,0
0.068008,0.226796,7,0,0
0.06844,0.1704,6,0,0
0.06866,0.227122,7,0,0
0.06927,0.147695,8,0,0
0.07102,0.21049,7,0,0
0.071268,0.106445,9,0,0
0.072378,0.229187,7,0,0
0.0731,0.124252,9,0,0
0.073497,0.120204,9,0,0
0.074533,0.226181,7,0,0
0.075837,0.207113,7,0,0
0.076482,0.222839,7,0,0
0.07756,0.204717,7,0,0
0.078562,0.175964,6,0,0
0.081187,0.15682,8,0,0
0.081568,0.106399,9,0,0
0.082413,0.24823,10,0,0
0.083455,0.197377,6,0,0
0.084142,0.161535,8,0,0
0.085322,0.241892,10,0,0
0.08609,0.195628,6,0,0
0.087337,0.1079,9,0,0
0.089075,0.250198,10,0,0
0.08936,0.226608,7,0,0
0.09024,0.23821,10,0,0
0.091008,0.136622,8,0,0
0.092707,0.165522,8,0,0
0.093307,0.184606,6,0,0
0.094223,0.204046,7,0,0
0.095047,0.117355,9,0,0
0.096542,0.129847,9,0,0
0.097783,0.204168,7,0,0
0.098368,0.196737,6,0,0
0.099477,0.235581,10,0,0
0.099808,0.146703,8,0,0
0.100225,0.190018,11,0,0
0.101953,0.075205,12,0,0
0.102838,0.255519,13,0,0
0.103718,0.094162,12,0,0
0.104075,0.220759,14,0,0
0.104935,0.154475,15,0,0
0.105362,0.080394,12,0,0
0.108445,0.166463,15,0,0
0.10907,0.267237,16,0,0
0.110723,0.157008,15,0,0
0.111262,0.114009,17,0,0
0.111618,0.164647,15,0,0
0.112055,0.238337,13,0,0
0.11322,0.115397,17,0,0
0.113988,0.133102,17,0,0
0.114822,0.166626,15,0,0
0.115423,0.071116,12,0,0
0.116857,0.109075,17,0,0
0.117543,0.109227,17,0,0
0.11823,0.267634,16,0,0
0.120035,0.257741,13,0,0
0.121073,0.264089,13,0,0
0.12142,0.08342,12,0,0
0.121715,0.242167,13,0,0
0.1221,0.215327,14,0,0
0.123205,0.158254,15,0,0
0.123473,0.165944,15,0,0
0.124008,0.235046,13,0,0
0.124675,0.132833,17,0,0
0.12499,0.24055,13,0,0
0.125595,0.075557,12,0,0
0.126928,0.090846,12,0,0
0.127298,0.210134,14,0,0
0.128795,0.266657,13,0,0
0.129085,0.27213,16,0,0
0.129648,0.060877,18,0,0
0.129995,0.142771,15,0,0
0.131235,0.087418,12,0,0
0.131877,0.230601,14,0,0
0.132395,0.058497,18,0,0
0.13299,0.148376,15,0,0
0.133815,0.271662,19,0,0
0.1344,0.269709,19,0,0
0.134695,0.148748,20,0,0
0.134995,0.163844,20,0,0
0.136428,0.270813,19,0,0
0.136582,0.049744,21,0,0
0.137645,0.178686,22,0,0
0.138503,0.057119,21,0,0
0.139212,0.201513,23,0,0
0.140335,0.096085,24,0,0
0.140853,0.112183,25,0,0
0.140987,0.142858,20,0,0
0.141322,0.058004,21,0,0
0.142222,0.104268,25,0,0
0.142532,0.271693,19,0,0
0.143372,0.09612,24,0,0
0.144038,0.252752,26,0,0
0.144908,0.257502,26,0,0
0.146042,0.262863,26,0,0
0.14649,0.157984,20,0,0
0.146942,0.269709,19,0,0
0.147705,0.242416,26,0,0
0.148057,0.173599,22,0,0
0.148397,0.049825,21,0,0
0.14859,0.265559,26,0,0
0.149307,0.149099,20,0,0
0.149435,0.262873,26,0,0
0.149577,0.162847,20,0,0
0.150283,0.075775,24,0,0
0.151998,0.269043,19,0,0
0.152425,0.074672,24,0,0
0.152745,0.119314,25,0,0
0.153203,0.136459,20,0,0
0.154297,0.259374,26,0,0
0.154795,0.013829,27,0,0
0.155548,0.248535,26,0,0
0.156413,0.156784,20,0,0
0.1577,0.180237,22,0,0
0.158045,0.135442,20,0,0
0.158412,0.201838,23,0,0
0.158558,0.057378,21,0,0
0.158717,0.035268,21,0,0
0.158838,0.02036,27,0,0
0.159252,0.103811,25,0,0
0.16009,0.019714,27,0,0
0.160238,0.124654,25,0,0
0.161148,0.00561,27,0,0
0.161438,0.187526,22,0,0
0.161825,0.20988,23,0,0
0.162222,0.173604,22,0,0
0.163025,0.321645,28,0,0
0.163263,0.323705,28,0,0
0.163752,0.031077,27,0,0
0.164347,0.132431,25,0,0
0.164617,0.276408,19,0,0
0.165202,0.01354,27,0,0
0.166153,0.273219,19,0,0
0.166525,0.038574,21,0,0
0.16688,0.022639,29,0,0
0.167379,0.097015,30,0,0
0.167648,0.048691,31,0,0
0.167893,0.262705,32,0,0
0.16891,0.149475,33,0,0
0.16922,0.029704,29,0,0
0.169373,0.2214,34,0,0
0.169973,0.13265,35,0,0
0.170146,0.288818,36,0,0
0.170843,0.130768,35,0,0
0.1713,0.107488,35,0,0
0.171697,0.244222,32,0,0
0.1722,0.313426,37,0,0
0.172867,0.290212,36,0,0
0.173482,0.137746,33,0,0
0.173894,0.283203,36,0,0
