time-stamp,epsilon,minPts,clusters,type,FM
19/11/2017 Sun 14:08:54,0.3000,010,9,c,1.00000
19/11/2017 Sun 14:09:10,0.3000,010,9,p,1.00000
20/11/2017 Mon 15:55:12,0.3000,010,1,p,0.33289
20/11/2017 Mon 15:55:29,0.0400,010,1,p,0.33289
20/11/2017 Mon 15:55:41,0.0200,010,81,p,0.42954
20/11/2017 Mon 15:55:54,0.0200,006,17,p,0.96689
20/11/2017 Mon 15:56:05,0.0300,006,1,p,0.33289
20/11/2017 Mon 15:56:18,0.0250,006,7,p,0.77108
20/11/2017 Mon 15:56:39,0.0250,010,10,p,0.97511
20/11/2017 Mon 15:56:54,0.0275,010,8,p,0.89708
20/11/2017 Mon 15:57:14,0.0285,010,8,p,0.89852
20/11/2017 Mon 15:57:28,0.0285,015,22,p,0.91927
20/11/2017 Mon 15:57:36,0.0285,012,9,p,0.98498
20/11/2017 Mon 15:57:51,0.0290,012,9,p,0.98574
20/11/2017 Mon 15:58:10,0.0300,012,9,p,0.98994
20/11/2017 Mon 15:58:20,0.0400,012,1,p,0.33289
20/11/2017 Mon 15:58:29,0.0350,012,1,p,0.33278
20/11/2017 Mon 15:58:39,0.0325,012,5,p,0.62288
20/11/2017 Mon 15:58:56,0.0300,012,9,p,0.98994
20/11/2017 Mon 15:59:26,0.0600,024,1,c,0.33289
20/11/2017 Mon 15:59:34,0.0600,012,1,c,0.33289
20/11/2017 Mon 15:59:47,0.0400,012,5,c,0.62506
20/11/2017 Mon 16:00:02,0.0400,008,5,c,0.62506
20/11/2017 Mon 16:00:21,0.0300,008,135,c,0.83301
20/11/2017 Mon 16:00:39,0.0350,008,17,c,0.98236
20/11/2017 Mon 16:00:54,0.0350,010,16,c,0.97887
20/11/2017 Mon 16:01:05,0.0380,010,8,c,0.89962
20/11/2017 Mon 16:01:24,0.0380,012,8,c,0.89962
20/11/2017 Mon 16:01:48,0.0380,014,9,c,0.90204
20/11/2017 Mon 16:02:32,0.0370,012,9,c,0.90311
20/11/2017 Mon 16:03:08,0.0380,016,8,c,0.89870
20/11/2017 Mon 16:03:17,0.0380,018,8,c,0.89759
20/11/2017 Mon 16:03:30,0.0380,020,11,c,0.89425
20/11/2017 Mon 16:03:47,0.0380,019,9,c,0.89614
20/11/2017 Mon 20:11:41,0.0300,012,9,p,0.98994
20/11/2017 Mon 20:12:41,0.0300,010,6,p,0.65071
20/11/2017 Mon 20:12:52,0.0300,011,8,p,0.89912
20/11/2017 Mon 20:13:04,0.0350,012,1,p,0.33278
20/11/2017 Mon 20:13:16,0.0315,012,6,p,0.64864
20/11/2017 Mon 20:13:27,0.0305,012,9,p,0.98995
20/11/2017 Mon 20:13:46,0.0308,012,9,p,0.98928
20/11/2017 Mon 20:16:01,0.0370,012,9,c,0.90311
20/11/2017 Mon 20:16:55,0.0370,012,9,c,0.90311
21/11/2017 Tue 18:07:19,0.0300,012,9,p,0.98994
21/11/2017 Tue 18:07:31,0.0350,012,1,p,0.33278
21/11/2017 Tue 18:07:43,0.0325,012,5,p,0.62288
21/11/2017 Tue 18:07:59,0.0313,012,7,p,0.82308
21/11/2017 Tue 18:08:14,0.0305,012,9,p,0.98995
21/11/2017 Tue 18:08:31,0.0310,012,9,p,0.98796
21/11/2017 Tue 18:08:52,0.0310,010,3,p,0.46731
21/11/2017 Tue 18:09:15,0.0310,011,6,p,0.65033
21/11/2017 Tue 18:09:27,0.0310,010,3,p,0.46731
21/11/2017 Tue 18:09:39,0.0310,012,9,p,0.98796
21/11/2017 Tue 18:09:51,0.0330,012,4,p,0.53753
