id,Label,Number_Points,x,y
0,0,4,0.897524,0.623680
1,1,33,0.696698,0.509186
2,2,9,0.567489,0.495344
3,3,14,0.702663,0.557028
4,4,2,0.449291,0.375794
5,5,23,0.636384,0.491697
6,6,12,0.632914,0.433167
7,7,10,0.567318,0.440473
8,8,1,0.656420,0.655433
9,9,9,0.897696,0.565690
10,10,6,0.498515,0.367069
11,11,5,0.497760,0.439492
12,12,15,0.829215,0.560168
13,13,11,0.766460,0.553617
14,14,5,0.852135,0.512128
15,15,15,0.762426,0.518737
16,16,2,0.689479,0.653567
17,17,1,0.476620,0.328545
18,18,2,0.829323,0.618273
19,19,4,0.501272,0.490118
20,20,2,0.766134,0.432649
21,21,4,0.450817,0.427869
22,22,1,0.594498,0.333478
23,23,4,0.691268,0.456537
24,24,1,0.587250,0.548336
25,25,2,0.629861,0.565382
26,26,31,0.369864,0.239016
27,27,19,0.229938,0.294417
28,28,7,0.497674,0.171297
29,29,3,0.112173,0.310749
30,30,6,0.229672,0.237045
31,31,4,0.544079,0.156127
32,32,19,0.425959,0.229118
33,33,3,0.171901,0.436072
34,34,31,0.306735,0.245911
35,35,14,0.298171,0.281974
36,36,5,0.237983,0.342891
37,37,9,0.173527,0.308622
38,38,3,0.504479,0.220944
39,39,11,0.440804,0.170731
40,40,1,0.298931,0.191639
41,41,7,0.371513,0.283741
42,42,3,0.176374,0.254873
43,43,2,0.567320,0.237075
44,44,4,0.360262,0.178933
45,45,5,0.103564,0.363564
46,46,1,0.259288,0.158267
47,47,3,0.412277,0.314281
48,48,4,0.497675,0.124492
49,49,7,0.172251,0.358404
50,50,1,0.533436,0.113302
51,51,11,0.310837,0.626313
52,52,21,0.237178,0.507972
53,53,12,0.167276,0.564151
54,54,12,0.167362,0.509639
55,55,23,0.232331,0.566850
56,56,5,0.170037,0.625258
57,57,8,0.103975,0.561652
58,58,2,0.420125,0.516997
59,59,3,0.232027,0.707274
60,60,7,0.237927,0.631627
61,61,5,0.309104,0.503343
62,62,10,0.370978,0.566490
63,63,5,0.102182,0.503029
64,64,16,0.292313,0.559587
65,65,2,0.229324,0.452250
66,66,1,0.268822,0.681642
67,67,2,0.125835,0.691662
68,68,2,0.055742,0.569956
69,69,2,0.353359,0.616461
70,70,1,0.052431,0.672475
71,71,2,0.210997,0.740284
72,72,2,0.446493,0.578265
73,73,6,0.365894,0.515765
74,74,1,0.470672,0.650674
75,75,5,0.163161,0.704334
76,76,2,0.092853,0.632134
77,77,1,0.466185,0.624729
78,78,2,0.127140,0.448273
79,79,1,0.483001,0.590762
80,80,1,0.342616,0.666799
81,81,1,0.055529,0.601005
82,82,4,0.049966,0.488114
83,83,1,0.112049,0.748753
84,84,3,0.499591,0.707521
85,85,29,0.698491,0.239680
86,86,6,0.737981,0.294233
87,87,33,0.636632,0.298685
88,88,21,0.639827,0.241068
89,89,29,0.700573,0.297028
90,90,1,0.593867,0.294238
91,91,1,0.736917,0.244150
92,92,5,0.564053,0.723555
93,93,15,0.498170,0.826099
94,94,16,0.509065,0.760034
95,95,10,0.494512,0.884813
96,96,18,0.629813,0.830792
97,97,12,0.564868,0.772653
98,98,14,0.432394,0.771390
99,99,4,0.618350,0.878153
100,100,15,0.432528,0.834364
101,101,10,0.622025,0.776825
102,102,18,0.563377,0.840849
103,103,8,0.559019,0.888513
104,104,3,0.443517,0.878846
