x,y,cl
0.914836,0.618673,2
0.705753,0.504023,2
0.556563,0.529189,2
0.677981,0.534064,2
0.722996,0.526786,2
0.437282,0.371084,2
0.909846,0.600385,2
0.624345,0.485139,2
0.670489,0.530528,2
0.605683,0.426349,2
0.534926,0.408668,2
0.656420,0.655433,2
0.717930,0.509642,2
0.887506,0.542327,2
0.644792,0.454960,2
0.641588,0.498758,2
0.726765,0.518260,2
0.489194,0.390036,2
0.666888,0.500750,2
0.635881,0.486627,2
0.495099,0.434990,2
0.831780,0.591035,2
0.733784,0.537292,2
0.824302,0.495703,2
0.622529,0.431248,2
0.768072,0.521258,2
0.708790,0.500269,2
0.580750,0.507525,2
0.832451,0.584225,2
0.633302,0.466840,2
0.651186,0.455922,2
0.685871,0.657767,2
0.662325,0.462045,2
0.831108,0.568936,2
0.721012,0.548679,2
0.476620,0.328545,2
0.627031,0.434418,2
0.648165,0.501276,2
0.636217,0.519518,2
0.669589,0.480207,2
0.780920,0.555923,2
0.735768,0.509871,2
0.568756,0.458771,2
0.758596,0.539775,2
0.686633,0.521212,2
0.777136,0.534167,2
0.485684,0.446926,2
0.620164,0.418281,2
0.791175,0.573914,2
0.907954,0.598439,2
0.631471,0.476945,2
0.677630,0.498667,2
0.669253,0.527118,2
0.588989,0.492304,2
0.654925,0.520217,2
0.767767,0.538848,2
0.826912,0.604127,2
0.700016,0.542636,2
0.823982,0.540714,2
0.597443,0.456574,2
0.727940,0.572243,2
0.529188,0.423660,2
0.682178,0.516223,2
0.503293,0.467629,2
0.872247,0.652698,2
0.651720,0.487073,2
0.497220,0.435116,2
0.751333,0.409618,2
0.831734,0.632418,2
0.487653,0.355943,2
0.774298,0.522872,2
0.911311,0.583012,2
0.712589,0.508875,2
0.860330,0.522231,2
0.682513,0.489740,2
0.858224,0.494341,2
0.676379,0.495394,2
0.702015,0.593873,2
0.634187,0.474244,2
0.837318,0.539706,2
0.464123,0.448414,2
0.641924,0.497946,2
0.740163,0.559677,2
0.814002,0.534888,2
0.594498,0.333478,1
0.771978,0.585438,2
0.848076,0.561256,2
0.736638,0.524977,2
0.436763,0.449295,2
0.617875,0.430950,2
0.705997,0.513007,2
0.714939,0.533412,2
0.568817,0.496378,2
0.789053,0.545646,2
0.672015,0.510798,2
0.722569,0.497076,2
0.671283,0.488321,2
0.871667,0.568707,2
0.632402,0.495199,2
0.565780,0.477494,2
0.676440,0.482393,2
0.901102,0.551208,2
0.614671,0.479738,2
0.713001,0.449753,2
0.679507,0.529441,2
0.566192,0.462090,2
0.758535,0.520377,2
0.865075,0.521052,2
0.829277,0.560478,2
0.538802,0.403964,2
0.677936,0.454033,2
0.906290,0.589627,2
0.826225,0.577942,2
0.436656,0.413291,2
0.559722,0.436043,2
0.536116,0.500406,2
0.486356,0.386843,2
0.908076,0.545921,2
0.848748,0.571556,2
0.695789,0.500383,2
0.614015,0.501402,2
0.504163,0.344533,2
0.705723,0.523261,2
0.531401,0.518900,2
0.700214,0.549766,2
0.679904,0.509734,2
0.795264,0.524302,2
0.693088,0.649367,2
0.706791,0.465272,2
0.667346,0.457089,2
0.893167,0.622965,2
0.674243,0.590657,2
0.718586,0.524543,2
0.683810,0.514300,2
0.617372,0.478410,2
0.506986,0.383559,2
0.754934,0.520949,2
0.465725,0.400473,2
0.749044,0.570320,2
0.847115,0.560078,2
0.576202,0.502432,2
0.802238,0.588906,2
0.677829,0.566418,2
0.628938,0.486204,2
0.541625,0.475915,2
0.769766,0.521910,2
0.632997,0.480024,2
0.484021,0.505682,2
0.727040,0.488813,2
0.657259,0.405040,2
0.592560,0.476453,2
0.794196,0.529052,2
0.581940,0.424289,2
0.780936,0.455681,2
0.723439,0.532485,2
0.486371,0.468259,2
0.666079,0.506552,2
0.587250,0.548336,2
0.771444,0.548782,2
0.852746,0.527312,2
0.602189,0.471555,2
0.701297,0.541354,2
0.665469,0.511061,2
0.705509,0.547157,2
0.461300,0.380503,2
0.666064,0.514403,2
0.766973,0.480470,2
0.823783,0.542053,2
0.707508,0.579304,2
0.628831,0.539489,2
0.904246,0.538974,2
0.748937,0.509619,2
0.764425,0.527472,2
0.728215,0.515021,2
0.803809,0.541812,2
0.618760,0.417159,2
0.775915,0.522231,2
0.597931,0.463624,2
0.701404,0.503977,2
0.717747,0.557766,2
0.752706,0.526671,2
0.573135,0.465421,2
0.722401,0.501699,2
0.838310,0.538928,2
