x,y,cell-id,label-gC,label-GT
0.914836,0.618673,0,2,2
0.705753,0.504023,1,2,2
0.556563,0.529189,2,2,2
0.677981,0.534064,3,2,2
0.722996,0.526786,1,2,2
0.437282,0.371084,4,3,2
0.909846,0.600385,0,2,2
0.624345,0.485139,5,2,2
0.670489,0.530528,1,2,2
0.605683,0.426349,6,2,2
0.534926,0.408668,7,2,2
0.65642,0.655433,8,3,2
0.71793,0.509642,1,2,2
0.887506,0.542327,9,2,2
0.644792,0.45496,6,2,2
0.641588,0.498758,5,2,2
0.726765,0.51826,1,2,2
0.489194,0.390036,10,2,2
0.666888,0.50075,1,2,2
0.635881,0.486627,5,2,2
0.495099,0.43499,11,2,2
0.83178,0.591035,12,2,2
0.733784,0.537292,13,2,2
0.824302,0.495703,14,2,2
0.622529,0.431248,6,2,2
0.768072,0.521258,15,2,2
0.70879,0.500269,1,2,2
0.58075,0.507525,2,2,2
0.832451,0.584225,12,2,2
0.633302,0.46684,5,2,2
0.651186,0.455922,6,2,2
0.685871,0.657767,16,3,2
0.662325,0.462045,6,2,2
0.831108,0.568936,12,2,2
0.721012,0.548679,3,2,2
0.47662,0.328545,17,3,2
0.627031,0.434418,6,2,2
0.648165,0.501276,5,2,2
0.636217,0.519518,5,2,2
0.669589,0.480207,1,2,2
0.78092,0.555923,13,2,2
0.735768,0.509871,15,2,2
0.568756,0.458771,7,2,2
0.758596,0.539775,13,2,2
0.686633,0.521212,1,2,2
0.777136,0.534167,13,2,2
0.485684,0.446926,11,2,2
0.620164,0.418281,6,2,2
0.791175,0.573914,13,2,2
0.907954,0.598439,9,2,2
0.631471,0.476945,5,2,2
0.67763,0.498667,1,2,2
0.669253,0.527118,1,2,2
0.588989,0.492304,2,2,2
0.654925,0.520217,5,2,2
0.767767,0.538848,13,2,2
0.826912,0.604127,18,2,2
0.700016,0.542636,3,2,2
0.823982,0.540714,12,2,2
0.597443,0.456574,7,2,2
0.72794,0.572243,3,2,2
0.529188,0.42366,11,2,2
0.682178,0.516223,1,2,2
0.503293,0.467629,19,2,2
0.872247,0.652698,0,2,2
0.65172,0.487073,5,2,2
0.49722,0.435116,11,2,2
0.751333,0.409618,20,2,2
0.831734,0.632418,18,2,2
0.487653,0.355943,10,2,2
0.774298,0.522872,15,2,2
0.911311,0.583012,9,2,2
0.712589,0.508875,1,2,2
0.86033,0.522231,14,2,2
0.682513,0.48974,1,2,2
0.858224,0.494341,14,2,2
0.676379,0.495394,1,2,2
0.702015,0.593873,3,2,2
0.634187,0.474244,5,2,2
0.837318,0.539706,12,2,2
0.464123,0.448414,21,2,2
0.641924,0.497946,5,2,2
0.740163,0.559677,13,2,2
0.814002,0.534888,12,2,2
0.594498,0.333478,22,1,1
0.771978,0.585438,13,2,2
0.848076,0.561256,12,2,2
0.736638,0.524977,15,2,2
0.436763,0.449295,21,2,2
0.617875,0.43095,6,2,2
0.705997,0.513007,1,2,2
0.714939,0.533412,3,2,2
0.568817,0.496378,2,2,2
0.789053,0.545646,13,2,2
0.672015,0.510798,1,2,2
0.722569,0.497076,1,2,2
0.671283,0.488321,1,2,2
0.871667,0.568707,9,2,2
0.632402,0.495199,5,2,2
0.56578,0.477494,2,2,2
0.67644,0.482393,1,2,2
0.901102,0.551208,9,2,2
0.614671,0.479738,5,2,2
0.713001,0.449753,23,2,2
0.679507,0.529441,1,2,2
0.566192,0.46209,7,2,2
0.758535,0.520377,15,2,2
0.865075,0.521052,14,2,2
0.829277,0.560478,12,2,2
0.538802,0.403964,7,2,2
0.677936,0.454033,23,2,2
0.90629,0.589627,9,2,2
0.826225,0.577942,12,2,2
0.436656,0.413291,21,2,2
0.559722,0.436043,7,2,2
0.536116,0.500406,2,2,2
0.486356,0.386843,10,2,2
0.908076,0.545921,9,2,2
0.848748,0.571556,12,2,2
0.695789,0.500383,1,2,2
0.614015,0.501402,5,2,2
0.504163,0.344533,10,2,2
0.705723,0.523261,1,2,2
0.531401,0.5189,19,2,2
0.700214,0.549766,3,2,2
0.679904,0.509734,1,2,2
0.795264,0.524302,15,2,2
