time-stamp,epsilon,minForce,minCells,FM-points,FM-cells,notes
19/11/2017 Sun 14:18:35,030,0.0750,003,0.52338,0.52338,7 clusters
19/11/2017 Sun 14:19:21,020,0.1000,003,0.64859,0.64700,5 clusters
19/11/2017 Sun 14:20:01,020,0.0500,003,0.74605,0.74559,5 clusters
19/11/2017 Sun 14:20:23,015,0.0500,003,0.85810,0.86234,5 clusters
19/11/2017 Sun 14:20:46,015,0.0300,003,0.94313,0.94573,5 clusters
19/11/2017 Sun 14:21:31,015,0.0200,003,0.84477,0.84936,4 clusters
19/11/2017 Sun 14:21:56,018,0.0200,003,0.93235,0.93479,6 clusters
19/11/2017 Sun 14:22:23,018,0.0100,003,0.94933,0.95171,5 clusters
19/11/2017 Sun 14:22:50,018,0.0080,003,0.96676,0.96921,5 clusters
19/11/2017 Sun 14:23:16,018,0.0050,003,0.68077,0.68068,3 clusters
19/11/2017 Sun 14:23:27,018,0.0070,003,0.80360,0.80347,4 clusters
19/11/2017 Sun 14:23:42,018,0.0075,003,0.80234,0.80219,4 clusters
19/11/2017 Sun 14:23:53,020,0.0075,003,0.97216,0.96963,5 clusters
19/11/2017 Sun 14:24:58,020,0.0070,003,0.79927,0.79938,4 clusters
19/11/2017 Sun 14:25:25,015,0.0070,003,0.53723,0.53865,2 clusters
19/11/2017 Sun 14:26:03,015,0.0500,003,0.85810,0.86234,5 clusters
19/11/2017 Sun 14:26:28,015,0.0300,003,0.94313,0.94573,5 clusters
19/11/2017 Sun 14:26:59,015,0.0200,003,0.84477,0.84936,4 clusters
19/11/2017 Sun 14:27:09,015,0.0250,003,0.95570,0.95833,5 clusters
19/11/2017 Sun 14:27:45,015,0.0235,003,0.97029,0.97292,5 clusters
19/11/2017 Sun 14:28:31,015,0.0230,003,0.97029,0.97292,5 clusters
19/11/2017 Sun 14:28:51,015,0.0220,003,0.97029,0.97292,5 clusters
19/11/2017 Sun 14:29:14,015,0.0210,003,0.97029,0.97292,5 clusters
19/11/2017 Sun 14:29:37,015,0.0205,003,0.84477,0.84936,4 clusters
19/11/2017 Sun 14:30:09,012,0.0205,003,0.52703,0.52787,2 clusters
19/11/2017 Sun 14:30:46,010,0.0300,003,0.65951,0.66320,3 clusters
19/11/2017 Sun 14:31:01,010,0.0500,003,0.62646,0.62936,3 clusters
19/11/2017 Sun 14:32:00,010,0.0700,003,0.74690,0.74832,4 clusters
19/11/2017 Sun 14:32:55,015,0.0220,003,0.97029,0.97292,5 clusters
