id, Label , Coord 0, Coord 1, Coord 2, Coord 3, "TimeStamp",  "X",  "Y",  "Z"
0, 0, 5, 5, 5, 5, 0.003090, 0.002585, 0.002626, 0.002811
1, 1, 5, 5, 4, 5, 0.221396, 0.209961, 0.207682, 0.227474
2, 2, 6, 5, 5, 5, 0.004602, 0.003434, 0.003649, 0.003320
3, 3, 6, 5, 5, 4, 0.015883, 0.011867, 0.012471, 0.011333
4, 4, 6, 4, 5, 4, 0.672250, 0.497656, 0.555470, 0.492969
5, 5, 7, 5, 5, 4, 0.027793, 0.018547, 0.020455, 0.018429
6, 6, 7, 5, 5, 5, 0.008787, 0.005495, 0.006028, 0.005615
7, 7, 7, 4, 5, 5, 0.010628, 0.006647, 0.007314, 0.006793
8, 8, 7, 4, 5, 4, 0.324729, 0.205013, 0.230859, 0.207617
9, 9, 8, 5, 5, 5, 0.006290, 0.003519, 0.003781, 0.003595
10, 10, 8, 4, 5, 5, 0.022557, 0.013481, 0.014744, 0.014031
11, 11, 8, 4, 5, 4, 0.142344, 0.086136, 0.094874, 0.084702
12, 12, 8, 5, 5, 4, 0.089570, 0.053078, 0.055462, 0.050359
13, 13, 9, 5, 5, 5, 0.038650, 0.021080, 0.021982, 0.021238
14, 14, 9, 5, 5, 4, 0.005778, 0.003089, 0.003062, 0.002719
15, 15, 10, 5, 5, 4, 0.011454, 0.005681, 0.005291, 0.004916
16, 16, 10, 5, 4, 4, 0.011153, 0.005470, 0.005071, 0.004721
17, 17, 10, 5, 5, 5, 0.671250, 0.352865, 0.350781, 0.337240
18, 18, 10, 4, 5, 4, 1.011500, 0.490625, 0.535937, 0.473438
19, 19, 11, 5, 5, 4, 0.006089, 0.002776, 0.002562, 0.002411
20, 20, 11, 5, 4, 4, 1.124250, 0.542969, 0.498437, 0.470313
21, 21, 12, 5, 5, 4, 0.007735, 0.003255, 0.002986, 0.002837
22, 22, 12, 5, 4, 4, 0.040980, 0.018252, 0.016634, 0.015904
23, 23, 13, 5, 5, 4, 0.007785, 0.003090, 0.002793, 0.002671
24, 24, 13, 5, 4, 4, 0.073874, 0.028864, 0.025734, 0.025317
25, 25, 14, 5, 4, 4, 0.034097, 0.012293, 0.011334, 0.010978
26, 26, 14, 5, 5, 4, 0.010085, 0.003779, 0.003379, 0.003262
27, 27, 14, 5, 5, 3, 1.489500, 0.521875, 0.521875, 0.379685
28, 28, 14, 5, 4, 5, 0.424179, 0.157422, 0.137617, 0.142383
29, 29, 15, 5, 4, 4, 0.037009, 0.013030, 0.011874, 0.011391
30, 30, 15, 5, 5, 4, 0.010254, 0.003526, 0.003285, 0.003145
31, 31, 16, 5, 5, 4, 0.009237, 0.002989, 0.002751, 0.002607
32, 32, 16, 5, 4, 4, 0.121387, 0.039609, 0.035793, 0.034575
33, 33, 17, 5, 5, 4, 0.017468, 0.005325, 0.004855, 0.004627
34, 34, 17, 5, 4, 4, 0.018944, 0.005773, 0.005247, 0.005017
35, 35, 18, 5, 4, 4, 0.037735, 0.010818, 0.009877, 0.009880
36, 36, 18, 5, 5, 4, 0.012835, 0.003695, 0.003474, 0.003125
37, 37, 19, 5, 5, 4, 0.015745, 0.004306, 0.003986, 0.003777
38, 38, 19, 5, 4, 4, 0.035574, 0.009769, 0.008902, 0.008596
39, 39, 19, 5, 6, 3, 1.961000, 0.532812, 0.625000, 0.355467
