trip_seconds,trip_miles,_#NO_CLASS#_
0.039117,0.008500,-1
0.195587,0.085500,-1
0.063190,0.004000,-1
0.033099,0.004500,-1
0.087262,0.021000,-1
0.021063,0.002500,-1
0.045135,0.005500,-1
0.021063,0.003500,-1
0.003009,0.001000,-1
0.027081,0.003000,-1
0.021063,0.002500,-1
0.039117,0.006000,-1
0.069208,0.022000,-1
0.081244,0.017500,-1
0.021063,0.002500,-1
0.045135,0.006000,-1
0.051153,0.011500,-1
0.015045,0.002500,-1
0.033099,0.005500,-1
0.081244,0.027000,-1
0.051153,0.008000,-1
0.063190,0.014500,-1
0.135406,0.085000,-1
0.039117,0.006000,-1
0.027081,0.006000,-1
0.147442,0.038000,-1
0.039117,0.010500,-1
0.069208,0.023500,-1
0.015045,0.003500,-1
0.027081,0.004500,-1
0.033099,0.004000,-1
0.057172,0.009000,-1
0.255767,0.085500,-1
0.051153,0.012500,-1
0.358074,0.089000,-1
0.039117,0.017000,-1
0.021063,0.003500,-1
0.093280,0.020500,-1
0.117352,0.024000,-1
0.027081,0.004000,-1
0.117352,0.031500,-1
0.039117,0.007500,-1
0.075226,0.018000,-1
0.051153,0.018500,-1
0.015045,0.002000,-1
0.027081,0.003500,-1
0.075226,0.022000,-1
0.171515,0.095000,-1
0.063190,0.027500,-1
0.045135,0.000500,-1
0.009027,0.000000,-1
0.171515,0.072500,-1
0.039117,0.007000,-1
0.039117,0.004500,-1
0.015045,0.003000,-1
0.045135,0.008000,-1
0.069208,0.022000,-1
0.033099,0.009000,-1
0.255767,0.082500,-1
0.015045,0.005000,-1
0.033099,0.014500,-1
0.075226,0.009000,-1
0.039117,0.004000,-1
0.099298,0.018000,-1
0.057172,0.004500,-1
0.033099,0.005500,-1
0.051153,0.007000,-1
0.093280,0.014500,-1
0.177533,0.065500,-1
0.117352,0.011500,-1
0.045135,0.007500,-1
0.045135,0.012000,-1
0.075226,0.011500,-1
0.069208,0.003500,-1
0.087262,0.022500,-1
0.039117,0.008000,-1
0.051153,0.019000,-1
0.147442,0.088500,-1
0.075226,0.009000,-1
0.045135,0.006000,-1
0.027081,0.006500,-1
0.075226,0.008500,-1
0.015045,0.002500,-1
0.039117,0.003000,-1
0.045135,0.005000,-1
0.051153,0.003500,-1
0.057172,0.010500,-1
0.165496,0.085000,-1
0.039117,0.007000,-1
0.033099,0.006500,-1
0.021063,0.005500,-1
0.021063,0.004000,-1
0.027081,0.004500,-1
0.015045,0.002000,-1
0.039117,0.008500,-1
0.111334,0.031000,-1
0.027081,0.003000,-1
0.063190,0.006500,-1
0.003009,0.000500,-1
0.045135,0.007500,-1
0.045135,0.005500,-1
0.087262,0.007000,-1
0.033099,0.004000,-1
0.051153,0.008500,-1
0.015045,0.003000,-1
0.376128,0.089000,-1
0.009027,0.002000,-1
0.033099,0.002500,-1
0.075226,0.012500,-1
0.123370,0.071000,-1
0.027081,0.006000,-1
0.153460,0.085500,-1
0.051153,0.005500,-1
0.087262,0.014000,-1
0.171515,0.087000,-1
0.171515,0.087500,-1
0.033099,0.007000,-1
0.057172,0.004500,-1
0.093280,0.008000,-1
0.027081,0.007000,-1
0.033099,0.005500,-1
0.039117,0.008500,-1
0.045135,0.006000,-1
0.063190,0.008500,-1
0.045135,0.015000,-1
0.189569,0.087500,-1
0.039117,0.005000,-1
0.039117,0.017000,-1
0.039117,0.005000,-1
0.057172,0.005500,-1
0.093280,0.009500,-1
0.033099,0.004500,-1
0.051153,0.008500,-1
0.057172,0.005000,-1
0.075226,0.013000,-1
0.045135,0.008000,-1
0.057172,0.004500,-1
0.105316,0.083000,-1
0.057172,0.009500,-1
0.063190,0.010000,-1
0.075226,0.006000,-1
0.015045,0.004500,-1
0.033099,0.005000,-1
0.021063,0.002500,-1
0.027081,0.003500,-1
0.117352,0.016000,-1
0.045135,0.019500,-1
0.147442,0.087500,-1
0.057172,0.020000,-1
0.069208,0.017500,-1
0.051153,0.016500,-1
0.075226,0.017000,-1
0.255767,0.086500,-1
0.045135,0.006500,-1
0.039117,0.004500,-1
0.039117,0.007000,-1
0.081244,0.014000,-1
0.057172,0.016500,-1
0.045135,0.008000,-1
0.273821,0.087500,-1
0.147442,0.016000,-1
0.039117,0.006500,-1
0.069208,0.010000,-1
0.045135,0.008000,-1
0.063190,0.019000,-1
0.207623,0.063500,-1
0.099298,0.041500,-1
0.021063,0.002500,-1
0.045135,0.007500,-1
0.009027,0.001500,-1
0.099298,0.009500,-1
0.075226,0.023000,-1
0.063190,0.007000,-1
0.033099,0.003000,-1
0.087262,0.013000,-1
0.075226,0.009500,-1
0.063190,0.006500,-1
0.045135,0.006000,-1
0.063190,0.013000,-1
0.231695,0.077000,-1
0.027081,0.004500,-1
0.039117,0.005500,-1
0.033099,0.008000,-1
0.033099,0.006500,-1
0.063190,0.024000,-1
0.015045,0.004500,-1
0.057172,0.014500,-1
0.105316,0.072000,-1
0.189569,0.107500,-1
0.063190,0.009500,-1
0.015045,0.002500,-1
0.021063,0.003500,-1
0.099298,0.022000,-1
0.087262,0.027500,-1
0.039117,0.008000,-1
0.075226,0.023000,-1
0.045135,0.009000,-1
0.057172,0.007000,-1
0.057172,0.009500,-1
0.069208,0.010500,-1
0.027081,0.003000,-1
0.063190,0.019500,-1
0.033099,0.004000,-1
0.021063,0.004000,-1
0.009027,0.000500,-1
0.069208,0.007000,-1
0.051153,0.004000,-1
0.009027,0.002000,-1
0.063190,0.034500,-1
0.015045,0.023000,-1
0.093280,0.020000,-1
0.021063,0.004500,-1
0.033099,0.005500,-1
0.099298,0.007500,-1
0.039117,0.004500,-1
0.045135,0.008500,-1
0.033099,0.006500,-1
0.045135,0.010500,-1
0.057172,0.012000,-1
0.045135,0.006000,-1
0.111334,0.039500,-1
0.093280,0.028500,-1
0.171515,0.086500,-1
0.033099,0.010500,-1
0.051153,0.010500,-1
0.027081,0.002500,-1
0.027081,0.003000,-1
0.039117,0.005500,-1
0.015045,0.003500,-1
0.039117,0.008500,-1
0.021063,0.003500,-1
0.033099,0.006000,-1
0.039117,0.010000,-1
0.045135,0.008000,-1
0.027081,0.003000,-1
0.027081,0.002000,-1
0.033099,0.005000,-1
0.051153,0.008000,-1
0.051153,0.007000,-1
0.045135,0.011000,-1
0.039117,0.008500,-1
0.201605,0.126500,-1
0.039117,0.005500,-1
0.045135,0.006500,-1
0.021063,0.006000,-1
0.027081,0.004000,-1
0.099298,0.024000,-1
0.087262,0.015500,-1
0.063190,0.028000,-1
0.051153,0.009000,-1
0.051153,0.011500,-1
0.027081,0.005000,-1
0.027081,0.003500,-1
0.027081,0.004500,-1
0.033099,0.006500,-1
0.033099,0.006500,-1
0.081244,0.031500,-1
0.045135,0.011000,-1
0.051153,0.006500,-1
0.045135,0.011500,-1
0.027081,0.007500,-1
0.093280,0.019500,-1
0.087262,0.028000,-1
0.021063,0.004000,-1
0.021063,0.005500,-1
0.087262,0.017500,-1
0.033099,0.005500,-1
0.057172,0.008000,-1
0.021063,0.004000,-1
0.027081,0.008000,-1
0.045135,0.011000,-1
0.069208,0.008000,-1
0.117352,0.029500,-1
0.033099,0.005500,-1
0.057172,0.007000,-1
0.063190,0.018000,-1
0.021063,0.004500,-1
0.303912,0.082500,-1
0.057172,0.018500,-1
0.039117,0.006500,-1
0.027081,0.004000,-1
0.033099,0.004000,-1
0.045135,0.008000,-1
0.063190,0.012500,-1
0.057172,0.007500,-1
0.081244,0.031500,-1
0.039117,0.004500,-1
0.099298,0.040500,-1
0.051153,0.007000,-1
0.045135,0.006500,-1
0.189569,0.064000,-1
0.201605,0.073000,-1
0.033099,0.007000,-1
0.033099,0.006500,-1
0.033099,0.004000,-1
0.099298,0.019500,-1
0.075226,0.004000,-1
0.123370,0.084500,-1
0.153460,0.092500,-1
0.051153,0.009500,-1
0.033099,0.003500,-1
0.057172,0.012000,-1
0.081244,0.048500,-1
0.057172,0.007500,-1
0.051153,0.014500,-1
0.051153,0.008000,-1
0.027081,0.005500,-1
0.171515,0.090500,-1
0.033099,0.005500,-1
0.051153,0.006000,-1
0.243731,0.068000,-1
0.069208,0.017000,-1
0.099298,0.037000,-1
0.051153,0.008000,-1
0.153460,0.047500,-1
0.063190,0.007500,-1
0.165496,0.090000,-1
0.033099,0.006000,-1
0.087262,0.021500,-1
0.051153,0.007000,-1
0.027081,0.007500,-1
0.033099,0.006500,-1
0.039117,0.005500,-1
0.033099,0.004500,-1
0.105316,0.018500,-1
0.033099,0.004000,-1
0.021063,0.003000,-1
0.051153,0.032500,-1
0.021063,0.003500,-1
0.057172,0.042000,-1
0.075226,0.010000,-1
0.147442,0.067500,-1
0.057172,0.031000,-1
0.063190,0.008000,-1
0.063190,0.009500,-1
0.027081,0.004500,-1
0.015045,0.004500,-1
0.057172,0.011500,-1
0.370110,0.133000,-1
0.183551,0.069000,-1
0.075226,0.015500,-1
0.249749,0.085500,-1
0.069208,0.012000,-1
0.291876,0.064000,-1
0.093280,0.009500,-1
0.015045,0.001500,-1
0.015045,0.003000,-1
0.015045,0.003500,-1
0.045135,0.007500,-1
0.039117,0.004000,-1
0.063190,0.006000,-1
0.033099,0.008000,-1
0.075226,0.011500,-1
0.027081,0.006500,-1
0.021063,0.004000,-1
0.069208,0.015000,-1
0.063190,0.007500,-1
0.039117,0.010000,-1
0.033099,0.008000,-1
0.039117,0.004000,-1
0.015045,0.003000,-1
0.297894,0.015000,-1
0.045135,0.008500,-1
0.045135,0.007000,-1
0.051153,0.008000,-1
0.225677,0.083500,-1
0.123370,0.053000,-1
0.069208,0.010500,-1
0.063190,0.007500,-1
0.075226,0.008500,-1
0.213641,0.087500,-1
0.039117,0.004500,-1
0.069208,0.016000,-1
0.063190,0.006500,-1
0.081244,0.013000,-1
0.039117,0.008500,-1
0.063190,0.009000,-1
0.063190,0.007000,-1
0.111334,0.038500,-1
0.111334,0.048500,-1
0.147442,0.065500,-1
0.075226,0.025000,-1
0.135406,0.084500,-1
0.021063,0.002500,-1
0.057172,0.009000,-1
0.027081,0.003000,-1
0.027081,0.006000,-1
0.009027,0.002000,-1
0.039117,0.018500,-1
0.033099,0.008000,-1
0.051153,0.009000,-1
0.039117,0.007500,-1
0.015045,0.005000,-1
0.033099,0.006000,-1
0.045135,0.004000,-1
0.045135,0.017000,-1
0.033099,0.005000,-1
0.279840,0.089000,-1
0.051153,0.011000,-1
0.045135,0.006500,-1
0.039117,0.003000,-1
0.015045,0.003000,-1
0.063190,0.016000,-1
0.045135,0.005000,-1
0.051153,0.005000,-1
0.117352,0.034000,-1
0.021063,0.003500,-1
0.015045,0.003000,-1
0.009027,0.002000,-1
0.069208,0.020000,-1
0.069208,0.006000,-1
0.039117,0.006000,-1
0.045135,0.013500,-1
0.153460,0.053500,-1
0.039117,0.010000,-1
0.069208,0.008000,-1
0.267803,0.087000,-1
0.021063,0.002500,-1
0.021063,0.003500,-1
0.069208,0.012000,-1
0.039117,0.006500,-1
0.045135,0.010500,-1
0.033099,0.005500,-1
0.033099,0.006000,-1
0.051153,0.006000,-1
0.111334,0.045000,-1
0.021063,0.005000,-1
0.069208,0.021000,-1
0.093280,0.044000,-1
0.027081,0.005000,-1
0.045135,0.007500,-1
0.087262,0.015500,-1
0.039117,0.004500,-1
0.015045,0.003500,-1
0.045135,0.008000,-1
0.033099,0.000000,-1
0.051153,0.006000,-1
0.171515,0.060500,-1
0.039117,0.009000,-1
0.033099,0.005000,-1
0.111334,0.059000,-1
0.027081,0.005000,-1
0.027081,0.003000,-1
0.093280,0.018500,-1
0.057172,0.009500,-1
0.243731,0.064000,-1
0.033099,0.009000,-1
0.057172,0.052500,-1
0.027081,0.005500,-1
0.171515,0.037500,-1
0.027081,0.006000,-1
0.039117,0.004500,-1
0.075226,0.009500,-1
0.153460,0.075500,-1
0.099298,0.018500,-1
0.015045,0.004000,-1
0.075226,0.007500,-1
0.243731,0.087000,-1
0.105316,0.015500,-1
0.033099,0.006500,-1
0.141424,0.088500,-1
0.039117,0.007500,-1
0.051153,0.014500,-1
0.033099,0.006000,-1
0.015045,0.004000,-1
0.093280,0.061500,-1
0.075226,0.026000,-1
0.075226,0.021500,-1
0.093280,0.043000,-1
0.129388,0.088000,-1
0.081244,0.021500,-1
0.364092,0.068000,-1
0.147442,0.088000,-1
0.087262,0.032000,-1
0.027081,0.005000,-1
0.081244,0.017000,-1
0.051153,0.010500,-1
0.045135,0.013000,-1
0.111334,0.029500,-1
0.105316,0.016500,-1
0.045135,0.025000,-1
0.099298,0.036000,-1
0.045135,0.006500,-1
0.069208,0.028500,-1
0.057172,0.013000,-1
0.165496,0.065500,-1
0.171515,0.064000,-1
0.051153,0.013500,-1
0.039117,0.005500,-1
0.081244,0.020500,-1
0.027081,0.005500,-1
0.063190,0.009000,-1
0.039117,0.006500,-1
0.081244,0.012000,-1
0.255767,0.089500,-1
0.051153,0.014000,-1
0.496489,0.083000,-1
0.063190,0.017500,-1
0.045135,0.005000,-1
0.069208,0.014000,-1
0.051153,0.007500,-1
0.039117,0.006000,-1
0.045135,0.003500,-1
0.015045,0.002500,-1
0.057172,0.019000,-1
0.045135,0.014500,-1
0.021063,0.004500,-1
0.003009,0.000500,-1
0.015045,0.002500,-1
0.045135,0.007000,-1
0.069208,0.013500,-1
0.135406,0.089500,-1
0.063190,0.020000,-1
0.045135,0.004000,-1
0.057172,0.004000,-1
0.285858,0.089500,-1
0.057172,0.007500,-1
0.261785,0.166000,-1
0.117352,0.027500,-1
0.045135,0.009500,-1
0.075226,0.013500,-1
0.027081,0.003500,-1
0.033099,0.007500,-1
0.015045,0.003000,-1
0.027081,0.004500,-1
0.051153,0.009500,-1
0.039117,0.004500,-1
0.015045,0.006500,-1
0.021063,0.003000,-1
0.045135,0.005000,-1
0.201605,0.036000,-1
0.003009,0.000000,-1
0.141424,0.085500,-1
0.015045,0.002000,-1
0.027081,0.006000,-1
0.057172,0.016500,-1
0.099298,0.058500,-1
0.087262,0.023500,-1
0.147442,0.102500,-1
0.033099,0.011000,-1
0.093280,0.009500,-1
0.213641,0.074500,-1
0.033099,0.003500,-1
0.219659,0.063000,-1
0.027081,0.003000,-1
0.015045,0.002500,-1
0.063190,0.016000,-1
0.039117,0.003000,-1
0.003009,0.000000,-1
0.093280,0.011500,-1
0.033099,0.004000,-1
0.039117,0.005500,-1
0.027081,0.007500,-1
0.039117,0.009500,-1
0.015045,0.005500,-1
0.039117,0.005500,-1
0.051153,0.011000,-1
0.045135,0.006000,-1
0.165496,0.043000,-1
0.009027,0.000500,-1
0.063190,0.008500,-1
0.045135,0.006000,-1
0.027081,0.009500,-1
0.039117,0.030500,-1
0.033099,0.012000,-1
0.045135,0.015500,-1
0.069208,0.018500,-1
0.117352,0.032000,-1
0.063190,0.015500,-1
0.033099,0.006000,-1
0.063190,0.016500,-1
0.123370,0.070000,-1
0.063190,0.015000,-1
0.033099,0.003500,-1
0.015045,0.003500,-1
0.099298,0.016500,-1
0.021063,0.005000,-1
0.087262,0.020000,-1
0.069208,0.010500,-1
0.033099,0.005500,-1
0.003009,0.001500,-1
0.436309,0.090500,-1
0.027081,0.002500,-1
0.087262,0.013000,-1
0.051153,0.018500,-1
0.069208,0.013000,-1
0.027081,0.004000,-1
0.027081,0.005000,-1
0.039117,0.009000,-1
0.141424,0.087500,-1
0.021063,0.004000,-1
0.045135,0.007500,-1
0.267803,0.087000,-1
0.069208,0.024000,-1
0.051153,0.008500,-1
0.063190,0.015500,-1
0.051153,0.018500,-1
5.118355,0.009500,-1
0.045135,0.007500,-1
0.033099,0.005000,-1
0.015045,0.005500,-1
0.009027,0.001000,-1
0.093280,0.008000,-1
0.111334,0.007000,-1
0.063190,0.008500,-1
0.057172,0.008500,-1
0.033099,0.004000,-1
0.021063,0.002000,-1
0.051153,0.018500,-1
0.057172,0.011000,-1
0.045135,0.007000,-1
0.189569,0.087500,-1
0.051153,0.013000,-1
0.027081,0.002000,-1
0.051153,0.007500,-1
0.033099,0.004000,-1
0.039117,0.006500,-1
0.039117,0.005500,-1
0.027081,0.003500,-1
0.075226,0.008000,-1
0.039117,0.005000,-1
0.039117,0.010000,-1
0.081244,0.028000,-1
0.039117,0.010000,-1
0.213641,0.101000,-1
0.051153,0.008000,-1
0.033099,0.004500,-1
0.033099,0.005000,-1
0.009027,0.003500,-1
0.039117,0.007000,-1
0.021063,0.004000,-1
0.027081,0.004000,-1
0.045135,0.006500,-1
0.027081,0.003500,-1
0.129388,0.076500,-1
0.063190,0.023000,-1
0.027081,0.005000,-1
0.394183,0.084000,-1
0.105316,0.038500,-1
0.093280,0.016000,-1
0.045135,0.019000,-1
0.111334,0.023500,-1
0.285858,0.086000,-1
0.039117,0.006500,-1
0.057172,0.008000,-1
0.081244,0.016000,-1
0.081244,0.034500,-1
0.045135,0.005500,-1
0.021063,0.004500,-1
0.045135,0.004500,-1
0.021063,0.002500,-1
0.033099,0.007000,-1
0.051153,0.017500,-1
0.033099,0.005500,-1
0.033099,0.002000,-1
0.207623,0.088500,-1
0.033099,0.004000,-1
0.057172,0.013000,-1
0.147442,0.024500,-1
0.159478,0.071000,-1
0.039117,0.006000,-1
0.027081,0.004500,-1
0.015045,0.002500,-1
